response_id,respondent_id,survey_id,country,region,gender,age,education_level,employment_status,completion_status,submission_timestamp,source_system,q1_democracy,q2_economy,q3_trust_govt,q4_corruption,q5_election_fairness
ee934ab3-f5bb-4b47-a870-5cdf8e7b03ce,34a0dcd4-1a9a-429e-95ee-25876c98fd9b,survey_627,Benin,Lucasland,Female,43.0,Secondary,Self-employed,completed,2026-05-14T10:45:30,field_tool,5,Neutral,1,Low,5
1eed927f-ec9d-4aea-a454-18635b145424,b784ae08-758f-48fa-8614-ac41275c75dc,survey_943,Benin,Benjaminland,Male,31.0,Tertiary,Unemployed,completed,2026-05-14T10:40:06,field_tool,3,Very Good,5,Low,1
49e1e717-858b-4851-a3d6-c1d5af51e2fe,8ede9b46-407d-4aff-8b51-a9112d90e4ee,survey_864,Benin,New Lorraineview,Male,27.0,Tertiary,Unemployed,completed,2026-05-14T10:43:07,field_tool,4,Very Good,3,High,2
053266c1-a6e7-464c-b7f4-6d9ac12888c0,6789e7d0-a155-4b2c-b37c-f8b563561add,survey_362,Benin,Stewartfurt,Female,36.0,Tertiary,Self-employed,completed,2026-05-14T10:45:23,field_tool,2,Very Good,2,High,2
e65d9c75-c9b1-4516-b4e1-c63cb12ec5da,a43447fb-0182-4782-88ea-e7d41e494952,survey_575,Benin,Port Julieton,Male,69.0,Secondary,Self-employed,completed,2026-05-14T10:45:37,field_tool,4,Very Good,1,High,2
2a913a51-898c-4b60-adee-42b86c499cbe,ed94898b-5b92-4c67-9295-38dfd926fe41,survey_384,Benin,West Kristinport,Female,34.0,Tertiary,Self-employed,completed,2026-05-14T10:44:49,field_tool,2,Bad,4,High,1
124a593e-06a6-447c-97ff-154892d990c3,ed3b9d13-c3e9-4323-8811-86e9162534ca,survey_516,Benin,Jamestown,Male,37.0,Secondary,Self-employed,completed,2026-05-14T10:43:41,field_tool,1,Very Good,2,High,1
99634116-e55b-43fc-8928-8e5b9e8c7868,22e9e527-3849-4ecc-8891-57fd2804d0ac,survey_893,Benin,Roblesside,Male,71.0,Tertiary,Unemployed,completed,2026-05-14T10:42:10,field_tool,4,Bad,2,Low,1
4ecf5cbd-f2b4-4690-a145-66cf8750155a,4c4d6e40-24e2-426c-a250-d133f5cb5be4,survey_925,Benin,Susantown,Female,55.0,Tertiary,Self-employed,completed,2026-05-14T10:44:22,field_tool,2,Very Good,2,High,1
b04fa6ce-7a75-4617-8bcf-74ed078b69b5,1f8c56e0-2431-43fd-8e19-0d07dff0b9bf,survey_360,Benin,North Ashleyfurt,Male,35.0,Tertiary,Employed,completed,2026-05-14T10:44:14,field_tool,4,Good,1,Medium,5
b024229a-a58b-4079-a1b3-812109b404a3,4e003d55-15ca-4faf-b26d-3dd38c2aa0b1,survey_903,Benin,Lake Judith,Female,33.0,Primary,Unemployed,completed,2026-05-14T10:42:35,field_tool,4,Good,3,High,5
b001b346-c17e-423f-a07b-2816052339db,a55bc44f-e7d7-4d1d-a9a3-b9913634646c,survey_155,Benin,East Jack,Male,60.0,Tertiary,Self-employed,completed,2026-05-14T10:44:54,field_tool,2,Good,5,Medium,3
6c6852b1-918f-449d-8959-0864b5405fce,1d57e734-31bf-4cf6-80b3-af7cd5b211a9,survey_987,Benin,Lake Lauren,Female,61.0,Primary,Unemployed,completed,2026-05-14T10:40:06,field_tool,4,Bad,4,Medium,3
157beb96-3bcd-461d-b493-2e49a16bb23b,fd75a5f3-eeaf-4a83-8044-46bfd9f48bbd,survey_315,Benin,Newmanland,Male,66.0,Primary,Unemployed,completed,2026-05-14T10:42:07,field_tool,3,Very Good,1,Medium,1
6cdf0139-2787-473f-9d29-83b856d75595,1923cafc-402d-405b-913e-af84abf39096,survey_440,Benin,Lake Beverly,Female,44.0,Tertiary,Unemployed,completed,2026-05-14T10:42:28,field_tool,1,Neutral,3,Low,1
dfd054dd-011f-48f9-af8f-bc44d2f41598,a7cd13cb-abda-46b2-a0d2-b5285b6d6b7c,survey_855,Benin,North Justin,Female,64.0,Secondary,Unemployed,completed,2026-05-14T10:40:14,field_tool,1,Bad,2,Low,4
ed35f97a-9fef-4d41-a1ac-2690929bf7eb,7c6166df-515a-4b43-b189-1f48e66e2c11,survey_412,Benin,Murphyport,Male,,Secondary,Self-employed,completed,2026-05-14T10:45:34,field_tool,1,Bad,2,High,5
49ca6ec5-48d2-4319-a139-4da3a125e269,911ddc79-90c8-4420-a703-5b27958c2936,survey_427,Benin,Lindseychester,Male,61.0,Secondary,Unemployed,completed,2026-05-14T10:41:05,field_tool,2,Good,2,Low,5
1ed8ccaf-2eea-4f3b-9c13-9c5f0dd30165,c921057c-3f05-457c-902e-d818013ca998,survey_476,Benin,Lake Jodi,Female,30.0,Primary,Unemployed,completed,2026-05-14T10:43:22,field_tool,4,Neutral,1,High,5
9b6fb19e-018b-4b0d-8114-6e594d370110,2261ddef-5c07-4653-9711-73e446d47d41,survey_818,Benin,Nataliemouth,Male,47.0,Primary,Employed,completed,2026-05-14T10:43:27,field_tool,4,Very Good,5,Medium,2
e6f88702-307e-4a59-a194-a24c1b9f206c,7caa281b-4e33-4644-8657-20ae5bd67d4d,survey_220,Benin,East Debbieland,Male,28.0,Primary,Self-employed,completed,2026-05-14T10:42:02,field_tool,5,Very Good,4,Low,4
1fdc00c6-9570-4377-9371-96163c3dae88,e42c0aea-23d7-463d-9391-d017dbd4a86d,survey_982,Benin,West Jessica,Male,31.0,Secondary,Unemployed,completed,2026-05-14T10:44:59,field_tool,4,Very Good,2,Medium,2
41d99b06-7683-4a50-b15f-7a6dc019ad2d,e4610160-134d-495a-ba38-8c8f139309d1,survey_293,Benin,Port Williamtown,Male,36.0,Secondary,Employed,completed,2026-05-14T10:44:36,field_tool,4,Neutral,1,Medium,3
54108b0c-6450-4637-a057-1b704da9cd26,970c9eb4-c4ea-4ece-a7b6-e4679432d797,survey_800,Benin,North Andrea,Male,33.0,Tertiary,Unemployed,completed,2026-05-14T10:44:17,field_tool,1,Bad,4,High,3
0ef9ccdc-a149-494c-89bb-8c8b653eb9f0,78dbcde3-8a28-4792-bfac-a645e4dc4306,survey_533,Benin,West Philip,Female,63.0,Tertiary,Self-employed,completed,2026-05-14T10:44:40,field_tool,3,Bad,1,Low,1
4f77b3b2-1036-4a27-8e44-2e49914f0fac,22460ac9-4a7e-4bc2-9b6f-1c33bbb4c0ce,survey_462,Benin,Masonland,Male,33.0,Tertiary,Self-employed,completed,2026-05-14T10:43:02,field_tool,5,Bad,1,Medium,5
ab4bded3-8ec8-46b1-9244-7bdc068da589,a9a54c24-02b6-42e9-808e-08d25d264b1b,survey_235,Benin,Port Tamara,Female,43.0,Tertiary,Employed,completed,2026-05-14T10:44:53,field_tool,5,Neutral,3,High,5
75b9cd94-f7e1-4475-ba4b-760fe807ae36,839e7623-c1d8-41d3-aa74-b90caf2537f5,survey_191,Benin,South Erik,Female,74.0,Secondary,Self-employed,completed,2026-05-14T10:44:28,field_tool,5,Very Good,2,Medium,1
3608db27-6c99-4d64-81ca-638b438aed61,df482e7c-a8cf-4f62-90d9-170cf2dec75c,survey_954,Benin,Lake Jessica,Female,26.0,Secondary,Self-employed,completed,2026-05-14T10:42:42,field_tool,3,Very Good,3,Medium,5
9b197c85-b238-4dc4-bb96-aa497aa180db,7cd61da4-c2ef-4a8b-b804-87860a58f43c,survey_423,Benin,North Joseph,Female,45.0,Tertiary,Unemployed,completed,2026-05-14T10:41:38,field_tool,2,Very Good,1,High,2
252c69fd-b44b-46bc-a8ad-ab0b13053edd,8494205c-34ef-4552-ab28-6d090af57e60,survey_267,Benin,Paulmouth,Male,20.0,Tertiary,Unemployed,completed,2026-05-14T10:40:02,field_tool,4,Bad,4,High,4
1a76f705-58b1-4113-bf3a-967754273f80,52f6531f-a605-47c9-bb07-ee930a3731ab,survey_604,Benin,Lake Tanyaview,Female,53.0,Primary,Self-employed,completed,2026-05-14T10:41:53,field_tool,2,Bad,3,High,2
bc631aae-9e35-4870-978f-9e59cea52038,2c816bf0-91f6-4406-8b5a-868394213090,survey_942,Benin,Valdezstad,Female,28.0,Secondary,Self-employed,completed,2026-05-14T10:44:39,field_tool,5,Neutral,5,High,5
32d5e043-2eb2-414f-ba66-85623f10d59e,13ed280a-d5e1-4d1f-a5f2-2dfba741104b,survey_610,Benin,Nicholasbury,Male,22.0,Tertiary,Employed,completed,2026-05-14T10:44:03,field_tool,3,Bad,3,Low,1
0ccad922-7bb6-442e-94f5-fe8db4456ea6,de22dc3f-d136-4db1-9a57-860767e54646,survey_257,Benin,Tommyfort,Female,24.0,Primary,Employed,completed,2026-05-14T10:44:48,field_tool,4,Very Good,4,Low,3
1de6797f-5329-4094-9338-0f875357bafb,23936d45-e1cc-4f0d-8078-636d01b062c1,survey_563,Benin,Martinland,Male,20.0,Secondary,Self-employed,completed,2026-05-14T10:44:02,field_tool,5,Neutral,2,High,3
c99d083d-beda-4749-b643-396cc96fbfee,267627ca-3625-4c20-87e3-21c2a4bae8bf,survey_716,Benin,East Michael,Female,65.0,Secondary,Employed,completed,2026-05-14T10:40:39,field_tool,4,Good,2,High,4
4f35d790-bfb9-441f-8f73-805655ce3593,cfa9026b-6a24-4f46-baf7-fa21a93e7b5b,survey_898,Benin,Jenniferfort,Male,31.0,Secondary,Unemployed,completed,2026-05-14T10:45:24,field_tool,2,Bad,3,Medium,4
78f97611-2420-4b4d-9a17-c7a9bb87bcce,973e129c-35f0-41be-baa1-219a7a9398bb,survey_781,Benin,Lake Martha,Female,56.0,Primary,Unemployed,completed,2026-05-14T10:39:50,field_tool,5,Neutral,4,Medium,4
3965f076-acee-4fac-86a0-4595f2e5291a,92d00319-20bd-4422-8b0b-81de3e612d66,survey_874,Benin,East Crystal,Female,56.0,Secondary,Unemployed,completed,2026-05-14T10:39:59,field_tool,5,Neutral,4,Low,4
4d8250ad-d8c7-4c0b-abd9-e5343b1d46b7,0e503fd8-2598-4383-9280-3da2e40b50e4,survey_792,Benin,West Sandra,Male,39.0,Primary,Self-employed,completed,2026-05-14T10:44:03,field_tool,2,Very Good,5,Low,5
9dca54b2-0ee3-41ff-95a1-7cbaa2627b17,f8205aa7-996f-4e88-a7cb-fc39f54f1b92,survey_920,Benin,Lake Jessicaport,Male,45.0,Secondary,Unemployed,completed,2026-05-14T10:40:22,field_tool,2,Neutral,3,High,5
82a9c7ad-9d62-4bae-aa09-ebbc028d01fe,fe268e77-9b45-47e0-b2fe-fdc23772aa97,survey_146,Benin,Dillonburgh,Female,21.0,Tertiary,Employed,completed,2026-05-14T10:41:31,field_tool,5,Very Good,4,High,4
1f246d4d-7213-4ade-ac5f-d2d85d6cef22,2488c84d-99d0-40fd-a928-043ed492b51a,survey_615,Benin,New Donna,Female,55.0,Primary,Employed,completed,2026-05-14T10:41:54,field_tool,4,Neutral,2,Medium,1
fdf19d80-f5fb-4360-9188-7e2e67b4826c,57b94dfb-af82-470c-b964-4e4f2aefcf3b,survey_701,Benin,Carlsonland,Male,63.0,Tertiary,Unemployed,completed,2026-05-14T10:41:36,field_tool,4,Good,3,High,2
b008baa6-b9f3-4ec8-8637-6deb69934e94,1bcb404c-21d8-496a-a2ad-a15760d2759a,survey_789,Benin,East Alexandrahaven,Male,56.0,Primary,Unemployed,completed,2026-05-14T10:45:29,field_tool,5,Bad,1,Medium,1
2fee7d51-6b8e-426f-b363-06878abe22e3,9b02c535-2649-4478-9396-6f0a6b77af9e,survey_514,Benin,East Thomaston,Male,48.0,Tertiary,Self-employed,completed,2026-05-14T10:44:11,field_tool,5,Very Good,3,Low,5
2dcb691b-fb96-4acc-883e-d2e182b00143,17db4c2f-1e15-4e2f-809c-2ebe80da2ed7,survey_923,Benin,Hopkinsside,Female,62.0,Secondary,Employed,completed,2026-05-14T10:39:39,field_tool,2,Neutral,1,High,1
6ed171cb-c176-4f69-89f2-0bad11444ac5,adb610f4-c65d-486e-b00f-63efe59fc1c2,survey_314,Benin,Boydstad,Male,30.0,Secondary,Self-employed,completed,2026-05-14T10:40:01,field_tool,2,Neutral,4,Low,5
05b45ace-49e0-4044-a7f9-4353a36ea259,3abf9c65-6dd0-43f3-87a2-0e22b298b811,survey_585,Benin,Clarkefurt,Male,67.0,Secondary,Employed,completed,2026-05-14T10:42:38,field_tool,1,Neutral,2,Low,4
c89e70c7-4665-4091-998c-02eef58b185f,e869707c-bdcb-4ffc-8dfb-a4e996cbdafb,survey_348,Benin,South Dennisfort,Female,73.0,Primary,Unemployed,completed,2026-05-14T10:41:38,field_tool,5,Very Good,1,Medium,1
