response_id,respondent_id,survey_id,country,region,gender,age,education_level,employment_status,completion_status,submission_timestamp,source_system,q1_democracy,q2_economy,q3_trust_govt,q4_corruption,q5_election_fairness
a8ce281f-49ae-4f7a-9e67-739efd7ba82b,2d1368f3-0580-4066-b22c-3dae2db4e428,survey_527,Botswana,Reneetown,Female,,Primary,Unemployed,completed,2026-05-14T10:45:25,field_tool,3,Neutral,5,Medium,5
fa225bc4-491a-4f88-b859-03acd294ac9f,c993f819-a7a5-41e8-a101-14f423226464,survey_764,Botswana,West Sharonport,Male,75.0,Primary,Self-employed,completed,2026-05-14T10:43:32,field_tool,3,Good,4,Medium,3
39ffb148-5d5c-4287-917d-4e27b0ff72b2,5f5258ab-cf3a-4723-9ea0-c5033d7a774e,survey_775,Botswana,New Tiffany,Male,66.0,Primary,Unemployed,completed,2026-05-14T10:44:58,field_tool,5,Bad,2,Low,1
c8b6dee9-22a4-4602-aa33-0839ccb0a621,b6004df4-e0de-4676-af08-2598e1b4b7ef,survey_489,Botswana,North Drewberg,Male,30.0,Secondary,Employed,completed,2026-05-14T10:41:16,field_tool,3,Very Good,3,Medium,5
d8e75e10-c2bd-446f-a4ef-cbd18b2d60b1,b1c12d4b-60d1-4c16-8855-817d31120678,survey_454,Botswana,Louischester,Female,39.0,Tertiary,Unemployed,completed,2026-05-14T10:45:04,field_tool,5,Neutral,4,Medium,3
a5d61875-5342-435c-a06c-6b473c6b0c50,c3595dc2-0bd3-42a9-abc7-8c063e9ace12,survey_782,Botswana,Port Amanda,Male,60.0,Secondary,Self-employed,completed,2026-05-14T10:40:55,field_tool,1,Bad,2,High,2
5ea31d48-0aa8-465d-a17f-5b92846d1db5,a1243bea-0da2-4154-bf46-a43a53e2e047,survey_920,Botswana,Moniquehaven,Male,22.0,Primary,Employed,completed,2026-05-14T10:44:38,field_tool,1,Bad,1,Low,3
b8a89ca4-3033-4f6a-b63d-6d0c2d064194,ba303cce-3590-47e0-bd2e-7d9ee2c6093e,survey_571,Botswana,Port Thomasland,Male,58.0,Tertiary,Unemployed,completed,2026-05-14T10:41:04,field_tool,1,Bad,1,Low,2
482c2fbe-49ea-4f0d-a344-1c71d4f4c172,e1e669e5-c055-4921-a35b-8f49823483a8,survey_835,Botswana,Victormouth,Male,23.0,Primary,Employed,completed,2026-05-14T10:41:10,field_tool,4,Neutral,2,High,1
8ee782c9-c90b-4d5b-a541-d42a2a5f2200,868592d2-5fb6-4406-b665-8a3452630028,survey_937,Botswana,Baldwinfort,Female,51.0,Primary,Self-employed,completed,2026-05-14T10:43:41,field_tool,4,Neutral,4,Medium,5
b2ccd99a-4331-4b52-8be2-fdc9a31cff38,a35ae369-66a4-46d4-94c8-a69d44b1a1ee,survey_302,Botswana,East Jeffreyborough,female,50.0,Secondary,Employed,completed,2026-05-14T10:43:30,field_tool,5,Neutral,1,Low,1
3bf0068b-dd8c-4c9f-bb51-2fa03051f1e3,37f5c238-6559-4365-bc00-a0f0dcf89878,survey_333,Botswana,Ronaldfurt,Male,38.0,Primary,Unemployed,completed,2026-05-14T10:44:31,field_tool,5,Good,5,Medium,5
48f34dbf-5828-470f-9664-f2cb57e84ef2,5fc57ff4-d7a9-48ea-af7c-db39283edeec,survey_853,Botswana,Andreaberg,Female,34.0,Primary,Self-employed,completed,2026-05-14T10:40:22,field_tool,1,Good,3,High,1
87b813f9-ef0c-4670-9684-1213602aa17b,5a00d0f2-84d1-4f5e-b1cb-19b34b88445a,survey_161,Botswana,New Blake,Male,40.0,Tertiary,Unemployed,completed,2026-05-14T10:44:01,field_tool,1,Very Good,1,Low,1
53c6d1da-19e5-4e5b-bc24-05e70282a54f,737ea52f-6d15-4b06-961c-9af39f021a19,survey_720,Botswana,Reynoldsstad,Female,41.0,Tertiary,Employed,completed,2026-05-14T10:43:53,field_tool,5,Good,3,Medium,3
6eef1baf-6914-4bdc-a5fb-ebe40807c4de,0653ee85-61e3-4fb4-85e4-9a9e51284026,survey_420,Botswana,South Jesus,Female,37.0,Tertiary,Self-employed,completed,2026-05-14T10:45:09,field_tool,2,Neutral,5,High,1
524629aa-92fb-47a5-8e2b-c6df63d587ed,1519613c-e6c7-4f15-9bed-83be136d6cce,survey_915,Botswana,Meganhaven,Female,74.0,Secondary,Unemployed,completed,2026-05-14T10:44:18,field_tool,4,Very Good,2,High,4
d7240e81-4f9f-49b1-823a-7c1c7c40052c,46c3c90c-c92e-4e01-9402-3a93a4c688ec,survey_424,Botswana,North David,Female,73.0,Secondary,Self-employed,completed,2026-05-14T10:42:43,field_tool,2,Very Good,3,High,4
b1f61773-f641-4500-b475-ba0ad15205a1,5571276b-3347-4b1b-8bc8-5d3709cccf1a,survey_116,Botswana,Lake Mark,Male,29.0,Secondary,Unemployed,completed,2026-05-14T10:42:13,field_tool,2,Good,3,High,1
e16101f2-d4ef-4f5f-9e0b-44fad82da70a,aefc6ef1-c4bb-4ace-90c8-da67bec62bbe,survey_974,Botswana,Jamesberg,Female,37.0,Tertiary,Unemployed,completed,2026-05-14T10:44:17,field_tool,2,Neutral,4,Low,4
9e222374-d6af-486f-b29f-8cf43862d400,c523b4e9-022f-46bb-82d9-c5d7e991e6d5,survey_781,Botswana,Juanstad,Female,72.0,Primary,Unemployed,completed,2026-05-14T10:43:05,field_tool,1,Bad,3,Low,4
b2fd6eb2-48f1-41d5-9859-3a7d8c7b69ca,9477d9d7-d265-40c0-a7df-c9aff220eeb5,survey_922,Botswana,South Destinyberg,Female,51.0,Primary,Unemployed,completed,2026-05-14T10:43:02,field_tool,4,Bad,3,Low,2
c9a05489-94cc-4100-9ec8-20e380c72de5,bfc77282-b92c-4a72-ba17-d79a3a42958b,survey_726,Botswana,South Jesus,Female,61.0,Primary,Self-employed,completed,2026-05-14T10:44:39,field_tool,2,Good,3,Low,3
8243d78b-5260-4e9d-8389-335d81396286,77ff3c31-c1f3-4837-8d78-3178c935a278,survey_557,Botswana,Petersonland,Male,48.0,Secondary,Unemployed,completed,2026-05-14T10:42:19,field_tool,2,Neutral,3,Low,2
f727d021-67a7-4a19-a032-c38aafafa29b,c5274f35-6dc5-4044-b016-b62bd8867545,survey_905,Botswana,Clarkmouth,Female,75.0,Secondary,Self-employed,completed,2026-05-14T10:44:24,field_tool,3,Good,2,High,3
c9038cf0-6ebf-4129-9e4e-c183a7f9150b,93d797e7-2392-4df4-9fec-59ac07b4e684,survey_939,Botswana,West Sherry,Male,57.0,Primary,Unemployed,completed,2026-05-14T10:39:43,field_tool,5,Very Good,1,Medium,5
21e91bd6-dcc2-4669-b63b-32f971833e57,d5949c84-a8aa-454e-8f76-770a7ff2e80a,survey_183,Botswana,Matthewchester,Male,27.0,Tertiary,Unemployed,completed,2026-05-14T10:43:16,field_tool,4,Good,1,Medium,4
83ea6900-c8c7-4609-bff3-b71081430a05,c34995ff-6743-4c04-80ac-1c00af8e26b2,survey_472,Botswana,Marktown,Male,35.0,Primary,Unemployed,completed,2026-05-14T10:44:29,field_tool,2,Neutral,1,Medium,3
3a7aca57-8a65-4426-b60a-3dfb31c3eddb,239e5593-ec11-444d-883e-d925c90d35aa,survey_427,Botswana,West Ashley,Female,68.0,Secondary,Unemployed,completed,2026-05-14T10:44:47,field_tool,5,Neutral,2,Low,5
45a4d2fe-6e0b-4633-b270-38653d1e6b86,ddf01771-92e9-4765-9b9b-3926e9eba9fe,survey_299,Botswana,Bairdborough,Male,21.0,Tertiary,Self-employed,completed,2026-05-14T10:42:59,field_tool,3,Neutral,4,Medium,1
d4203c08-f02d-435e-94ee-42b6cdacf7a6,3036f6b9-62ed-4403-88d4-5ff4104f3fc5,survey_129,Botswana,Rodriguezshire,Female,27.0,Tertiary,Self-employed,completed,2026-05-14T10:43:30,field_tool,4,Bad,3,Medium,2
1b2f17a3-98c9-4de5-9eec-c72ae4760822,17deace8-4dfd-4ecd-a50d-ede5a395b867,survey_554,Botswana,North Emily,Female,53.0,Secondary,Employed,completed,2026-05-14T10:41:09,field_tool,3,Very Good,3,High,5
1fc66f7e-6b20-42f0-838f-214a523a0211,9a760ea9-b063-49a0-9393-daad0835075f,survey_117,Botswana,Johnsonborough,Female,55.0,Primary,Employed,completed,2026-05-14T10:40:14,field_tool,3,Very Good,3,High,3
238b060f-c18f-4bdd-bea5-42dae11421ca,48a84587-62c9-44fc-b686-cfa7e94ded1e,survey_431,Botswana,East Kelly,Female,58.0,Secondary,Employed,completed,2026-05-14T10:44:07,field_tool,3,Bad,3,Medium,5
dc862ec7-aa41-479f-9cf0-de51f1b12773,5e5ffeaa-0eb5-4078-b464-d6f211ea2c00,survey_830,Botswana,East Markchester,Male,21.0,Primary,Unemployed,completed,2026-05-14T10:42:59,field_tool,1,Bad,2,High,1
49a700bb-ed5c-4c7a-ae7b-bbae8998f225,210f2a8a-1c59-4736-bd56-1b27283379b8,survey_468,Botswana,Mendozaland,Male,33.0,Secondary,Unemployed,completed,2026-05-14T10:42:58,field_tool,1,Very Good,3,High,4
8836df22-f278-42b3-a34f-31cd0f7a2eb1,34dbda6b-dd9e-4b6d-a751-82a4f48138b5,survey_908,Botswana,Port Jamie,Female,51.0,Secondary,Self-employed,completed,2026-05-14T10:43:20,field_tool,2,Bad,2,Medium,2
9023d2cd-c041-4f2d-95b5-ea663370b755,798b2f02-aa2f-49d1-b5ad-09f5d161a381,survey_345,Botswana,New Barbara,Male,73.0,Primary,Self-employed,completed,2026-05-14T10:42:17,field_tool,5,Bad,1,Low,2
731d7752-6e6e-419a-bb80-d25a0c5ceaf5,b77e5f7a-80a2-43e3-b3f6-07309665df7c,survey_256,Botswana,Hilltown,Female,32.0,Primary,Self-employed,completed,2026-05-14T10:40:52,field_tool,3,Good,4,Low,4
68b140c5-1783-4b58-81e1-011f6a69bf9f,663463e9-d317-48c9-9060-573a721b7707,survey_785,Botswana,New Mark,Male,36.0,Tertiary,Self-employed,completed,2026-05-14T10:44:30,field_tool,4,Bad,1,High,5
517b0c59-caad-4d92-bc81-1908d3508298,76733597-75cf-4755-bdaf-76e7e115d52b,survey_457,Botswana,Lake Christophermouth,Male,55.0,Tertiary,Employed,completed,2026-05-14T10:42:36,field_tool,5,Good,5,High,4
0bc554aa-c74b-4553-b82c-8fcd3695640b,cad73d36-b62e-4f02-97b7-3862b347f1d4,survey_862,Botswana,Peterburgh,Male,18.0,Tertiary,Unemployed,completed,2026-05-14T10:43:11,field_tool,3,Good,5,Medium,2
9b61f945-9017-46ce-b429-11c75f67ef78,9e23faf9-e664-44db-adf8-d4a83fc74cb8,survey_434,Botswana,Ellisburgh,Male,34.0,Secondary,Unemployed,completed,2026-05-14T10:45:36,field_tool,1,Good,4,High,4
a87c12c5-d106-4dce-879d-ccad6e9da624,b2da61f7-64bf-476d-9874-ed7d9190c53f,survey_923,Botswana,East Nicoleburgh,Female,25.0,Primary,Self-employed,completed,2026-05-14T10:41:59,field_tool,2,Neutral,5,Low,3
fa025459-1fcf-4b3c-abfc-731fa36174af,4ab946a2-89a9-4af3-a0ca-0f8ee1ef2dd3,survey_574,Botswana,Lake Jessicaborough,Male,70.0,Primary,Self-employed,completed,2026-05-14T10:43:51,field_tool,2,Good,2,Low,1
f066297e-f04c-4f83-9fca-5e413c4bcb4c,8d85ddf1-c309-4f28-be0d-40b469498671,survey_981,Botswana,West Charlesville,Female,,Secondary,Employed,completed,2026-05-14T10:43:57,field_tool,4,Very Good,3,Medium,4
6d2ae829-96e1-4bb1-aad7-14aeb127f9df,68fc0e45-5375-48d4-878e-0272c43be7af,survey_392,Botswana,Martinborough,Male,48.0,Tertiary,Employed,completed,2026-05-14T10:43:58,field_tool,1,Bad,1,High,5
589481af-d251-4be5-856b-92373b3885de,12bcf090-06d6-4ba7-b650-9bcd0b6d35d7,survey_410,Botswana,Jamesfurt,Male,35.0,Secondary,Unemployed,completed,2026-05-14T10:41:18,field_tool,5,Neutral,1,High,3
fb21ea39-9c7c-4075-910a-70d86767204b,4027b283-02bf-4f1c-89ab-99a3658c72ee,survey_481,Botswana,Lake Sallymouth,Male,45.0,Primary,Unemployed,completed,2026-05-14T10:45:22,field_tool,4,Bad,3,High,1
1cf52f70-758b-423c-b979-0006bbd886ea,761b7e11-7c19-4e61-b6d8-cbc7bfa93b6e,survey_919,Botswana,North Amybury,Female,47.0,Primary,Employed,completed,2026-05-14T10:43:23,field_tool,1,Very Good,2,High,1
babe24a7-018b-4f74-b36d-ec9f2a31b31a,4775d7ab-d207-4bc4-b885-8b6d23e7cd20,survey_693,Botswana,East Mary,Male,47.0,Tertiary,Self-employed,completed,2026-05-14T10:44:49,field_tool,3,Good,1,Low,5
a6ef85a0-6b4a-433f-8474-ccccd14d1358,1fc8628d-4b4d-4079-ad5f-60d919bb5bf0,survey_166,Botswana,Jacksontown,Female,62.0,Secondary,Self-employed,completed,2026-05-14T10:45:25,field_tool,4,Bad,1,Medium,4
