response_id,respondent_id,survey_id,country,region,gender,age,education_level,employment_status,completion_status,submission_timestamp,source_system,q1_democracy,q2_economy,q3_trust_govt,q4_corruption,q5_election_fairness
0215f90f-eaf1-41e9-a13b-cf7f5172a489,ac48ceaf-2b85-4fb7-b29e-21268840e78a,survey_397,Cabo Verde,Scottton,Female,25.0,Primary,Unemployed,completed,2026-05-14T10:45:17,field_tool,5,Bad,2,Low,2
5d5f6e54-430a-4959-a9e6-afaa8fcf3a46,141fb001-f7bc-4c14-9241-9671da2fc99b,survey_657,Cabo Verde,Hoffmanstad,female,47.0,Tertiary,Unemployed,completed,2026-05-14T10:40:21,field_tool,4,Very Good,1,Medium,2
13da1f2e-924d-4334-b387-cf67098b4465,87935334-fc20-494e-bf7d-a45e35221344,survey_361,Cabo Verde,Kevinmouth,Female,23.0,Secondary,Employed,completed,2026-05-14T10:43:30,field_tool,4,Bad,1,High,5
89abbb34-437d-4dd4-ad67-22004e363576,27e9184f-0791-4b35-b7a6-3918acac1f3b,survey_309,Cabo Verde,New Michael,Female,38.0,Secondary,Self-employed,completed,2026-05-14T10:43:19,field_tool,3,Very Good,3,High,3
36eb29e7-49e3-43a9-b97e-f90698ffa93d,05fe16de-c3d3-4e5c-beee-71386a5731f7,survey_101,Cabo Verde,Angelafort,Male,60.0,Primary,Unemployed,completed,2026-05-14T10:41:39,field_tool,2,Bad,3,High,4
450ab2b7-912d-4f96-bcc9-73e87c7bbd6b,21b6eb84-899f-4d03-abd2-35736012a24e,survey_621,Cabo Verde,Lawsonville,Female,26.0,Primary,Unemployed,completed,2026-05-14T10:40:28,field_tool,3,Good,4,High,5
5942dcf0-8adc-40fe-a247-deae91499f3a,fdfc4a9d-3618-487c-b7e2-dc86654fda31,survey_122,Cabo Verde,New Keithburgh,Male,68.0,Tertiary,Unemployed,completed,2026-05-14T10:43:04,field_tool,5,Bad,4,Medium,4
2cdf5633-ba5b-4c69-b3e6-613893c91ff2,c053f253-5a1e-490d-a894-844f8cd1692d,survey_980,Cabo Verde,South Rachel,Female,73.0,Tertiary,Self-employed,completed,2026-05-14T10:42:01,field_tool,1,Neutral,2,Low,5
301fee9b-62c5-4dda-8f24-4e923677d2e9,a159bef3-5cf9-4400-853f-777f51c46d6e,survey_376,Cabo Verde,Lake Nicolemouth,Female,50.0,Secondary,Unemployed,completed,2026-05-14T10:43:56,field_tool,1,Neutral,3,Low,4
a02210d3-3bdc-4b52-bf3f-94197dd9767a,39a01a0b-6465-4945-8852-787c891edaa2,survey_301,Cabo Verde,Simpsonmouth,Male,25.0,Primary,Self-employed,completed,2026-05-14T10:42:05,field_tool,4,Bad,1,Medium,3
ec04cac5-a0a2-4ea6-87ec-f48a5a9fa26e,282f0aa6-730f-4b28-acaf-549ed37dcef3,survey_878,Cabo Verde,South Keith,Male,31.0,Tertiary,Employed,completed,2026-05-14T10:44:11,field_tool,5,Very Good,2,Low,4
d96c69df-0ae5-4274-afe5-c625dcaa9ef4,76ca1cbe-c34f-43a9-9584-9e58d4721e33,survey_327,Cabo Verde,Lake Rebecca,Female,40.0,Tertiary,Employed,completed,2026-05-14T10:42:55,field_tool,2,Very Good,3,Medium,4
2db60ab7-fd53-46aa-898a-13e776a1f1c7,f96846e7-6b08-484b-a731-d6f394853923,survey_108,Cabo Verde,Jenkinstown,Male,24.0,Tertiary,Employed,completed,2026-05-14T10:44:55,field_tool,5,Bad,3,High,5
6ebcaaab-709b-4cd1-ab95-fef8ace4b1ee,9eb318ad-9c15-425e-a379-750a3964afe6,survey_505,Cabo Verde,New Ashleychester,Female,29.0,Primary,Unemployed,completed,2026-05-14T10:39:50,field_tool,3,Neutral,1,Medium,1
99ce3bc1-b6c4-4003-bbac-16b68c5232da,2a9d0c6a-3ffc-4e13-9c1c-ac23533487f7,survey_725,Cabo Verde,Cohenstad,Male,32.0,Primary,Self-employed,completed,2026-05-14T10:39:50,field_tool,3,Very Good,4,High,1
07dec2e8-c9ff-41d9-8bf8-f1ac48b5e814,ca359116-e22d-4fbb-99f1-9675be32fa85,survey_806,Cabo Verde,Arnoldborough,FEMALE,22.0,Tertiary,Self-employed,completed,2026-05-14T10:41:01,field_tool,3,Bad,5,High,2
f5c81300-0637-4865-98b8-22f0ab71e1c1,dfe91357-b91a-4793-9e7a-ffce753057b9,survey_664,Cabo Verde,East Thomas,Female,67.0,Tertiary,Employed,completed,2026-05-14T10:41:21,field_tool,1,Very Good,5,Medium,1
4afbef0f-80b6-455b-a869-689d60fd00df,109792a4-4b00-4cfc-a1f5-5aa5529e0da0,survey_576,Cabo Verde,East Beckymouth,Male,35.0,Primary,Self-employed,completed,2026-05-14T10:41:44,field_tool,5,Very Good,2,Low,4
38379623-6b3f-4989-ae44-1f7d5c8ea3f9,fd5dda42-7193-4177-9a6e-868daf051197,survey_287,Cabo Verde,Port Gregory,Female,54.0,Primary,Unemployed,completed,2026-05-14T10:43:35,field_tool,1,Very Good,3,High,2
e6944c61-ade6-46e6-a688-7a7f1e2d86b9,cdbe6de6-1c74-4dfd-a431-6e6c800e1610,survey_810,Cabo Verde,Monicaburgh,Female,,Tertiary,Self-employed,completed,2026-05-14T10:41:44,field_tool,2,Neutral,4,High,1
df4c5f69-53dd-4bb6-b47b-164ddd0aa25c,11e12ee9-f664-42b9-b8d8-061976538a69,survey_541,Cabo Verde,Lake Antoniochester,Male,37.0,Primary,Self-employed,completed,2026-05-14T10:44:05,field_tool,4,Neutral,1,Medium,1
ce291976-2d0f-4775-9b63-bf71ab6c3a33,62a40afe-dcb7-4b1f-b85f-a1adfedb5a32,survey_273,Cabo Verde,Port Robertview,Male,46.0,Primary,Employed,completed,2026-05-14T10:44:14,field_tool,1,Bad,5,Medium,2
d06ffac3-0a4e-4efe-bdef-ec8b4c7139eb,9b62d6d2-c6cf-47bf-b73e-54c31ef8aca7,survey_171,Cabo Verde,South Timothyton,Female,44.0,Tertiary,Unemployed,completed,2026-05-14T10:42:08,field_tool,2,Very Good,5,Low,1
6664c583-9d99-461a-9bd2-afcec29ea87d,d2834904-d40b-49dc-a5fd-5412cfc91b52,survey_130,Cabo Verde,West Reginaldhaven,Male,48.0,Primary,Employed,completed,2026-05-14T10:45:01,field_tool,4,Neutral,2,Medium,5
b6d4ed3e-2f51-40ad-84cd-67d9b0932547,c99496ab-6db7-4a7e-b0a6-d78ba64e2384,survey_572,Cabo Verde,North Dustinview,Male,47.0,Primary,Employed,completed,2026-05-14T10:44:35,field_tool,1,Very Good,2,High,1
45891066-a7cf-4153-a7ee-37bcfbcb2d40,b8d49cf2-1c9d-4bd3-8aa7-8357c0ea7a67,survey_142,Cabo Verde,West Robert,Male,70.0,Tertiary,Self-employed,completed,2026-05-14T10:42:32,field_tool,4,Bad,4,Medium,2
f9532c33-c6c2-43d4-86ee-4e21bc14b2b5,cba95e23-3e39-4f9b-a9b8-b3ea2456d767,survey_423,Cabo Verde,Clarkville,Male,69.0,Tertiary,Unemployed,completed,2026-05-14T10:42:27,field_tool,4,Bad,4,High,5
45ad012d-af9d-4e5a-a6cb-fb50fa6393d0,754f595f-12f6-48e6-b197-603ca45c7178,survey_106,Cabo Verde,Goodwinview,Male,22.0,Secondary,Unemployed,completed,2026-05-14T10:42:34,field_tool,3,Neutral,4,High,2
df11d1af-14de-439c-bae2-52cf9578edc9,54a6368b-71d6-4744-b06f-06814b9842c5,survey_234,Cabo Verde,Lyonsshire,Male,36.0,Primary,Unemployed,completed,2026-05-14T10:41:59,field_tool,2,Bad,4,High,2
ed61e434-ed36-45e7-81c6-82faba80d68a,23d86a4f-c2e6-4c05-8926-8f85982c7129,survey_184,Cabo Verde,New Keith,Female,55.0,Primary,Self-employed,completed,2026-05-14T10:41:32,field_tool,1,Good,3,Low,4
03e38269-bcd0-4388-a7cf-32c5f5c15ece,5cdb7eda-9044-4ec6-9ef0-195ee152dc3a,survey_313,Cabo Verde,Kristopherburgh,Female,42.0,Tertiary,Employed,completed,2026-05-14T10:44:29,field_tool,4,Good,3,High,2
191a686a-d2be-4e04-b8f3-967036b4cc1e,b68c55b2-79ac-446d-8e03-87ada246ea52,survey_717,Cabo Verde,Nunezberg,Male,23.0,Secondary,Self-employed,completed,2026-05-14T10:45:34,field_tool,5,Bad,2,Medium,3
b01e0983-475c-44ab-a03a-d52e70704afc,4ad653d0-9b81-4e24-a582-bca620e8dae1,survey_137,Cabo Verde,Scottbury,Female,40.0,Primary,Employed,completed,2026-05-14T10:39:53,field_tool,1,Bad,3,Low,5
6271f6ff-89c5-4b40-bf75-5ad201cf0198,4d8e8fdb-954e-45fb-b62f-7bc2d9d5d66c,survey_514,Cabo Verde,New Alexander,Male,45.0,Tertiary,Unemployed,completed,2026-05-14T10:42:45,field_tool,5,Very Good,3,Medium,5
6e2b8635-9933-429b-920d-ae719acb37b1,dec78f9e-bed6-4914-8233-0e6eb89c96e9,survey_229,Cabo Verde,Woodsburgh,Female,50.0,Primary,Unemployed,completed,2026-05-14T10:42:35,field_tool,4,Bad,1,Low,5
cc5c0271-5ede-4d15-ab2a-6a4d8893c837,da44ae00-964e-41dd-a7e7-8bbaa4d37418,survey_548,Cabo Verde,Alexandrafurt,female,34.0,Tertiary,Self-employed,completed,2026-05-14T10:43:47,field_tool,1,Bad,5,High,4
325b5929-7748-467e-bb64-6adfb4cd1510,8675ec71-deeb-4601-ab4b-8171a5fc00b5,survey_547,Cabo Verde,Thompsonfurt,Female,54.0,Secondary,Employed,completed,2026-05-14T10:39:46,field_tool,1,Very Good,5,Low,5
abc5a6da-de51-4d8f-a8e9-07d93070a77d,57a55d1a-1093-405b-b26b-3379ab32dc3a,survey_953,Cabo Verde,West Jamie,Male,64.0,Primary,Unemployed,completed,2026-05-14T10:40:55,field_tool,2,Good,5,Medium,5
