response_id,respondent_id,survey_id,country,region,gender,age,education_level,employment_status,completion_status,submission_timestamp,source_system,q1_democracy,q2_economy,q3_trust_govt,q4_corruption,q5_election_fairness
08717518-064a-4772-9192-9b0e4d313d95,237c56bb-48d1-40c6-9cdc-546cd4f0fd63,survey_656,Cameroon,South Catherineview,Female,35.0,Tertiary,Employed,completed,2026-05-14T10:40:59,field_tool,5,Bad,5,Low,2
1ad29a34-da69-49f8-bece-0781424609ec,83cfed3b-b32f-4256-86ac-dcafa4ba0ef5,survey_554,Cameroon,South Catherineport,Male,63.0,Secondary,Unemployed,completed,2026-05-14T10:39:55,field_tool,1,Neutral,4,Medium,2
01c3dde5-f3c1-486b-82ba-4ecdde1d0d71,aa3e009c-56b2-43cd-9a26-ec8964b56f4e,survey_240,Cameroon,Lake Thomas,Male,69.0,Tertiary,Self-employed,completed,2026-05-14T10:43:30,field_tool,4,Bad,3,Low,3
d4ca3805-919b-461f-a5a6-7ad4c85b2a07,4e70263a-8245-408f-b3a2-e9575bd72a7c,survey_967,Cameroon,Desireefurt,Female,34.0,Primary,Unemployed,completed,2026-05-14T10:43:13,field_tool,2,Bad,1,High,3
315ccac3-d994-4c38-925d-397ad419730e,cb5475bf-3c31-485d-ae35-0ed7ce955086,survey_982,Cameroon,Elizabethborough,Male,65.0,Tertiary,Unemployed,completed,2026-05-14T10:41:42,field_tool,4,Neutral,5,Medium,5
6c3a2e9a-c99b-4021-a62e-5615082bb37f,27bc7004-b407-4f12-a612-92e07616e3a2,survey_227,Cameroon,North Brianville,Female,24.0,Tertiary,Unemployed,completed,2026-05-14T10:40:54,field_tool,2,Very Good,5,High,4
70f28b18-d7ce-4458-a34b-c80f0d92fd8b,2048ba6e-72ec-4f04-bf8b-b8911b908e3f,survey_875,Cameroon,Lake Charles,Female,40.0,Tertiary,Employed,completed,2026-05-14T10:42:29,field_tool,4,Very Good,4,Medium,1
cacefe9d-7cce-4c41-8a30-18cbdf7e3697,3d3fc0e0-944b-4f07-91e8-44c9b00ecc67,survey_773,Cameroon,Grahamville,Female,73.0,Tertiary,Self-employed,completed,2026-05-14T10:45:08,field_tool,2,Very Good,2,Medium,5
45c57b9e-0d31-4ab9-8b0e-a9d08aa9f6bd,8d57c064-abf0-44f1-b14c-d6f2ab13b31a,survey_894,Cameroon,Sharonborough,Female,64.0,Tertiary,Employed,completed,2026-05-14T10:43:41,field_tool,4,Very Good,2,Low,2
7cac66c3-d52e-4f88-a86e-85a9a70f2fbe,281269bc-5d3c-42be-88a9-7c0fa7fb859f,survey_950,Cameroon,Leeland,Male,45.0,Tertiary,Self-employed,completed,2026-05-14T10:40:04,field_tool,1,Neutral,4,Low,4
c77f62ee-d6f6-486e-87ae-103f301367ab,cdba8621-da62-4307-9753-ba9908087cc4,survey_291,Cameroon,Perryfort,Male,70.0,Tertiary,Self-employed,completed,2026-05-14T10:43:36,field_tool,5,Bad,4,Medium,5
4a384ed4-ad43-420c-bf32-30b29d9bf6ed,c8a22fe0-65c1-4162-b76f-fc87a8884750,survey_238,Cameroon,Shannonmouth,Male,54.0,Secondary,Unemployed,completed,2026-05-14T10:43:15,field_tool,5,Very Good,4,Medium,2
ccd8c2b4-0e77-436d-a9c5-8feb26c4ea51,ea5dc3de-f543-414d-9095-f881a88d37de,survey_489,Cameroon,North Misty,Female,56.0,Secondary,Employed,completed,2026-05-14T10:41:03,field_tool,5,Neutral,5,Medium,5
23822222-6a84-4061-a8fa-d8bef1d4c52c,17dd0691-6a71-4fda-8027-58b2f44c5255,survey_397,Cameroon,Hutchinsonmouth,Male,22.0,Primary,Unemployed,completed,2026-05-14T10:40:54,field_tool,1,Very Good,3,Medium,5
054c880c-1a80-4ec2-9952-7f93f196f7a1,3d722c0e-23ed-4309-a25c-2f4a0ac22e6d,survey_983,Cameroon,Kruegerborough,Male,70.0,Secondary,Unemployed,completed,2026-05-14T10:41:11,field_tool,3,Bad,5,Low,4
766e7965-f876-4149-80b1-feccdd5b952a,025c9425-c557-43d3-89d7-cc9c6af98a8b,survey_638,Cameroon,Jenniferstad,Male,71.0,Secondary,Employed,completed,2026-05-14T10:42:31,field_tool,1,Good,1,High,5
8c99634e-4718-4d16-9e5b-584ad9bc1c2d,c5857b6b-7b98-4c6e-9ac6-e2bf00b36478,survey_285,Cameroon,East Dylan,Male,56.0,Tertiary,Unemployed,completed,2026-05-14T10:45:27,field_tool,5,Very Good,3,Low,4
89bf4215-9f86-47fc-94f0-df3f5245cfaf,be7a38c6-bc8e-4e55-9b97-151da89e4fa6,survey_703,Cameroon,Alyssahaven,female,59.0,Primary,Employed,completed,2026-05-14T10:44:41,field_tool,1,Bad,2,Medium,1
ad81a112-d1d0-4ffa-b2bd-587a33eb48c0,32586047-9cba-4eda-ad34-3b0f9cca6d2a,survey_136,Cameroon,Carrilloton,Male,43.0,Secondary,Unemployed,completed,2026-05-14T10:43:31,field_tool,2,Bad,4,Low,5
d3c768ea-b4bc-4b5c-920a-33b9b71ad8c5,8c1043d4-974a-45a0-b817-68f8f6d20b48,survey_971,Cameroon,Ambermouth,Female,29.0,Primary,Unemployed,completed,2026-05-14T10:40:01,field_tool,5,Neutral,1,Low,5
fa4ed12e-17e8-48c9-9e52-05f6d01569e3,68473103-0496-422f-9525-a0d148d40d84,survey_901,Cameroon,South Mariachester,Male,74.0,Secondary,Self-employed,completed,2026-05-14T10:43:36,field_tool,2,Bad,2,Medium,2
0ab1592f-3287-4a42-85e3-d135dd25599e,9267e278-9bd7-49be-a265-eddaea02cc7d,survey_818,Cameroon,West Mary,Female,45.0,Tertiary,Unemployed,completed,2026-05-14T10:41:33,field_tool,3,Neutral,4,Low,3
701e1171-b9b0-45f2-bac9-4f28fbe23107,e43a3562-4cdf-4063-83c3-698873037257,survey_900,Cameroon,Port Jeromeshire,Male,38.0,Tertiary,Employed,completed,2026-05-14T10:41:49,field_tool,3,Good,4,Low,5
29cf7c3a-361d-4c34-aa06-ff27b55196e2,87dec2ea-0118-42a5-83ef-054265126fe3,survey_607,Cameroon,North Jeffrey,Female,61.0,Secondary,Employed,completed,2026-05-14T10:43:29,field_tool,4,Very Good,2,Medium,3
a5842aea-0fc8-438c-be1d-62e62f56c2ad,6e152f71-0093-4ba0-a5a0-7e433d2dca86,survey_841,Cameroon,North Leahview,Female,32.0,Primary,Unemployed,completed,2026-05-14T10:44:13,field_tool,4,Very Good,5,Low,4
54a7bf1c-7f43-4339-b53a-6671f408a92f,f09e64ef-8bea-4f03-a645-3b43d07e22a1,survey_865,Cameroon,Smithport,Female,50.0,Secondary,Self-employed,completed,2026-05-14T10:44:46,field_tool,2,Good,5,Low,2
9edf0ebe-637c-4fdf-8acf-b5d203c29bab,fd267a93-7f23-42b5-8d1b-293ba9cef593,survey_975,Cameroon,New Donna,Female,45.0,Secondary,Unemployed,completed,2026-05-14T10:42:06,field_tool,2,Very Good,4,Medium,5
731d9525-3d33-4015-bf64-13cfa337a94a,3c1e0ac4-daf0-4b92-9da9-c3c5c798c498,survey_930,Cameroon,Castromouth,Female,19.0,Secondary,Unemployed,completed,2026-05-14T10:41:09,field_tool,3,Very Good,1,Low,5
b4761f32-2020-4ceb-97f6-786e3268b05b,03a35aed-3344-4c51-a7f6-55fb8b8943fd,survey_518,Cameroon,Millerbury,Female,67.0,Tertiary,Self-employed,completed,2026-05-14T10:43:44,field_tool,2,Good,3,High,4
a8b1cb1b-1b6d-461f-9944-4915e4445cd4,ee5b6379-213f-467b-9976-34e5054bffbb,survey_881,Cameroon,Garyport,Female,20.0,Tertiary,Unemployed,completed,2026-05-14T10:45:22,field_tool,3,Bad,3,Low,1
d06836a4-3c93-47c3-99d1-773214a90b05,e7eca309-296f-40d7-aa63-2a6b41d0d034,survey_850,Cameroon,Harrisburgh,Male,43.0,Primary,Employed,completed,2026-05-14T10:42:44,field_tool,4,Neutral,3,High,5
9a10d3cf-7cd6-4def-8a1e-feceb74a6b51,49ed6369-ee86-4beb-83dd-1d6a18fc9899,survey_332,Cameroon,Whitneyside,Male,62.0,Tertiary,Unemployed,completed,2026-05-14T10:45:06,field_tool,2,Good,3,Low,3
4cb8fa68-d6f7-4bac-accf-d65080b49b27,27d3584c-fb99-4c3e-9383-883b118f1972,survey_241,Cameroon,Port Sharonbury,Male,19.0,Secondary,Self-employed,completed,2026-05-14T10:40:12,field_tool,3,Bad,3,High,2
dcd8ec29-3a23-4c80-9e8f-6ae2934713a8,c229a415-cb5f-4951-8534-f723c75694ac,survey_675,Cameroon,Tammyville,female,39.0,Primary,Unemployed,completed,2026-05-14T10:43:30,field_tool,2,Good,2,High,2
b9f7d970-2c37-4a0a-93e6-cc25e3eb7901,c4188fea-801e-4901-9f16-a10e56685b02,survey_788,Cameroon,Dixonfort,Female,67.0,Tertiary,Employed,completed,2026-05-14T10:45:21,field_tool,2,Very Good,5,Medium,2
d6e11b6d-af66-43b0-aa5b-426e623af95f,15510ef5-c916-44e6-873e-b4b19d47172c,survey_214,Cameroon,Kristinastad,Male,64.0,Primary,Employed,completed,2026-05-14T10:41:09,field_tool,3,Bad,3,High,4
a2873d7b-2b24-4d67-83c3-0e3e25163663,8b991282-3075-49af-8e7d-765b634c25ea,survey_252,Cameroon,Jessicaland,Female,47.0,Tertiary,Unemployed,completed,2026-05-14T10:40:11,field_tool,4,Neutral,3,High,1
643f24ad-19f6-49b2-8c9e-7fd2d42ea0ae,290c07eb-5793-4195-a553-ff33298bfa25,survey_832,Cameroon,South Vickie,Female,51.0,Tertiary,Unemployed,completed,2026-05-14T10:45:02,field_tool,3,Good,3,High,3
62ad6a86-6795-4660-9121-2a2ecb236949,da7f624b-5716-4640-87a0-424659f43595,survey_740,Cameroon,Sparkschester,Female,69.0,Primary,Self-employed,completed,2026-05-14T10:40:32,field_tool,2,Good,1,High,4
65fcef53-cbcf-4072-8241-e0f71cf468f4,cfd2be23-c69e-473d-832d-f0cccea993a0,survey_800,Cameroon,Lewisborough,Female,40.0,Primary,Self-employed,completed,2026-05-14T10:44:56,field_tool,4,Bad,4,High,4
05bd656d-bb52-4ca8-895c-46fc429e3955,961b53af-c601-422f-bbc1-9e2fa3327e99,survey_304,Cameroon,Lake Jeremyfort,Male,24.0,Primary,Unemployed,completed,2026-05-14T10:44:24,field_tool,3,Very Good,1,High,1
586a981b-dab2-41cb-a56c-9a5a30a19060,527c9dea-6324-4e63-b535-ddc2c555b4b5,survey_836,Cameroon,Jameston,Female,41.0,Tertiary,Self-employed,completed,2026-05-14T10:39:57,field_tool,2,Very Good,3,High,2
ba691354-ef6e-40ee-a31e-4fb5bcb94293,922913f1-00f3-4866-b026-0bb173f1df26,survey_623,Cameroon,Andrestad,Female,34.0,Tertiary,Unemployed,completed,2026-05-14T10:45:11,field_tool,4,Neutral,1,Low,5
453e2040-96be-48d6-959b-90ba93b34ec5,d667a724-bfee-4aef-aa60-6a4b56b6b8cc,survey_952,Cameroon,West Michelleland,Male,32.0,Secondary,Employed,completed,2026-05-14T10:40:47,field_tool,1,Neutral,5,Low,3
fd9b2772-350f-48d2-8679-7c771f0e44dd,85406adb-983a-4235-9891-f8cfd7d050be,survey_418,Cameroon,New Derekfort,Male,49.0,Secondary,Employed,completed,2026-05-14T10:44:22,field_tool,3,Neutral,2,Low,4
2160f340-bb1f-4fc9-a29b-4a9a53d4018d,c2f72b1f-b9d4-42d3-8d35-f50cff02bf74,survey_277,Cameroon,Davidton,Female,69.0,Primary,Unemployed,completed,2026-05-14T10:45:05,field_tool,2,Bad,3,Low,3
a521b821-0efa-45ff-938b-c40469d346d4,897e2ce5-4fe3-4b6d-befc-5196512b4c10,survey_248,Cameroon,Carterville,Male,59.0,Secondary,Self-employed,completed,2026-05-14T10:40:07,field_tool,2,Very Good,3,Medium,1
93d3cc2d-26e4-4fa3-b70f-9054b3b8a158,f6cdd0d1-aa31-422b-8cda-3e1cf0657d73,survey_209,Cameroon,Lake Jonathan,Male,68.0,Primary,Unemployed,completed,2026-05-14T10:42:53,field_tool,2,Very Good,3,Medium,4
9dc56acb-7f55-46b0-a255-779a7d219d05,570662ce-47d9-4d10-a72d-6aceffd0dce0,survey_212,Cameroon,Zavalahaven,Female,56.0,Tertiary,Unemployed,completed,2026-05-14T10:42:45,field_tool,3,Bad,3,Low,3
8e933a45-cc8a-49c0-8e99-3c335a36ff58,bd16c038-4ef2-43f5-bf8f-bd67133a8490,survey_307,Cameroon,Richardtown,Male,51.0,Tertiary,Unemployed,completed,2026-05-14T10:42:04,field_tool,2,Very Good,5,Medium,2
5d5707dd-ba45-48da-90ff-7f075269dc4f,17d3d848-b638-4b9c-af4d-7d4a53e7ad02,survey_260,Cameroon,New Carrie,Male,61.0,Tertiary,Self-employed,completed,2026-05-14T10:40:30,field_tool,4,Very Good,1,Low,1
808c6f3a-557b-4e20-88d3-df1ca73f66a0,f981f289-185c-49ed-9d06-17355ccee873,survey_698,Cameroon,Katrinamouth,Female,,Primary,Self-employed,completed,2026-05-14T10:40:42,field_tool,4,Neutral,4,Medium,1
8f6a0de2-cc3a-4ad0-aa71-f319a82420db,950ce835-3659-4a8c-938f-b1ef2ec01db7,survey_962,Cameroon,East Brandonport,Female,28.0,Secondary,Employed,completed,2026-05-14T10:44:20,field_tool,5,Bad,1,Low,5
84bd4de7-860a-4c83-9fda-e716e88baac9,dbf7fa26-e9b8-4caf-8a93-0d39c13d3c53,survey_200,Cameroon,Port Jennifershire,Female,57.0,Tertiary,Self-employed,completed,2026-05-14T10:45:32,field_tool,2,Very Good,5,High,3
7ceb726a-8741-4cb4-858c-8d51e2f331d5,8d67e82c-e804-4c91-8c15-b7ec8bcae422,survey_595,Cameroon,Craigfurt,Female,47.0,Primary,Employed,completed,2026-05-14T10:39:59,field_tool,3,Neutral,5,Low,4
8dfd9dcf-65eb-4945-84c9-1042f80335e0,6b905645-e0c2-442e-ab38-fcdf4fd82aba,survey_454,Cameroon,Lake Mathewton,Female,,Tertiary,Self-employed,completed,2026-05-14T10:40:49,field_tool,5,Bad,3,High,1
a20a2419-a0d3-4ea9-b0ac-631552f34834,f1d799af-f2f0-4a8c-9825-068b11997084,survey_106,Cameroon,North Patriciaton,female,21.0,Primary,Self-employed,completed,2026-05-14T10:43:39,field_tool,4,Neutral,5,Medium,5
71cb58fc-5f5c-4f9c-b8a7-2f8ea254ddf4,8abe2e04-67ee-4fe9-9c72-e5cacf3b6e13,survey_753,Cameroon,West Erikside,Male,65.0,Secondary,Employed,completed,2026-05-14T10:41:45,field_tool,2,Good,5,Medium,4
d2770e9c-c6e6-4e8b-abd1-2689d0b48c5d,2f64a0ad-2b1a-406e-9585-244514fe88bc,survey_378,Cameroon,Lake Lisafort,Female,59.0,Primary,Self-employed,completed,2026-05-14T10:41:30,field_tool,2,Good,4,Low,4
0020b37c-4e96-406c-9ad8-afee23dbc646,2b5bce12-206c-4216-b54a-126dba8f4592,survey_840,Cameroon,South Adam,Female,22.0,Primary,Employed,completed,2026-05-14T10:44:06,field_tool,4,Bad,1,High,2
6dd8d33f-2290-4841-bab0-e8e8952eb12a,cb6ee774-93a2-414b-85f7-eef8e004c471,survey_868,Cameroon,South Amy,Male,22.0,Secondary,Employed,completed,2026-05-14T10:40:09,field_tool,2,Neutral,3,Medium,1
3ded1c41-f924-472c-93d4-177621e07498,aab8cc30-9cfe-493d-b604-96b66e025590,survey_200,Cameroon,Leehaven,Male,28.0,Primary,Self-employed,completed,2026-05-14T10:42:08,field_tool,5,Neutral,3,High,2
c27bf4ad-2d90-4d48-8774-e7f1ff620f60,f945cfd4-678e-495f-a2de-b12c5821f077,survey_848,Cameroon,Bartlettport,Male,65.0,Primary,Self-employed,completed,2026-05-14T10:41:56,field_tool,4,Bad,4,High,4
7b28a365-5d64-4944-aabb-c403f2ae2c90,e3bab56c-db2b-4d4f-9dcb-65be3fc0796e,survey_796,Cameroon,Lake Robertfort,Male,54.0,Primary,Self-employed,completed,2026-05-14T10:39:39,field_tool,4,Neutral,4,Low,1
2a5c97f3-626e-4b26-8dee-07907d4dbf6e,973a9058-67d1-4b6f-9d57-20cdfa5223bb,survey_763,Cameroon,Lake Johnny,Female,55.0,Secondary,Unemployed,completed,2026-05-14T10:40:44,field_tool,4,Neutral,1,High,1
bcfa5dd0-c6ac-478d-a878-ecdf2fdf9f85,a40cd0ee-d07f-4c45-af32-14c2939d1b61,survey_202,Cameroon,Lake Johnton,Female,34.0,Primary,Unemployed,completed,2026-05-14T10:41:37,field_tool,1,Very Good,1,Medium,2
67d39789-22fe-43cb-a1db-c3bcbb8767c0,0beba1de-beb0-4722-bfff-bc75ff866deb,survey_913,Cameroon,Lake Ralphborough,Female,73.0,Tertiary,Self-employed,completed,2026-05-14T10:42:00,field_tool,5,Good,1,High,2
510e9c18-c856-4599-9da4-c258bb7465de,00b8a88f-9317-445d-9cd4-3dfff59b39fa,survey_883,Cameroon,Lake Daniel,Female,,Primary,Self-employed,completed,2026-05-14T10:45:35,field_tool,1,Good,3,Medium,3
d1bec73d-9ae1-46b7-8dd4-be74e1294baf,57632be7-1b61-408e-a9d1-b0370385c534,survey_504,Cameroon,South Drew,Female,48.0,Secondary,Unemployed,completed,2026-05-14T10:45:10,field_tool,4,Bad,5,High,4
e32ce1b4-43af-4422-980f-5fa37a82514c,5e66d8fa-de69-4076-9f8c-edcdc91ceaae,survey_851,Cameroon,Tiffanyfurt,Female,33.0,Tertiary,Employed,completed,2026-05-14T10:45:16,field_tool,5,Very Good,2,Medium,2
3a8f767e-fae8-4cd9-8b69-d7802285d587,71836f01-466a-4217-ae29-17c184d465df,survey_883,Cameroon,Port Cynthia,Female,26.0,Secondary,Unemployed,completed,2026-05-14T10:41:24,field_tool,5,Neutral,1,Medium,3
e06fe200-4fbc-4206-af29-08ca0bf45715,deb51d16-3020-403f-9a69-e2c663a35592,survey_966,Cameroon,South Tracy,Female,24.0,Tertiary,Unemployed,completed,2026-05-14T10:41:59,field_tool,3,Bad,2,Low,2
0c6b525f-2425-4742-8a53-54841de53401,00c85e9a-408a-4d2f-8c86-e6b66ffcc6e5,survey_395,Cameroon,Fordton,Male,63.0,Tertiary,Unemployed,completed,2026-05-14T10:40:09,field_tool,1,Good,3,Medium,4
376169c2-bd13-4043-a9a0-1a6b7f9e2173,4a00ae99-8637-4844-b570-7bd6bf922ea5,survey_100,Cameroon,South Daniel,Male,31.0,Secondary,Self-employed,completed,2026-05-14T10:42:06,field_tool,1,Bad,4,Medium,1
047f7396-ea12-490c-a4f9-f1d33792917e,2d53cf30-4782-4b9c-888f-edb62404c66d,survey_290,Cameroon,Hammondfort,Female,60.0,Secondary,Self-employed,completed,2026-05-14T10:44:10,field_tool,2,Bad,5,Medium,5
8bb3f964-65ad-411d-bf0d-efad3f5912e8,590c3cdc-7455-467a-9623-d84810b72ccf,survey_127,Cameroon,Dawnmouth,Female,44.0,Secondary,Unemployed,completed,2026-05-14T10:41:21,field_tool,3,Very Good,5,Low,4
e366104e-3b5a-470f-b8bc-96cf61d61d6a,d6e75f73-468e-4df8-9d25-2141b03d01eb,survey_672,Cameroon,Stuartview,Female,31.0,Primary,Employed,completed,2026-05-14T10:41:01,field_tool,1,Good,5,High,4
