response_id,respondent_id,survey_id,country,region,gender,age,education_level,employment_status,completion_status,submission_timestamp,source_system,q1_democracy,q2_economy,q3_trust_govt,q4_corruption,q5_election_fairness
3da55562-25f6-439b-8763-0146c89f67a6,83214b14-5592-4cd5-ba3f-4573f16a1857,survey_233,Congo-Brazzaville,South Brianview,Male,20.0,Secondary,Self-employed,completed,2026-05-14T10:42:47,field_tool,3,Neutral,2,High,2
eb114be9-059e-444f-9541-5b6583733e1d,1af0bb95-21c3-40e2-aa8f-37c74432dbd9,survey_766,Congo-Brazzaville,Erinstad,Female,29.0,Tertiary,Unemployed,completed,2026-05-14T10:43:48,field_tool,1,Very Good,2,Medium,3
0e9113ad-7e75-4031-9fc7-bc0554ccc5f7,51a76445-0b9d-4654-95c3-1b18d55c41b2,survey_982,Congo-Brazzaville,Chanberg,Female,40.0,Primary,Employed,completed,2026-05-14T10:39:41,field_tool,2,Bad,2,Low,1
8482fd76-6ea4-4f06-8f29-878f7d02ff7c,2057111f-243b-4306-93f6-5b6fd84ccc20,survey_599,Congo-Brazzaville,Tylertown,Female,29.0,Tertiary,Employed,completed,2026-05-14T10:44:34,field_tool,4,Very Good,1,Medium,3
d61d455f-e34b-47b7-9539-7b9df897c495,0cbe735d-bbfc-4897-b027-1efc049fb2fd,survey_510,Congo-Brazzaville,Lake Reginaldmouth,Female,50.0,Secondary,Employed,completed,2026-05-14T10:43:09,field_tool,3,Very Good,3,Low,3
bb9bd7d7-1fa6-4774-92eb-0ad5fe1e0980,75987f10-0d86-4f36-b35d-164d466d8ac1,survey_975,Congo-Brazzaville,East Margaret,Male,19.0,Tertiary,Self-employed,completed,2026-05-14T10:42:02,field_tool,5,Neutral,3,High,1
b4f27caa-b6b8-4f30-b147-253242ad2fbd,fdebd029-7852-48de-9d50-f7e7d8fd8386,survey_490,Congo-Brazzaville,New Frank,Male,51.0,Secondary,Self-employed,completed,2026-05-14T10:44:26,field_tool,1,Good,5,Medium,4
1fef14c6-d919-49a0-88c0-77377ec2a118,b89b4995-e32e-4ac4-93fe-40e39c6c3c4e,survey_809,Congo-Brazzaville,Adamland,Female,50.0,Tertiary,Unemployed,completed,2026-05-14T10:43:48,field_tool,4,Bad,3,High,1
9bf27e16-f499-4313-90df-93f138aa027b,e993f6e9-f200-4b99-a6e6-2c018529e74f,survey_271,Congo-Brazzaville,East Haley,Male,32.0,Tertiary,Self-employed,completed,2026-05-14T10:43:31,field_tool,5,Very Good,1,Low,2
3bd5d7cc-ce06-499e-a515-74c6dd27b82b,fe62314e-22e1-42fc-9710-1a773d88eb62,survey_542,Congo-Brazzaville,Jonesside,Male,19.0,Secondary,Self-employed,completed,2026-05-14T10:42:51,field_tool,4,Good,2,Medium,4
7167c362-d54f-42c6-8a14-d36196e7972b,0f1536da-10df-4c94-bb41-a3ad0199673b,survey_896,Congo-Brazzaville,Sherryton,Female,52.0,Secondary,Employed,completed,2026-05-14T10:40:26,field_tool,4,Neutral,5,Medium,4
8f05ce38-1bf8-4e86-9015-ed81c1e922d9,f9878ca6-5f2e-421e-9309-51a61dbd3a83,survey_559,Congo-Brazzaville,New Gregorymouth,FEMALE,27.0,Tertiary,Employed,completed,2026-05-14T10:40:35,field_tool,3,Very Good,1,Low,1
5c258f30-b9e2-4158-a5b8-f133f31a17f3,160f79f3-a82d-4a46-90f7-d4e7fb26699f,survey_327,Congo-Brazzaville,Jacobland,Female,52.0,Secondary,Self-employed,completed,2026-05-14T10:40:02,field_tool,3,Good,4,High,3
3244839f-fc9e-48ce-8348-6b0918ce6ecd,f26edf2e-3a37-4907-9cdb-b28bbe6e2511,survey_923,Congo-Brazzaville,Brownshire,Female,59.0,Secondary,Unemployed,completed,2026-05-14T10:40:49,field_tool,1,Bad,3,Medium,2
04babaa8-0a2c-4043-8bbd-962e75f4b153,765e3ce8-0867-4b2a-8b39-c36633199ce0,survey_323,Congo-Brazzaville,Port Russellmouth,Female,63.0,Primary,Employed,completed,2026-05-14T10:45:28,field_tool,4,Neutral,2,High,5
4f4f6827-e239-4602-90c4-c2fc4699ef15,7bdeb381-f4fc-46bc-812d-b1c403c3c30d,survey_123,Congo-Brazzaville,Rebeccaland,Female,69.0,Secondary,Self-employed,completed,2026-05-14T10:43:58,field_tool,2,Good,1,Low,2
b2615348-aa45-4345-98c5-39e760a4012c,8fd0720c-4ff0-4a31-8903-5d4c92f1d3d0,survey_633,Congo-Brazzaville,Hollybury,Female,36.0,Tertiary,Self-employed,completed,2026-05-14T10:45:10,field_tool,2,Very Good,4,Low,1
28ce9fea-b491-44d5-87ff-b5a2fdecd067,859b6ee4-9146-4391-8c25-9a1b240eb222,survey_671,Congo-Brazzaville,Gutierrezside,Female,44.0,Tertiary,Employed,completed,2026-05-14T10:44:33,field_tool,3,Very Good,3,Medium,4
98130143-17c2-4f05-9efc-e6bb6ba6951e,69810678-db82-467d-9d7e-0ae6369d5ad4,survey_994,Congo-Brazzaville,Davidview,Male,71.0,Secondary,Unemployed,completed,2026-05-14T10:42:02,field_tool,5,Bad,3,Medium,5
05961284-bb54-4e59-8ff2-c076354cfc08,1d95cdea-c417-4e56-b8e3-3d35f4e0740f,survey_333,Congo-Brazzaville,Huffland,Female,45.0,Primary,Employed,completed,2026-05-14T10:44:59,field_tool,2,Bad,2,Medium,5
58f9ced3-1c9c-412e-8432-7ff0add2e615,ecfa60c9-83c1-4063-b890-33f0cb041d56,survey_548,Congo-Brazzaville,South James,Female,47.0,Primary,Employed,completed,2026-05-14T10:42:19,field_tool,4,Neutral,2,Low,5
e2dfaa3d-204f-49f9-b599-009b191c4f5d,36956a38-1528-4e7c-89d5-e178cf998da3,survey_793,Congo-Brazzaville,North Jonathanton,Female,55.0,Secondary,Employed,completed,2026-05-14T10:40:58,field_tool,4,Good,1,Medium,4
37cf019e-d9e3-46a0-a989-7833ead9b0b4,a9fb1b54-8fbd-4cfd-8651-a34f5a0f3cdb,survey_160,Congo-Brazzaville,Walkerburgh,Male,56.0,Primary,Employed,completed,2026-05-14T10:40:15,field_tool,1,Neutral,2,Low,5
867d1b8b-fb8f-4a6c-a6b1-cacd355364dd,369d2be1-4bf9-4d08-a474-72d077e0ad89,survey_616,Congo-Brazzaville,Samuelhaven,Male,33.0,Secondary,Employed,completed,2026-05-14T10:41:43,field_tool,4,Neutral,5,High,2
88ed749d-7043-481b-8f2d-ba0294f98852,26c118f2-eb1c-4430-9f11-4270565f8687,survey_661,Congo-Brazzaville,Morenofurt,Female,57.0,Primary,Employed,completed,2026-05-14T10:41:59,field_tool,5,Bad,1,Medium,2
40a98477-3043-4a5b-8f7b-d9818642f0a0,09f68439-6f77-4c54-8bb1-07defaa0a297,survey_433,Congo-Brazzaville,Westshire,Male,71.0,Secondary,Unemployed,completed,2026-05-14T10:44:20,field_tool,1,Neutral,4,Medium,2
6671e5f2-aab1-4459-a33e-8e3691b0cb38,ff17bb76-b7be-41df-bd5e-b63638124f7f,survey_474,Congo-Brazzaville,Patriciaside,Female,38.0,Tertiary,Unemployed,completed,2026-05-14T10:43:57,field_tool,5,Good,4,Low,5
d45b47aa-3c5c-45e0-b57d-2f8b76018c06,f7b96b0d-4dbb-4559-8c12-d6ef31fab84d,survey_451,Congo-Brazzaville,West Lauren,Female,49.0,Tertiary,Self-employed,completed,2026-05-14T10:42:55,field_tool,3,Good,1,Medium,3
2989fa54-a440-4dc8-91ac-c5e68c8c270e,e8628d4b-cc3c-43f5-bb3c-d9c8ebcfa81a,survey_827,Congo-Brazzaville,Richardberg,Male,42.0,Tertiary,Employed,completed,2026-05-14T10:44:16,field_tool,4,Bad,3,Low,3
662c576c-3f80-474e-8c36-0761fe1c01a0,0d9630be-5580-485a-94b2-79cd0c248f00,survey_453,Congo-Brazzaville,Velasquezview,Female,53.0,Primary,Self-employed,completed,2026-05-14T10:45:40,field_tool,3,Neutral,3,High,1
1ec0a8f6-b060-40d0-a327-691f95af0097,72f0b90d-5c2f-4996-a4ba-aea10cd4ba10,survey_612,Congo-Brazzaville,Michaelstad,Female,67.0,Primary,Employed,completed,2026-05-14T10:43:03,field_tool,4,Good,1,High,5
73316d47-6112-49a2-961e-8353317cd27c,2eca29b7-9087-4a73-b4bb-c27828d217d6,survey_603,Congo-Brazzaville,New Austinmouth,Male,71.0,Secondary,Self-employed,completed,2026-05-14T10:42:26,field_tool,3,Good,2,High,2
63b20043-48b6-4b7f-a312-6d81c8f83429,a1027a45-7e4e-4273-8ae1-9e7e1b6d8927,survey_745,Congo-Brazzaville,Jessicaville,Male,60.0,Secondary,Self-employed,completed,2026-05-14T10:41:39,field_tool,3,Very Good,2,High,5
37b6c9ea-d3cc-4499-abe6-dc59c44affd6,ff2d10f4-1555-4b95-b377-7cff1987e58e,survey_846,Congo-Brazzaville,South Kimberlyfurt,Male,21.0,Secondary,Self-employed,completed,2026-05-14T10:40:28,field_tool,2,Neutral,1,High,3
cb4316b0-22e5-456b-95b1-7043c4e8a162,04e383eb-afca-425a-bc7c-dc3e99dce819,survey_696,Congo-Brazzaville,West Linda,Female,,Primary,Unemployed,completed,2026-05-14T10:45:40,field_tool,2,Good,1,Low,3
2e6dc013-4893-4546-96a1-88eadd4e1780,6399c513-ae96-4e3e-b1f7-a87cf1430eea,survey_664,Congo-Brazzaville,Lake Jacquelineburgh,Male,63.0,Primary,Unemployed,completed,2026-05-14T10:45:04,field_tool,2,Good,4,Low,3
c7a0cc02-b3e0-4fb0-9475-fc3a8b88002c,9ef8b5a9-b792-4f65-a7f7-aba406174c62,survey_589,Congo-Brazzaville,Samanthamouth,Male,36.0,Tertiary,Unemployed,completed,2026-05-14T10:41:57,field_tool,1,Neutral,2,High,3
b22cac01-229b-4b32-835a-160ea0438c9a,aebe1524-1549-44d7-b0c4-6591b2d995fa,survey_708,Congo-Brazzaville,North Patricia,Female,23.0,Primary,Employed,completed,2026-05-14T10:45:21,field_tool,2,Good,2,Medium,5
3d64edac-cc8d-457f-abfb-39215e5f7de5,e6af993c-700f-4e85-aea7-56a8229ea406,survey_885,Congo-Brazzaville,Kristenshire,Female,30.0,Tertiary,Self-employed,completed,2026-05-14T10:42:42,field_tool,4,Neutral,4,Medium,5
eb915582-bf35-4dbc-86ed-5a0ef3931b13,02b5166d-0f3c-454f-b644-404ddf365764,survey_939,Congo-Brazzaville,Port Robert,Female,49.0,Primary,Employed,completed,2026-05-14T10:45:38,field_tool,1,Neutral,1,High,5
6710d582-824a-486e-9a7a-da42c13fd879,51cb3f06-1435-47ed-8cff-84c2eb41ce2f,survey_185,Congo-Brazzaville,West Jasonburgh,Male,63.0,Primary,Employed,completed,2026-05-14T10:42:37,field_tool,1,Good,5,Medium,5
e0aa3119-fc6a-4c0e-984f-7110d8d28fc0,afb6f3c9-a798-4eba-8c46-4bb8f773e927,survey_151,Congo-Brazzaville,Scottmouth,Male,51.0,Tertiary,Self-employed,completed,2026-05-14T10:39:56,field_tool,5,Bad,5,Medium,4
f75a78ca-2d8c-4e38-b2bc-998651e3d479,f4b3593f-0b38-4c49-8853-338d7024cf94,survey_944,Congo-Brazzaville,Garciamouth,Female,28.0,Tertiary,Employed,completed,2026-05-14T10:45:40,field_tool,5,Bad,5,High,1
c80f45ac-8e87-4819-9990-119efdc72f24,76b4c117-210f-4001-9832-c73230f699cd,survey_844,Congo-Brazzaville,West Jeanetteshire,Male,43.0,Tertiary,Employed,completed,2026-05-14T10:45:25,field_tool,1,Very Good,2,High,4
