response_id,respondent_id,survey_id,country,region,gender,age,education_level,employment_status,completion_status,submission_timestamp,source_system,q1_democracy,q2_economy,q3_trust_govt,q4_corruption,q5_election_fairness
82507315-d35f-4b6a-acc9-779fc902871f,0187d9d3-db04-454b-be8e-6b6143ee94c2,survey_879,Côte d'Ivoire,New Jacobtown,Female,68.0,Tertiary,Self-employed,completed,2026-05-14T10:44:48,field_tool,4,Neutral,4,Low,1
ac11857c-deff-45d9-a090-0f15dfdbd6d5,3decdd27-7d26-4350-aeb7-71e45c21245e,survey_397,Côte d'Ivoire,East Melissa,Male,38.0,Tertiary,Unemployed,completed,2026-05-14T10:40:53,field_tool,5,Neutral,1,High,5
b71d12e2-1adc-4505-a06a-aaabd0680c5d,b2d7a4a7-9a8c-4ef9-b4db-1963b0b128a2,survey_747,Côte d'Ivoire,Lewisberg,Female,29.0,Secondary,Self-employed,completed,2026-05-14T10:41:27,field_tool,1,Bad,5,Medium,4
2261c36c-f196-4325-a9e7-bdf1e5b53919,67a5b989-dc51-4056-bf90-07e890c61381,survey_510,Côte d'Ivoire,Jonathonburgh,Male,54.0,Tertiary,Employed,completed,2026-05-14T10:44:27,field_tool,5,Very Good,3,Medium,5
93e1bc66-5388-4bc0-9aab-0abdaad61122,3d756daf-5279-4436-a224-a0d1ebeb50d9,survey_590,Côte d'Ivoire,Port Ralph,Female,54.0,Tertiary,Self-employed,completed,2026-05-14T10:43:35,field_tool,2,Neutral,1,High,5
96421d8b-94f5-4d0b-b611-88c7cefbb5bc,97ff4ccc-dc05-4a81-9e08-208360459a6a,survey_361,Côte d'Ivoire,West Frederick,Male,19.0,Primary,Self-employed,completed,2026-05-14T10:43:42,field_tool,4,Very Good,5,High,4
0f5d7b6a-ef6a-4684-8d18-7a4c7b119137,eedc7fbf-9f38-4468-bc9c-1cd2eb1f4a1c,survey_700,Côte d'Ivoire,East Jennifer,Male,38.0,Secondary,Employed,completed,2026-05-14T10:42:33,field_tool,3,Bad,5,Low,4
b54e2935-eeec-4594-b7e4-944e249d3649,22fc31db-0bf6-4417-a404-595da6d62d00,survey_923,Côte d'Ivoire,Lake Ian,Female,62.0,Primary,Self-employed,completed,2026-05-14T10:44:34,field_tool,5,Bad,1,Low,3
1cc9b7e3-3b87-49c5-ab9c-e8840c0301d1,fdd7e12f-b051-411b-8059-45b1180b3063,survey_379,Côte d'Ivoire,North Rodneyborough,Female,48.0,Primary,Self-employed,completed,2026-05-14T10:41:36,field_tool,2,Very Good,3,Low,5
f56dc92e-8b4a-4048-a87e-b5c0a60bbfd4,8429fd10-2cd9-4139-8c62-62d5c2da6c78,survey_734,Côte d'Ivoire,Kellyborough,Female,63.0,Secondary,Self-employed,completed,2026-05-14T10:42:12,field_tool,2,Bad,3,High,4
