response_id,respondent_id,survey_id,country,region,gender,age,education_level,employment_status,completion_status,submission_timestamp,source_system,q1_democracy,q2_economy,q3_trust_govt,q4_corruption,q5_election_fairness
3c1a2c48-7072-4926-a15b-fe6f1293033c,59693879-141a-4b56-9091-259688d5c2b6,survey_317,Ethiopia,New Shari,Female,60.0,Primary,Unemployed,completed,2026-05-14T10:44:15,field_tool,1,Very Good,5,Medium,1
45a573c0-fe1c-46ff-ba36-655d74e229f6,b19aadda-2af4-4faa-a340-02665d5ba987,survey_223,Ethiopia,South Andreamouth,Male,55.0,Primary,Self-employed,completed,2026-05-14T10:42:35,field_tool,4,Good,5,Medium,3
6b938ab7-2f3f-4e0c-91f3-753ead5d8cc0,9eb03dad-ce85-4ee8-9f63-e175e0778f89,survey_205,Ethiopia,Port Barbaraport,Female,54.0,Tertiary,Employed,completed,2026-05-14T10:45:26,field_tool,2,Neutral,3,High,5
f59f12dc-8e87-452b-8448-8bfe0f08723b,eaab212d-1373-4d84-b935-0fc2cb2cda3e,survey_189,Ethiopia,New Tiffany,Female,74.0,Primary,Self-employed,completed,2026-05-14T10:42:29,field_tool,1,Bad,4,Medium,4
6520908f-1d32-4c4f-9105-f8e7b8382784,d6e9aeba-84d1-4e3b-8ec2-38635c6ae28e,survey_949,Ethiopia,South Stevenburgh,Female,30.0,Secondary,Self-employed,completed,2026-05-14T10:41:30,field_tool,5,Bad,5,Low,3
6dc5e61a-6c38-474f-acd4-76927548f0cc,da9397a6-f145-42c8-b49d-e09f89bcc9fc,survey_525,Ethiopia,New Jeffreyside,Male,34.0,Tertiary,Unemployed,completed,2026-05-14T10:44:32,field_tool,4,Good,5,High,3
3609e159-f207-4475-92ad-2b2b5243a232,b76b05b3-e43b-47eb-8c38-24311779a44c,survey_317,Ethiopia,Lake Brianborough,Female,51.0,Tertiary,Self-employed,completed,2026-05-14T10:44:12,field_tool,4,Bad,4,Low,1
c1a28e64-93c5-4a58-aeb2-ae7cc4e8d0c5,ddbbea9f-4219-44c2-91b2-205f10a5d952,survey_844,Ethiopia,Lopezberg,Female,42.0,Secondary,Self-employed,completed,2026-05-14T10:45:40,field_tool,1,Good,2,High,5
25cd3661-6418-4d99-a50e-3bd1dfac5cff,2c4cf708-d101-429c-bb66-4abf9b50b5fb,survey_810,Ethiopia,Robinville,Female,28.0,Secondary,Self-employed,completed,2026-05-14T10:45:32,field_tool,1,Bad,3,High,1
666ee801-646a-42ca-84e8-ea577ba6e63c,9300f3dd-5eb6-45bf-a055-4c8c9bb754cf,survey_813,Ethiopia,Garnerbury,Male,19.0,Secondary,Unemployed,completed,2026-05-14T10:40:06,field_tool,1,Neutral,5,Medium,3
2b84010b-dfa1-4b49-84d3-bff5fddcf71d,ec7a4974-bc4a-471c-966e-dc31d72588e3,survey_428,Ethiopia,East Bryanmouth,Female,46.0,Secondary,Self-employed,completed,2026-05-14T10:40:59,field_tool,1,Neutral,4,Low,1
38c440f1-ac5f-4173-9607-a0ae061de0b1,4b91b450-3175-4735-a794-0b0878e0e9ac,survey_987,Ethiopia,North Kennethfurt,Male,51.0,Primary,Employed,completed,2026-05-14T10:40:25,field_tool,5,Neutral,3,Low,3
