response_id,respondent_id,survey_id,country,region,gender,age,education_level,employment_status,completion_status,submission_timestamp,source_system,q1_democracy,q2_economy,q3_trust_govt,q4_corruption,q5_election_fairness
f179f2b5-b0c9-4e21-b882-d334cea3f4c8,6610b404-a043-4992-9cd1-e2d9e18950ef,survey_824,Gabon,Brownport,Female,24.0,Tertiary,Unemployed,completed,2026-05-14T10:45:36,field_tool,1,Very Good,2,Low,1
075c0c2e-1e6b-4571-98cb-e2b4b6d2a0b5,7bf80355-e949-429c-91b7-664afd922b6f,survey_768,Gabon,North Micheleborough,Male,61.0,Tertiary,Self-employed,completed,2026-05-14T10:45:33,field_tool,5,Bad,3,High,3
b9ce9e51-d6fa-4627-af61-f37a833ce47f,179d2728-902c-41fc-a6e3-c5e08c40476c,survey_671,Gabon,New Laurafort,Male,40.0,Secondary,Employed,completed,2026-05-14T10:42:08,field_tool,1,Neutral,3,Medium,3
7821029a-f41e-4313-99c6-48ef532fc73a,dde71d45-d029-48e3-9230-f39f0927e05f,survey_324,Gabon,North Johnborough,Male,62.0,Secondary,Unemployed,completed,2026-05-14T10:41:01,field_tool,1,Neutral,2,Medium,3
a42b1184-070c-427f-8fec-d78c251aeafa,fc713b1b-e329-451f-8370-f6e705de7ead,survey_324,Gabon,West Stephanie,Female,62.0,Tertiary,Self-employed,completed,2026-05-14T10:41:54,field_tool,2,Good,3,High,5
69eec129-fef5-4788-ae77-caca84e04fce,071ef20f-6e0b-414f-9e2d-5f9497a9bc72,survey_359,Gabon,Joneshaven,Female,,Primary,Self-employed,completed,2026-05-14T10:43:43,field_tool,1,Very Good,3,Low,3
0057e853-17ef-4b70-a93f-6585b3bd6a43,0edb24f1-584e-44c3-a40e-2034c51b3ac7,survey_816,Gabon,Chavezberg,Male,33.0,Tertiary,Self-employed,completed,2026-05-14T10:42:43,field_tool,4,Good,2,Medium,4
e35ba06c-608f-4e4e-80fe-903359db6bf0,75901dc5-a72c-4d57-9c12-e54bb51dd156,survey_763,Gabon,East Charles,Male,,Tertiary,Employed,completed,2026-05-14T10:42:53,field_tool,2,Neutral,3,Medium,4
3765f07b-0e2a-49e7-a540-6f01b4053fba,1e1fbf0c-357e-4616-bf13-2959c182d5c5,survey_885,Gabon,Johnsonborough,Male,74.0,Tertiary,Employed,completed,2026-05-14T10:45:19,field_tool,5,Very Good,1,High,1
6a32a097-8887-4393-b593-2a3448473bef,80fae7b2-a47a-455e-b5ad-a7db7f59be37,survey_790,Gabon,North Deniseton,Female,18.0,Primary,Unemployed,completed,2026-05-14T10:42:21,field_tool,1,Good,5,High,1
ee651b3b-2bf5-4244-a25e-948192a874f8,c14a81a5-b0a5-44af-a389-3cdbc54251eb,survey_550,Gabon,Braytown,Female,31.0,Primary,Employed,completed,2026-05-14T10:41:16,field_tool,3,Neutral,2,Medium,5
ed5c5ded-d70e-4a97-8dee-9ac61525f004,9caf6869-92c5-43fb-9b5d-c575c27b2f57,survey_415,Gabon,Heathborough,Female,,Tertiary,Employed,completed,2026-05-14T10:40:10,field_tool,4,Very Good,3,Low,4
4a589989-faef-4e44-922f-6fd844c36ee2,762f208a-dea1-4470-a620-c29e6cadb4c1,survey_604,Gabon,North Michaelview,Male,30.0,Primary,Employed,completed,2026-05-14T10:43:06,field_tool,1,Good,2,High,2
9d368715-26b6-4e8b-82cd-aab72f8a850c,d65921e3-dcd7-41f5-98e1-d542e9fbbb50,survey_290,Gabon,Sandersbury,Male,,Secondary,Unemployed,completed,2026-05-14T10:40:50,field_tool,5,Very Good,3,Medium,3
3a2ac051-5edc-4027-8e4e-0447bb21440a,37dbf531-3f71-4a1a-840f-ebadfc9fe716,survey_202,Gabon,Brownfort,Male,75.0,Secondary,Employed,completed,2026-05-14T10:40:35,field_tool,5,Very Good,5,High,5
8f02d9a8-072f-48b1-9c9c-eb31e286a890,85ddc103-517a-4221-ae62-498fbe0020f6,survey_408,Gabon,Port Anthonyfort,Female,66.0,Primary,Employed,completed,2026-05-14T10:40:13,field_tool,4,Very Good,2,High,3
03c20ae4-0148-40dc-944f-f9d6a1617862,8f370139-0c6e-4d47-a7ed-47d5463bb015,survey_953,Gabon,Gonzalezburgh,Female,19.0,Tertiary,Employed,completed,2026-05-14T10:41:30,field_tool,2,Good,5,High,2
