response_id,respondent_id,survey_id,country,region,gender,age,education_level,employment_status,completion_status,submission_timestamp,source_system,q1_democracy,q2_economy,q3_trust_govt,q4_corruption,q5_election_fairness
c9fb48c1-5579-4f2d-9f52-5a8f4ef223bd,6a050b55-91e5-4b41-83bc-84fae90b36f3,survey_595,Gambia,Matthewport,Male,47.0,Tertiary,Employed,completed,2026-05-14T10:44:49,field_tool,3,Neutral,5,Low,4
3d3a9d5f-c451-4216-b24f-042f3f3e5b02,5ab64d5c-e556-4d9b-bf9a-db75b2daadd1,survey_952,Gambia,Meganhaven,Female,62.0,Tertiary,Unemployed,completed,2026-05-14T10:40:39,field_tool,2,Good,2,Low,4
0d877c13-6d3d-4fd6-9522-a506af1a961e,316b70da-b9a2-4ca2-b2d9-1c832c5d6faa,survey_849,Gambia,South Jennaport,Male,65.0,Secondary,Employed,completed,2026-05-14T10:45:28,field_tool,2,Bad,1,Medium,1
3e4a9227-759f-46f2-bcb7-14b6e3309384,cd0fa825-a8a3-4cf0-9cf8-86a2ba565b43,survey_768,Gambia,South Jessica,Female,70.0,Tertiary,Unemployed,completed,2026-05-14T10:44:10,field_tool,5,Good,3,High,1
3900291f-24a3-4c8d-b1f6-f023199546ad,25230758-d99a-4673-a1fa-1e523a8455e5,survey_114,Gambia,Rachelburgh,Female,31.0,Primary,Self-employed,completed,2026-05-14T10:41:29,field_tool,5,Very Good,3,Low,4
24f54432-0639-4215-8f0d-e9b70863a3f7,64e63f27-356b-4d5f-b709-a3a599860656,survey_328,Gambia,South Paul,Male,62.0,Secondary,Self-employed,completed,2026-05-14T10:43:36,field_tool,4,Bad,5,High,3
7492180b-0152-42f1-b06e-bc4f6f5a51aa,454798d9-d0d1-4c8a-ab0a-0a80689d9d3b,survey_548,Gambia,Port Elizabethton,Male,22.0,Tertiary,Unemployed,completed,2026-05-14T10:42:02,field_tool,4,Very Good,3,Medium,2
b97caf9a-51a3-417f-9f16-7d237e276cd5,561b743a-63b2-4106-ac4a-c04eba787bec,survey_356,Gambia,Coryburgh,Male,23.0,Primary,Unemployed,completed,2026-05-14T10:44:22,field_tool,4,Bad,4,High,1
e33baf24-fcd1-4d2e-9cc6-0aaaa69cb059,14572b45-8130-46e3-bb3d-70f660b5bd4d,survey_695,Gambia,North Michaelberg,Male,27.0,Secondary,Self-employed,completed,2026-05-14T10:40:47,field_tool,2,Good,4,Low,4
d5870653-7c65-4701-b20d-7ab6e97f8302,297496de-9a64-4450-b7ec-e5d6882a66d5,survey_751,Gambia,South Kimberlyport,Male,21.0,Tertiary,Employed,completed,2026-05-14T10:45:27,field_tool,1,Bad,3,Medium,5
