response_id,respondent_id,survey_id,country,region,gender,age,education_level,employment_status,completion_status,submission_timestamp,source_system,q1_democracy,q2_economy,q3_trust_govt,q4_corruption,q5_election_fairness
206489b0-bd0c-4049-a91f-d229d59eb9b1,bd1f8d7f-1893-4ed0-a50e-0480b2dbfac7,survey_636,Kenya,New Michael,Male,68.0,Secondary,Self-employed,completed,2026-05-14T10:43:48,field_tool,3,Neutral,4,High,3
dfc80c86-b3bc-47da-87df-177b20e00a95,6eb51aa3-e2c6-4fc7-937b-9d47caa661c9,survey_466,Kenya,Sherryburgh,Male,36.0,Secondary,Employed,completed,2026-05-14T10:44:23,field_tool,3,Very Good,5,Low,2
2dd3ae9e-aeeb-4fa2-b144-da281f4bc138,e2f05684-3280-4327-bda7-23ed01a92ba9,survey_819,Kenya,West Andrew,Male,70.0,Tertiary,Employed,completed,2026-05-14T10:43:16,field_tool,2,Bad,5,High,5
20152699-6289-47e2-beb2-be132f9fc5f3,b0d734a6-db4f-40e1-824f-b149b59f0391,survey_957,Kenya,Kelseyhaven,female,62.0,Secondary,Unemployed,completed,2026-05-14T10:40:03,field_tool,1,Very Good,5,Medium,4
f950a923-6147-4cf1-a9b3-fe121f086b4b,c82c471d-4e08-4aaa-a4ac-38e6ffbf9be3,survey_936,Kenya,New Patricia,Female,58.0,Secondary,Unemployed,completed,2026-05-14T10:40:02,field_tool,1,Neutral,1,Low,4
b79e8b32-b4fe-41c7-b4fc-59bbc5b94594,8a828284-adc1-4c19-9ba0-981279d1afc8,survey_844,Kenya,New Nicholas,Female,65.0,Secondary,Unemployed,completed,2026-05-14T10:42:48,field_tool,1,Good,4,Medium,4
cebfdc03-d745-4db9-b587-92a2a4e9ca7e,70d0c34f-8585-4e65-98e8-95c1bc1367ef,survey_592,Kenya,New Jaime,Female,74.0,Secondary,Self-employed,completed,2026-05-14T10:43:32,field_tool,5,Neutral,3,Low,1
1d854455-07c4-4100-afe6-5d3cf15da22b,e06c1a0a-6d82-4e2e-8422-932505f6dc84,survey_219,Kenya,Lake Danielle,Male,52.0,Tertiary,Employed,completed,2026-05-14T10:44:00,field_tool,1,Neutral,5,Low,3
02e0ffc8-c413-4715-b8f2-faefb2094bfd,37b3b2e1-b954-4249-b689-57f2f3a5a0a9,survey_558,Kenya,Smithton,Female,60.0,Primary,Unemployed,completed,2026-05-14T10:42:49,field_tool,2,Very Good,3,High,4
de8e76a3-55da-45c0-b521-86c4db9450a7,d390426a-220a-47a5-89da-9d785a209e04,survey_684,Kenya,South Douglas,Male,37.0,Primary,Employed,completed,2026-05-14T10:41:24,field_tool,1,Bad,3,Medium,3
f55ab61a-94c8-4c02-88ea-6617436996cd,152b7fbd-aa15-47d3-b4ec-733defe47a7e,survey_368,Kenya,Chaneystad,Male,21.0,Secondary,Unemployed,completed,2026-05-14T10:39:51,field_tool,3,Good,3,High,1
1c1ee1cf-f3e4-4f4e-a032-d5dfb73b4c28,32adec60-5ebe-4f74-9598-6e2d104299a8,survey_280,Kenya,Lake Shelley,Male,33.0,Secondary,Unemployed,completed,2026-05-14T10:39:53,field_tool,1,Neutral,5,Medium,4
258c7798-61ad-41d8-ab24-59db8ed2d9ea,d5e6438b-370c-4904-8683-315afcfb036c,survey_329,Kenya,Katieport,Male,26.0,Primary,Unemployed,completed,2026-05-14T10:43:28,field_tool,1,Bad,5,Medium,1
53530ac0-1ba3-4491-8a52-f97bc6f164f5,c1d298f9-5664-4d02-acc4-7eb37a0f858c,survey_937,Kenya,Rosalesside,Male,61.0,Primary,Self-employed,completed,2026-05-14T10:44:01,field_tool,2,Neutral,2,Medium,4
d8bceda8-df0e-464c-a5e7-f6b6556e3164,3627bf2a-6be2-4021-acf7-1193b254036a,survey_455,Kenya,Davismouth,Male,34.0,Tertiary,Employed,completed,2026-05-14T10:44:43,field_tool,1,Very Good,3,High,2
d2c1eaae-ea90-4b2a-8b46-ed613ccd40ea,0205d475-78f8-461a-8981-2bb0967d632e,survey_189,Kenya,Port Lisamouth,Male,39.0,Tertiary,Employed,completed,2026-05-14T10:41:48,field_tool,2,Very Good,3,Medium,1
6168f4cf-51a5-472b-8d72-0e043cd33b34,ef5e26ad-8a24-42fe-af2f-02e981812fdf,survey_974,Kenya,Port Gregoryberg,FEMALE,74.0,Primary,Self-employed,completed,2026-05-14T10:45:16,field_tool,5,Bad,3,Low,3
2c907de2-7c50-4566-8783-a493d80106ed,fc0502a8-3916-4877-86cf-ce1ec866f808,survey_893,Kenya,Owenmouth,Female,43.0,Secondary,Self-employed,completed,2026-05-14T10:43:32,field_tool,3,Bad,5,Medium,2
d5f34727-4e42-4992-bd40-3c083d6dae41,d8546530-5d1f-492a-bf6c-c992b01c5c83,survey_421,Kenya,Port Deanna,Male,53.0,Primary,Self-employed,completed,2026-05-14T10:43:00,field_tool,4,Very Good,3,High,5
ad8f39ca-6aff-418d-9887-ba572abe32fb,55096fb8-49c4-424d-8e72-965545138702,survey_424,Kenya,East Conniefurt,Female,66.0,Primary,Self-employed,completed,2026-05-14T10:41:00,field_tool,2,Very Good,1,Medium,3
9a1cf8a4-d1b5-43aa-91c1-a85c15c1d2eb,03140dab-2737-4450-ab45-b27df077fa71,survey_828,Kenya,Port Juan,Female,27.0,Secondary,Employed,completed,2026-05-14T10:43:09,field_tool,5,Bad,1,High,5
40cfa4c5-31c6-42b4-902a-64866bf1334a,44d1e260-ad36-4172-81a2-cc6bd4c45e2e,survey_183,Kenya,New Ariel,Male,20.0,Primary,Employed,completed,2026-05-14T10:42:58,field_tool,1,Very Good,1,Medium,1
de19bd06-3fa7-4361-88d6-33b1c7359735,0e8fc2d2-848e-4c44-b5ae-d7171f3cf571,survey_773,Kenya,Jonesfurt,Female,49.0,Secondary,Employed,completed,2026-05-14T10:40:03,field_tool,4,Good,5,High,3
5da76595-09cc-44d3-bb90-d18453230c73,91ff4231-6eb9-4015-ba98-b1e8ea73b7a7,survey_103,Kenya,New Carol,Male,61.0,Primary,Employed,completed,2026-05-14T10:42:35,field_tool,4,Neutral,5,Medium,1
84017623-9575-4f94-8ddc-76be2b8f8be4,6263c57b-f37f-44a9-8974-cda513014af9,survey_533,Kenya,New Jennifer,Male,32.0,Primary,Self-employed,completed,2026-05-14T10:44:56,field_tool,3,Bad,1,Medium,4
32d28f71-0f13-47ee-ab83-b78b4c58ef0d,254cccb2-6191-4c4a-9213-0d872411561e,survey_544,Kenya,Smithburgh,Male,60.0,Secondary,Self-employed,completed,2026-05-14T10:43:49,field_tool,3,Bad,4,Medium,1
