response_id,respondent_id,survey_id,country,region,gender,age,education_level,employment_status,completion_status,submission_timestamp,source_system,q1_democracy,q2_economy,q3_trust_govt,q4_corruption,q5_election_fairness
a12b028f-54ac-43a7-89d4-470f7a62e609,b2bd4452-04bf-4e6a-b53c-a07e5d9d1b71,survey_998,Lesotho,New Robert,Female,58.0,Tertiary,Unemployed,completed,2026-05-14T10:42:00,field_tool,2,Very Good,1,Medium,1
a7e4447e-5ed4-487d-95af-eae00f7ec177,ab538391-99f8-4866-95ce-c935b8361150,survey_509,Lesotho,Port Nancyport,Male,39.0,Secondary,Self-employed,completed,2026-05-14T10:40:14,field_tool,4,Very Good,1,Medium,2
a356bb86-30a3-4b1b-8b85-b8c404a21947,53e72b9e-90f9-4971-b7cf-e8e76db877f2,survey_336,Lesotho,Lake Bobby,Female,52.0,Secondary,Employed,completed,2026-05-14T10:43:38,field_tool,4,Good,5,High,5
1ab0f7d4-ec91-4c53-9d5e-7ac8cccf9780,820dd115-ea9b-4048-87df-297c98863fe1,survey_259,Lesotho,West Markview,Female,18.0,Secondary,Employed,completed,2026-05-14T10:44:18,field_tool,5,Neutral,5,High,4
c2aec1e3-7596-4a31-a083-26a183e630f2,8ffb0adb-122f-48c1-8f41-8fd714b45e73,survey_341,Lesotho,South Conniehaven,Male,38.0,Secondary,Unemployed,completed,2026-05-14T10:42:04,field_tool,1,Bad,1,High,2
405267ef-4cae-438e-9cd2-7ab678eae445,4d049b8d-841e-46c7-887f-ee0c5651e4be,survey_521,Lesotho,Nelsonview,Male,54.0,Primary,Self-employed,completed,2026-05-14T10:40:02,field_tool,5,Neutral,2,Low,5
7a170212-c56e-44b6-83b3-629103e0fe53,de666672-9389-42e0-8b4a-e3a6d777834c,survey_848,Lesotho,South Ivan,Male,65.0,Tertiary,Unemployed,completed,2026-05-14T10:44:05,field_tool,2,Very Good,2,High,2
3489e99c-d39a-4ecf-9c67-66ee53bed55f,bc2a3798-58ba-4e30-a5d8-5331f85c49cf,survey_153,Lesotho,South Dianetown,Male,32.0,Primary,Employed,completed,2026-05-14T10:40:09,field_tool,2,Neutral,5,Low,3
932d868c-2fc2-4c81-bd3e-9a5e31f82540,05c2d34d-a979-4968-a342-93218eb4e2b4,survey_959,Lesotho,Stephentown,FEMALE,35.0,Primary,Employed,completed,2026-05-14T10:40:22,field_tool,3,Bad,4,Medium,5
3c904faa-b158-44fb-a888-0b5f6c2d352e,49047ab0-7f6b-4fe1-a748-010f91e15e4e,survey_975,Lesotho,Port Diane,Female,43.0,Tertiary,Self-employed,completed,2026-05-14T10:42:25,field_tool,5,Neutral,3,Medium,4
7c30927c-256b-49f8-bf5e-515ecc1058c1,259893bd-af84-4046-924e-7cba7244e01f,survey_985,Lesotho,West Maurice,Male,28.0,Tertiary,Employed,completed,2026-05-14T10:45:38,field_tool,4,Very Good,5,Low,5
cc10119c-ef91-49f1-8cfd-dab10e583f31,a2e562e0-df8c-4172-9fa4-fd7dc2671682,survey_422,Lesotho,Porterside,Male,70.0,Primary,Self-employed,completed,2026-05-14T10:41:58,field_tool,5,Neutral,1,Low,2
86314899-a517-4ec7-af03-7077689273cf,ba9a7180-998b-4ad6-9165-3edf6ca2085e,survey_664,Lesotho,North Daltonside,Female,57.0,Primary,Self-employed,completed,2026-05-14T10:40:37,field_tool,5,Very Good,2,Low,3
9f5739ec-73e0-4663-945c-f7cbd7fd2b87,61537d95-3608-48bc-87c8-1db120b1d826,survey_601,Lesotho,West Jane,Male,30.0,Secondary,Unemployed,completed,2026-05-14T10:42:11,field_tool,2,Very Good,3,High,1
f6d5f3c9-6f08-40c4-8816-a0dcbf620ef9,aefe412b-fb31-4cea-a540-e7909ee4bec1,survey_136,Lesotho,Kristenton,Male,35.0,Tertiary,Unemployed,completed,2026-05-14T10:39:43,field_tool,4,Good,2,High,1
9f783f3d-4174-4c7f-a6f2-ed5df7a9ac51,584ee369-e944-42a5-b91c-a3fd22aadd4d,survey_332,Lesotho,New Heatherfurt,Female,39.0,Primary,Employed,completed,2026-05-14T10:45:14,field_tool,3,Neutral,5,High,4
279bb8fe-f787-4470-9428-93cff6901a23,4eea7844-2394-48b7-a776-352672cf1873,survey_960,Lesotho,Kimberlyton,Male,38.0,Secondary,Unemployed,completed,2026-05-14T10:44:59,field_tool,4,Neutral,3,Low,5
6e41b212-b3a3-4e37-86dd-894d7d7cf97e,f636e36c-cf0e-4ecc-9c0a-c927f05212b9,survey_238,Lesotho,Norrisburgh,Female,31.0,Primary,Unemployed,completed,2026-05-14T10:42:08,field_tool,4,Bad,4,High,3
a361353a-f11e-448c-8916-8c32c5c3dd22,49f1c102-7c01-4d36-baad-2446885c48c6,survey_789,Lesotho,Hugheston,Male,60.0,Tertiary,Employed,completed,2026-05-14T10:45:32,field_tool,5,Very Good,2,Low,2
9ed860f2-9281-4674-9c1a-2d5b8cb007be,70810ce0-5553-4fda-b66e-99ba880b84e4,survey_115,Lesotho,Lake Amanda,Female,39.0,Secondary,Unemployed,completed,2026-05-14T10:39:56,field_tool,2,Good,2,Low,1
11659cdd-191a-4e44-b956-250381e5fd74,dbd0c831-1830-46bb-9e33-72d7f1d950d4,survey_630,Lesotho,North Jenniferchester,Female,61.0,Tertiary,Self-employed,completed,2026-05-14T10:41:48,field_tool,5,Bad,4,Medium,1
cc709413-596d-41d6-a1c8-d1ff3567f183,4eb16892-75cf-482c-a414-e9fb445c61f1,survey_586,Lesotho,New Alexisview,Male,62.0,Tertiary,Unemployed,completed,2026-05-14T10:40:49,field_tool,2,Good,3,Low,1
abaaf649-83a3-4037-a870-56d634060c45,2829dda9-276b-4b69-ad8e-96370ba9d37b,survey_240,Lesotho,North Leslie,Male,75.0,Primary,Self-employed,completed,2026-05-14T10:44:29,field_tool,2,Very Good,4,Low,5
72df59ba-e3dc-4a58-8474-8477fa8980df,74e97844-5820-453c-a029-74877a0b29d0,survey_855,Lesotho,East Tracey,Female,24.0,Primary,Unemployed,completed,2026-05-14T10:43:22,field_tool,4,Bad,2,Medium,2
0f2f7194-652d-409f-9683-157574998d90,a708e671-c64e-4b19-8e25-ec17fe1eb130,survey_287,Lesotho,New Melinda,Male,32.0,Primary,Employed,completed,2026-05-14T10:42:54,field_tool,1,Bad,2,Low,1
