response_id,respondent_id,survey_id,country,region,gender,age,education_level,employment_status,completion_status,submission_timestamp,source_system,q1_democracy,q2_economy,q3_trust_govt,q4_corruption,q5_election_fairness
5cce1502-aafb-48c4-b465-70cb96960c27,f774a2d6-0764-4462-bdae-805fb3d1131b,survey_425,Madagascar,Lopezborough,Female,22.0,Tertiary,Employed,completed,2026-05-14T10:40:59,field_tool,1,Neutral,1,Low,2
87f93c28-809f-4946-9a2e-6ec56b2b31b2,84f84800-477b-4ea0-bb59-6656e41b2e3b,survey_299,Madagascar,Port Kimberly,Male,22.0,Secondary,Unemployed,completed,2026-05-14T10:41:37,field_tool,1,Bad,4,Medium,3
2827a438-948a-4031-85be-de3b9f133a8d,ec6842b4-e423-4fa3-b72b-90d5a5e6ae05,survey_627,Madagascar,Rangelchester,Male,61.0,Secondary,Employed,completed,2026-05-14T10:43:52,field_tool,5,Neutral,4,High,1
4d969651-33f8-46b4-ab99-71a86b7609ec,455ebd5a-ec8b-481d-9c80-6f5579d18b33,survey_190,Madagascar,Hughesside,Female,59.0,Tertiary,Unemployed,completed,2026-05-14T10:42:27,field_tool,2,Bad,1,Medium,1
9d1a59e1-c040-41ad-a381-42cd0155312b,46fc398f-2fad-494a-94ac-8753345a7ff9,survey_401,Madagascar,Port Kellyport,Male,20.0,Tertiary,Self-employed,completed,2026-05-14T10:41:00,field_tool,5,Bad,3,Medium,4
b7d507ea-b3cb-4265-8b3b-ba6f7290b858,8fc1f104-fa1d-452c-a648-12d86b276e72,survey_803,Madagascar,South Scottfort,Female,44.0,Tertiary,Employed,completed,2026-05-14T10:45:05,field_tool,4,Very Good,1,Low,3
baa7aa77-8a16-41d7-8b56-2577252dee99,cb0d318c-6fed-4ff5-8928-9254ef70f5b1,survey_194,Madagascar,Alyssamouth,Male,59.0,Secondary,Self-employed,completed,2026-05-14T10:44:22,field_tool,2,Neutral,3,Low,1
e0a47924-6e64-4c49-ab65-b0f16f634cc7,4c9ed793-d253-4dc2-a4fc-77c25f28cc10,survey_198,Madagascar,Christophershire,Male,33.0,Primary,Self-employed,completed,2026-05-14T10:41:12,field_tool,2,Neutral,4,High,4
02b40091-50f1-40b9-8bfc-7b4b3f8bcfb9,915cb1c6-72cd-41ca-a336-326746ebf599,survey_368,Madagascar,West Paul,Male,54.0,Tertiary,Self-employed,completed,2026-05-14T10:45:29,field_tool,5,Neutral,3,Low,4
ea05a1fe-91b8-4049-89a9-572a21b874d6,9dee9ee8-a70b-4d42-98f3-3322209fe400,survey_223,Madagascar,Christopherstad,Female,51.0,Primary,Unemployed,completed,2026-05-14T10:40:54,field_tool,1,Very Good,3,Low,1
d84f13f8-9d5b-477b-a73d-5d0e11a5be11,7d93a7de-8578-4ee5-aac2-33732effbbed,survey_674,Madagascar,West Daniel,Female,66.0,Tertiary,Self-employed,completed,2026-05-14T10:44:22,field_tool,5,Very Good,1,Medium,4
d5556928-422d-4189-a20e-8dfbb97c1e0a,64afb1db-87c1-48e5-bb04-dd4d77881fc8,survey_886,Madagascar,West Victoria,Female,70.0,Tertiary,Unemployed,completed,2026-05-14T10:40:15,field_tool,5,Bad,2,High,4
b4a79ae9-c001-44f2-a6a8-d126905611b3,e6fbf0d7-8f4e-4e6f-88de-b9db4613d086,survey_968,Madagascar,Ortegamouth,Male,35.0,Primary,Unemployed,completed,2026-05-14T10:42:14,field_tool,2,Bad,4,High,1
353e9be3-318f-4dbb-b777-26987c7d487b,c70de488-6857-43c5-b0d5-cc6b71e7f679,survey_460,Madagascar,New Sean,Female,67.0,Secondary,Unemployed,completed,2026-05-14T10:40:20,field_tool,2,Good,3,Low,1
237c0a74-8ec3-4c4b-af80-4faf8e176b7f,04aa1d2c-ff66-46b9-b80c-5164f43a9ab0,survey_742,Madagascar,North Alexandria,Male,68.0,Primary,Employed,completed,2026-05-14T10:43:25,field_tool,4,Good,3,High,5
1fa49284-f341-41a9-ac94-ca7ccebe2c3c,ffe17892-ff75-4144-86ab-a64fda41afb6,survey_342,Madagascar,South Tom,Female,28.0,Secondary,Self-employed,completed,2026-05-14T10:44:32,field_tool,4,Bad,1,Medium,5
748d2627-1d11-4dcf-b5b4-0959a634efcd,0e054e26-f7f8-4240-ab0d-9fe4f2eec8be,survey_903,Madagascar,Contrerashaven,Male,24.0,Primary,Self-employed,completed,2026-05-14T10:44:08,field_tool,4,Very Good,3,Low,2
13da6f6a-25ef-4cf8-bd64-a48e55d6abfc,aae8ff8f-7026-4506-a1cb-ff24ab7d0dd4,survey_521,Madagascar,Jessicaburgh,Male,54.0,Primary,Self-employed,completed,2026-05-14T10:39:45,field_tool,4,Good,2,High,3
bfdde325-9d4d-4751-a90a-c7eccc778fbd,07c8f9d8-b3f1-4ea4-afa0-dd4a549c616f,survey_722,Madagascar,Thomasport,Female,47.0,Secondary,Self-employed,completed,2026-05-14T10:43:07,field_tool,5,Very Good,4,Low,1
04a928fa-56a3-47a3-9c2f-b17cc180da37,11d61455-d2ab-4216-a4ed-014f2ce9d5c6,survey_909,Madagascar,Clarkchester,Female,20.0,Tertiary,Employed,completed,2026-05-14T10:42:30,field_tool,1,Bad,2,Low,5
e31cf6ea-1e28-4968-bef7-089c9783d541,6799e6f8-b8a2-4fa0-8801-646e17b77a09,survey_974,Madagascar,Kelseystad,Male,37.0,Tertiary,Employed,completed,2026-05-14T10:41:40,field_tool,1,Bad,5,Low,2
4265c540-e69e-43d3-8e60-3a37c10d8daa,4b06dd1d-104d-4b14-a1f4-a41215fd0b44,survey_325,Madagascar,Lake Michelehaven,Female,31.0,Secondary,Unemployed,completed,2026-05-14T10:40:45,field_tool,5,Good,4,High,2
ed6157da-18a9-412e-be36-584608d90f48,a4424db0-8076-46ac-9da2-24b2a0eda542,survey_492,Madagascar,Hansonside,Male,29.0,Secondary,Self-employed,completed,2026-05-14T10:43:21,field_tool,3,Very Good,4,Low,5
20ce6913-2232-45d7-a7c6-d56245dfb802,509f01df-6d5d-4073-824e-1999a932cca5,survey_901,Madagascar,Lake Jonchester,Female,63.0,Tertiary,Unemployed,completed,2026-05-14T10:40:08,field_tool,5,Good,4,Medium,5
a5f33d13-48f3-498c-8fd5-668d2671d102,7e804bb3-1a3c-4d90-89e6-cbd2c88899df,survey_891,Madagascar,Port Katiestad,Female,51.0,Tertiary,Employed,completed,2026-05-14T10:44:31,field_tool,3,Bad,5,High,2
c79c4910-7672-4ef3-8439-98fd2c582312,768e974d-6a2f-4280-9d34-845f3ca74505,survey_258,Madagascar,North Wendymouth,Female,20.0,Primary,Unemployed,completed,2026-05-14T10:42:50,field_tool,2,Good,3,Low,4
0d0b3f3b-1ee3-4096-b556-f776460d4636,2f191d38-2a3a-45e2-9df7-cf3eb12741a6,survey_731,Madagascar,Parkerberg,Female,57.0,Tertiary,Unemployed,completed,2026-05-14T10:41:55,field_tool,2,Good,4,Low,2
85fe7c27-3cde-46da-aecb-9ad98e4ff04c,e68aa52f-f4f1-4bd7-a2c6-9d34feb12af1,survey_351,Madagascar,Matthewstad,Female,52.0,Tertiary,Self-employed,completed,2026-05-14T10:43:49,field_tool,5,Good,1,Medium,3
14f9b9ab-741c-47c9-8e66-a1d64ac9da1d,cb3e04d1-f74b-4b64-b3cc-65968fad1f23,survey_321,Madagascar,West Danny,Male,50.0,Tertiary,Employed,completed,2026-05-14T10:44:19,field_tool,1,Neutral,3,High,2
aaef8737-6482-4c3f-9838-940905b5b4a4,f0d0e302-0174-4e4f-a3bb-1ae63d0d49af,survey_598,Madagascar,East Lauren,Female,60.0,Secondary,Employed,completed,2026-05-14T10:43:38,field_tool,3,Bad,4,High,2
80dbc648-7f4e-4c3e-bd73-c0253bac2263,36dd3553-1521-47a4-9fd4-a56cb773293f,survey_152,Madagascar,New Brentberg,Male,35.0,Primary,Self-employed,completed,2026-05-14T10:40:23,field_tool,5,Bad,4,High,2
daa51d9a-f187-4b3c-bd62-39ff32c9a288,84d2b8c4-99cb-44bc-872c-7100bf28ff45,survey_388,Madagascar,North Jenniferside,Male,73.0,Primary,Unemployed,completed,2026-05-14T10:41:51,field_tool,4,Good,1,Medium,1
57153d8f-9193-4f8e-8e77-d94852a84786,50a6c2e9-af8e-47ff-b948-491b715e280a,survey_739,Madagascar,Michaelfort,Male,41.0,Primary,Self-employed,completed,2026-05-14T10:41:47,field_tool,2,Neutral,3,Medium,3
361ae105-eaf9-42ab-99ee-4e4388b07064,3772d644-a52b-4489-afc8-346a4a44d881,survey_951,Madagascar,New Henry,Female,75.0,Tertiary,Employed,completed,2026-05-14T10:44:51,field_tool,3,Very Good,3,High,2
7f253fb2-09c4-469d-839d-b123a8000c19,fe872bed-209c-46e8-b030-2d63117b9105,survey_340,Madagascar,New Laurabury,Female,29.0,Tertiary,Employed,completed,2026-05-14T10:43:13,field_tool,3,Good,2,High,2
68b42dc1-794c-4cbd-8f47-60c180c0a819,b9f5643c-cfd0-4abe-9484-8ad363e5eabd,survey_650,Madagascar,Cindybury,Female,35.0,Secondary,Self-employed,completed,2026-05-14T10:42:44,field_tool,4,Bad,2,Low,3
de4b7f93-83e0-4974-a3ea-5e2abe23b5ee,028ae8b1-a421-47a1-8351-ae2f966e6288,survey_474,Madagascar,Peterhaven,Male,74.0,Secondary,Employed,completed,2026-05-14T10:43:55,field_tool,2,Very Good,4,Medium,5
378dddab-2d90-4056-ac8a-7d27301d223e,fb01ccbc-93df-4cc8-a361-af1434d106a3,survey_101,Madagascar,Staffordhaven,Male,33.0,Tertiary,Unemployed,completed,2026-05-14T10:42:00,field_tool,4,Very Good,2,High,4
f63cf484-b725-486e-bd21-ec32d6e9ef76,2444d19c-6d4f-42f7-95bc-36e9c1c75928,survey_448,Madagascar,Rodriguezborough,Male,45.0,Secondary,Self-employed,completed,2026-05-14T10:43:39,field_tool,5,Good,2,Medium,4
721e6b2b-10bc-4ee5-a688-167205626fd7,4269687c-24c5-4dbf-a008-76960da72d2f,survey_150,Madagascar,Philiphaven,Female,18.0,Tertiary,Self-employed,completed,2026-05-14T10:42:02,field_tool,4,Bad,1,Medium,4
f88ff766-efe4-46dd-8f06-baed5d0a696f,fa3a216d-8ab3-4611-905f-f7aa59026055,survey_249,Madagascar,New Bryanfurt,Male,62.0,Tertiary,Self-employed,completed,2026-05-14T10:39:55,field_tool,3,Very Good,1,Medium,5
92126b09-ae62-47ab-87ac-53959ad4a303,8642e18b-77a5-4009-8c02-b5ba92dbfe01,survey_857,Madagascar,North Lisa,Female,32.0,Primary,Unemployed,completed,2026-05-14T10:40:56,field_tool,1,Bad,4,Medium,4
79d40dfb-115f-43d9-b43d-b5b9ee632231,4a7ff09e-6cf9-4859-9835-abc1ec02c360,survey_996,Madagascar,Lemouth,Female,46.0,Tertiary,Employed,completed,2026-05-14T10:43:58,field_tool,2,Very Good,3,Medium,5
888be57d-079b-4fb1-b9a1-51117e851ed4,90f27f1b-ec08-4346-882b-c051e54d1d36,survey_727,Madagascar,Thompsonview,Male,24.0,Tertiary,Self-employed,completed,2026-05-14T10:41:58,field_tool,2,Bad,3,High,2
d2402a9d-fd03-4fab-870f-2a79a8752b11,e86d895c-638b-4430-8cef-84f4c2575629,survey_534,Madagascar,North Douglas,Male,39.0,Secondary,Self-employed,completed,2026-05-14T10:44:12,field_tool,3,Neutral,2,Medium,2
