response_id,respondent_id,survey_id,country,region,gender,age,education_level,employment_status,completion_status,submission_timestamp,source_system,q1_democracy,q2_economy,q3_trust_govt,q4_corruption,q5_election_fairness
4cb7a347-420d-42e5-9ca3-5de88550c1e1,202cc27e-41b4-4a0e-a16b-fdc66dd09285,survey_750,Malawi,Lake Stephanieville,Male,65.0,Secondary,Employed,completed,2026-05-14T10:40:28,field_tool,5,Neutral,2,High,5
41d5ea19-8af5-4c4c-96aa-55aef7ae79ce,d5bf4902-c26b-45f2-ab90-911c7fa8666a,survey_552,Malawi,North Billy,Male,29.0,Secondary,Unemployed,completed,2026-05-14T10:40:01,field_tool,3,Neutral,5,High,4
2b329a05-da93-40e6-b71e-a1fe1f680263,07e7f1e0-1d5e-47dc-9e4f-9ae09cd03af7,survey_876,Malawi,Philipton,Male,38.0,Tertiary,Self-employed,completed,2026-05-14T10:42:30,field_tool,5,Very Good,2,Medium,4
2c8ec83b-013c-49eb-bbb0-4fec680458af,0bfc4dba-ec6b-4b97-a5f6-f8502f99bc94,survey_449,Malawi,Brendafurt,Male,53.0,Primary,Employed,completed,2026-05-14T10:43:14,field_tool,3,Very Good,5,Medium,5
d34560c1-682e-4b74-b0a8-1d0c55eaa34b,b5c6e8f9-6687-40b4-8f8e-41b288eb79b0,survey_310,Malawi,Christopherborough,Male,55.0,Tertiary,Employed,completed,2026-05-14T10:44:21,field_tool,2,Good,3,Medium,2
25f5e248-fb58-430c-814e-faa9aa465e52,35e73beb-5bba-4d52-98e0-2570d784557f,survey_220,Malawi,Jenningsburgh,Female,34.0,Primary,Unemployed,completed,2026-05-14T10:40:50,field_tool,3,Good,4,High,5
f8c36c9a-b95c-4982-84ca-f6d2b9ea1309,c7631a92-b4bd-41b6-85c3-cc2a759997d4,survey_972,Malawi,Port Ashley,Male,50.0,Tertiary,Self-employed,completed,2026-05-14T10:41:14,field_tool,1,Bad,2,Low,1
29815bfb-171e-4665-8180-cdd75848dea3,2aa15b6a-0216-4d40-99b5-1b87bce1dbc4,survey_186,Malawi,Kristinaburgh,Male,74.0,Secondary,Employed,completed,2026-05-14T10:42:18,field_tool,4,Neutral,5,Medium,5
779b9077-eee5-434a-b352-6b2f732a1cfc,8b5d5aaf-8b36-4edd-875f-be9c44926202,survey_787,Malawi,South Kendrachester,FEMALE,22.0,Primary,Unemployed,completed,2026-05-14T10:44:47,field_tool,4,Neutral,4,Medium,2
c326773d-110e-4406-a445-530e493357be,6f8ad5a9-b5fa-47f6-b9a0-b289d12db0ac,survey_947,Malawi,Stevenfurt,Male,59.0,Secondary,Employed,completed,2026-05-14T10:42:22,field_tool,3,Bad,5,Low,4
b9c21221-a175-437c-ac51-5b44b0b0db65,5a3df40e-9260-4ddc-b69d-57be4fd69e6a,survey_855,Malawi,New Ashley,Male,36.0,Tertiary,Employed,completed,2026-05-14T10:41:52,field_tool,2,Bad,2,High,3
ccd524d2-53ae-4dc1-855f-6d312f46eb41,12ab2276-c337-4ad3-bc6c-a88b6c77e782,survey_355,Malawi,Port Diana,Female,52.0,Secondary,Employed,completed,2026-05-14T10:42:12,field_tool,4,Very Good,4,Low,2
192f248b-2e13-4422-bfdf-97c59b9f7c07,4258f08a-3c88-4015-af09-126a57ae027d,survey_957,Malawi,Greenland,Male,61.0,Primary,Unemployed,completed,2026-05-14T10:40:20,field_tool,4,Good,1,Low,2
e2e4411a-4154-48e4-aa62-2fe726ff72fe,82606053-ba21-43c5-88b8-615d67fd5f2d,survey_931,Malawi,Erikamouth,Male,56.0,Primary,Employed,completed,2026-05-14T10:44:19,field_tool,5,Good,2,Low,3
