response_id,respondent_id,survey_id,country,region,gender,age,education_level,employment_status,completion_status,submission_timestamp,source_system,q1_democracy,q2_economy,q3_trust_govt,q4_corruption,q5_election_fairness
bcc5971b-55bd-4e25-b892-b42d6ab03e34,f0884723-88d7-4802-beb4-10ff8990644e,survey_742,Mali,West Andrew,Male,73.0,Secondary,Unemployed,completed,2026-05-14T10:42:24,field_tool,1,Bad,3,Medium,3
c8980e64-0f38-4d22-ac11-d45c4aed397f,5c936fad-4b90-4a28-ac0c-61f94d086f38,survey_776,Mali,North Amy,Male,57.0,Primary,Employed,completed,2026-05-14T10:41:34,field_tool,3,Good,3,High,5
98529ccb-1a65-4b91-8d4e-c387a07fa8b7,5be837b9-260c-4381-9859-c275f8f2390d,survey_517,Mali,Racheltown,Female,25.0,Primary,Self-employed,completed,2026-05-14T10:44:36,field_tool,5,Bad,3,High,4
81463558-b232-4c16-adb9-38cbece09348,418352c2-316e-46d3-bfe7-a5b494860781,survey_111,Mali,East Michaeltown,Male,51.0,Secondary,Self-employed,completed,2026-05-14T10:42:36,field_tool,3,Very Good,2,Medium,1
84b8b7cc-0c6f-47a3-a8f3-78f46c046c43,73178c5e-019c-44e1-b146-9bb9473ea95f,survey_821,Mali,Kingfort,Female,66.0,Primary,Self-employed,completed,2026-05-14T10:40:37,field_tool,4,Very Good,2,High,4
aba99aa6-755b-4ea1-84d5-edb988380bcb,ae858270-d60b-49da-8e7a-d444a656f2e3,survey_338,Mali,Holtshire,Female,25.0,Primary,Self-employed,completed,2026-05-14T10:41:59,field_tool,4,Bad,2,High,2
009ff3f8-32e2-492b-9106-7eff5358d585,b0a0bf90-8c5f-41dd-a8b6-aac2311e6f27,survey_320,Mali,East Christophermouth,Female,74.0,Tertiary,Employed,completed,2026-05-14T10:41:40,field_tool,5,Very Good,4,Low,1
a3c993e3-b5ca-4f95-aa30-2b5c091b13d9,8d84e535-480d-4394-9d9b-038bc0f1b5d2,survey_871,Mali,Port Taylorberg,Male,60.0,Tertiary,Unemployed,completed,2026-05-14T10:39:52,field_tool,5,Good,3,High,1
e471ad88-583c-46df-8563-b40850b59f14,c3b63b2d-70cd-4043-93c1-2594d1860cc5,survey_908,Mali,Jessicastad,Male,27.0,Tertiary,Employed,completed,2026-05-14T10:45:22,field_tool,2,Very Good,4,Low,3
5ed8a1da-b5eb-4ace-a705-754d18acf623,544a2c1f-46ea-4920-849d-da7cfdefbebe,survey_732,Mali,Brianberg,Male,48.0,Tertiary,Self-employed,completed,2026-05-14T10:41:03,field_tool,5,Neutral,5,Medium,4
2e4695da-7de6-4a17-9c7c-607c4dbde7e8,fabc45ed-7bc4-4a3c-b843-0fd571882238,survey_656,Mali,Parksberg,Male,51.0,Secondary,Self-employed,completed,2026-05-14T10:40:30,field_tool,1,Bad,1,High,2
94b1f240-e640-4ea0-acc0-970b67ae109a,6c6e475a-0deb-49b9-bbc8-77468dd36aa5,survey_460,Mali,Sawyerberg,Female,71.0,Tertiary,Self-employed,completed,2026-05-14T10:42:32,field_tool,2,Bad,1,Medium,2
ece98932-bb74-4aec-b022-670917dfb34d,31237ee4-9733-45d2-b2df-95ff2d455678,survey_250,Mali,Jonathanview,Female,73.0,Secondary,Employed,completed,2026-05-14T10:42:40,field_tool,5,Neutral,4,High,2
d9c73731-f146-4840-b14b-f367ace5e34d,b65043b0-1f77-493a-b059-1038e38abca5,survey_729,Mali,South Scottport,Female,28.0,Tertiary,Self-employed,completed,2026-05-14T10:45:09,field_tool,4,Neutral,3,Low,3
d44630fd-e1c1-41f6-ae5c-f0c725138fc6,d59b9a4d-bb89-43ee-90ba-0b7f24cc2319,survey_111,Mali,Port Katherineside,Male,66.0,Primary,Employed,completed,2026-05-14T10:41:19,field_tool,2,Neutral,1,Low,3
9665b499-faf8-43f0-b879-b662ccf4af73,b94a55b5-3566-4f5b-aa77-5e3f03cf13fd,survey_625,Mali,Kennethfort,Female,54.0,Secondary,Employed,completed,2026-05-14T10:40:33,field_tool,2,Very Good,5,Medium,1
f3ee4865-32aa-4451-a7de-8865e6bd83e5,84d21b65-ab94-47e3-aed2-034204f6d028,survey_208,Mali,Garymouth,Male,72.0,Secondary,Self-employed,completed,2026-05-14T10:42:38,field_tool,4,Good,1,Medium,1
37f1c871-4f88-494d-8752-4b7ba8d9a1a3,cfae89a2-2f6f-481a-8502-cff1ff5ea3e5,survey_311,Mali,South Tonya,Female,67.0,Secondary,Unemployed,completed,2026-05-14T10:42:33,field_tool,1,Bad,4,Medium,4
ae2f3aee-051a-43d3-8920-5834609d311f,90c58a4a-4212-4fad-b037-2c9235f3e7dd,survey_452,Mali,Martinezport,Male,42.0,Secondary,Employed,completed,2026-05-14T10:44:08,field_tool,1,Neutral,4,High,2
c66c6d49-3b88-4916-b1c3-a813846a5a72,f7579f30-9e62-4c4f-852b-e3676b5daf60,survey_930,Mali,East Evan,female,37.0,Secondary,Self-employed,completed,2026-05-14T10:42:31,field_tool,4,Neutral,3,Medium,1
097a3ff3-92e2-4b32-a102-e2b9dd98f124,c7f9ddef-de45-4ba6-98f1-ebd4d944c6ca,survey_171,Mali,West Anthony,Male,20.0,Primary,Unemployed,completed,2026-05-14T10:41:14,field_tool,5,Bad,4,Medium,1
c82d4c8c-cc34-422c-8b8a-96d2dd358b34,42f5716e-7229-49b5-af21-c6987281127d,survey_193,Mali,Bowmantown,Female,45.0,Tertiary,Self-employed,completed,2026-05-14T10:41:19,field_tool,3,Very Good,2,High,3
2cdd216c-0f86-41ae-bebe-593089b499fb,7dfd9faf-413a-4821-8490-01423ae4e9b9,survey_554,Mali,East Sarahtown,Female,25.0,Secondary,Unemployed,completed,2026-05-14T10:42:34,field_tool,3,Neutral,1,Medium,2
6f82a434-47e4-480a-b3aa-697f083dd000,e139616f-7e7d-4330-a1b9-70f88721b0b3,survey_580,Mali,Chandlerberg,Male,23.0,Primary,Employed,completed,2026-05-14T10:41:04,field_tool,1,Very Good,3,Low,2
2f1b1d2a-01dd-4257-9748-0c45063fe995,d96a9e1e-151f-49e3-89e1-56542eb3795c,survey_783,Mali,Lake Rebecca,Female,46.0,Primary,Self-employed,completed,2026-05-14T10:39:58,field_tool,2,Very Good,3,Low,3
ea2c98c9-1e88-468c-8c6c-cad0e78410a8,a246f649-0320-4553-8e2d-e816bbe32556,survey_267,Mali,East Dorothy,Female,26.0,Tertiary,Unemployed,completed,2026-05-14T10:42:04,field_tool,3,Good,5,Low,5
5e0ac386-fb94-419b-8508-8ce9746e80b3,ffeed1fe-ede5-4b18-b72f-8ddf2203247b,survey_387,Mali,East Jeremyside,Female,62.0,Secondary,Unemployed,completed,2026-05-14T10:43:46,field_tool,3,Good,5,Medium,4
34e001bb-1be9-4076-ad10-e2a7b2dd890b,4d3ceb13-8d92-4eea-b5f7-df32a3fdaa7a,survey_780,Mali,Samanthaborough,Male,59.0,Primary,Unemployed,completed,2026-05-14T10:42:44,field_tool,4,Neutral,1,Medium,4
650920c1-e6f2-4031-925c-592fb6e8d4e7,0de8bb3f-cb38-4dda-886a-e1cdd5ec5cd5,survey_562,Mali,North Lee,Male,28.0,Secondary,Employed,completed,2026-05-14T10:43:11,field_tool,1,Neutral,4,Low,1
f3f60b3e-e3a9-4604-a845-4abfdf7f2402,6725b98c-32c1-43ff-8b04-9bbf3d690065,survey_650,Mali,Perryview,Female,24.0,Tertiary,Self-employed,completed,2026-05-14T10:45:08,field_tool,1,Neutral,5,Low,1
ee0ff8a2-04b1-430a-b8e2-464197d2742b,df155411-6837-4668-b050-3e38c1669242,survey_533,Mali,Williamport,Male,50.0,Secondary,Unemployed,completed,2026-05-14T10:44:56,field_tool,4,Neutral,1,High,4
