response_id,respondent_id,survey_id,country,region,gender,age,education_level,employment_status,completion_status,submission_timestamp,source_system,q1_democracy,q2_economy,q3_trust_govt,q4_corruption,q5_election_fairness
cff680c9-76f4-41f0-a29a-be300c7a8fa2,8911fd14-4600-4375-b3ff-8f60aa1653da,survey_494,Mauritania,Johnmouth,Female,54.0,Primary,Self-employed,completed,2026-05-14T10:44:50,field_tool,1,Very Good,5,Low,3
0f34c831-8dbd-4c0f-bcb4-328387230cef,c9409073-c937-46c3-a189-140dd5ca1b11,survey_435,Mauritania,Mitchellfurt,Male,66.0,Tertiary,Unemployed,completed,2026-05-14T10:45:39,field_tool,4,Good,1,Medium,1
164286da-4590-4d97-aac6-5da31a07b7a7,72d53cbd-bed6-4553-8f22-1f4b02d87dd1,survey_219,Mauritania,Port Lori,female,38.0,Primary,Unemployed,completed,2026-05-14T10:41:50,field_tool,5,Neutral,2,Low,2
e4a70f82-67f5-4bb8-a62b-f45032abb834,f929b888-7ef3-41a3-9d38-07eb7fd9e280,survey_695,Mauritania,Riverahaven,Female,48.0,Primary,Unemployed,completed,2026-05-14T10:44:22,field_tool,2,Bad,4,Low,4
899fe3b7-4868-4bef-a654-c874a90b49df,cb3ced43-732f-4e63-bea2-e3211e4ac06f,survey_635,Mauritania,Herrerastad,Male,50.0,Tertiary,Employed,completed,2026-05-14T10:41:19,field_tool,2,Bad,1,Medium,2
c142a92d-8ede-457e-8df6-cd17242a571d,8627eaf3-78b9-40d6-867e-846c211f02a5,survey_401,Mauritania,Port Meganville,Male,54.0,Primary,Self-employed,completed,2026-05-14T10:39:47,field_tool,2,Good,4,High,4
e0bac7d6-ee83-487f-b0c7-590c5ba3a855,ef96a891-a9e3-4f79-aba8-63bdd8de4900,survey_543,Mauritania,Port Ronaldville,Female,43.0,Secondary,Employed,completed,2026-05-14T10:44:53,field_tool,5,Good,1,Low,4
05e986e6-e460-497f-8f08-d704aa22363a,ca2ed981-decc-44c8-91b3-a3c3852ca581,survey_784,Mauritania,Scottport,Male,52.0,Primary,Unemployed,completed,2026-05-14T10:43:17,field_tool,1,Bad,4,High,4
90f994e5-23ab-4e3e-86cc-ce457bff5fc7,33979619-fc7d-4137-84ab-c0e194a5061c,survey_258,Mauritania,South Anitaland,Female,41.0,Secondary,Employed,completed,2026-05-14T10:45:38,field_tool,1,Very Good,5,High,2
f927e4a5-7838-4373-8a32-8087578d5f13,12c22f83-acc4-4808-ad89-745e584f2b67,survey_972,Mauritania,Robertsville,Male,61.0,Tertiary,Unemployed,completed,2026-05-14T10:44:56,field_tool,1,Very Good,2,Low,2
