response_id,respondent_id,survey_id,country,region,gender,age,education_level,employment_status,completion_status,submission_timestamp,source_system,q1_democracy,q2_economy,q3_trust_govt,q4_corruption,q5_election_fairness
bb32f20d-9d3d-4e0a-ac9f-988955e6d667,03d7ec4f-079a-4e9e-ba45-b2b60e3f1cd0,survey_706,Mauritius,Williamsshire,Female,54.0,Secondary,Employed,completed,2026-05-14T10:43:25,field_tool,5,Good,5,Medium,1
39fc1ffd-bb69-4609-9f29-7b5600cd33f1,3a52bcdd-438e-4dbf-8e57-60627701a54f,survey_832,Mauritius,Tonyashire,Female,48.0,Primary,Self-employed,completed,2026-05-14T10:41:37,field_tool,3,Bad,3,High,5
18dd44f9-7dbf-4716-ad3d-be938b670e36,a7bd2d53-f3fc-4f09-9d2d-5b5a471b024a,survey_389,Mauritius,Morachester,Female,25.0,Secondary,Self-employed,completed,2026-05-14T10:45:40,field_tool,5,Neutral,5,Medium,1
f43c930b-f399-4459-899a-07dac2b58825,dc54abbf-f0b2-49c0-9ced-73ddac42df3e,survey_516,Mauritius,Natashachester,Male,63.0,Tertiary,Employed,completed,2026-05-14T10:41:27,field_tool,5,Very Good,2,Medium,4
bd38bc9a-aeeb-4a00-ae0c-3a4537a8cb8f,68659857-04d5-4b92-a3aa-6b823ef24b98,survey_210,Mauritius,North Karenland,Male,25.0,Primary,Employed,completed,2026-05-14T10:41:46,field_tool,4,Bad,4,Low,3
9f0bda58-6e2f-4386-a4b4-e477f245db00,11cd47e4-368a-462f-a9e3-c43aaf686645,survey_459,Mauritius,East Andrew,Male,43.0,Secondary,Self-employed,completed,2026-05-14T10:43:06,field_tool,5,Very Good,2,Medium,2
9dd14f40-683a-4aee-85b2-929585776719,80f5501a-6d61-45b8-a8d7-72777f3b8ac6,survey_142,Mauritius,Scottton,Female,21.0,Primary,Unemployed,completed,2026-05-14T10:44:19,field_tool,5,Very Good,3,Medium,5
3b5cb29c-d755-4561-acb1-1570a24fae4c,fa868117-983a-4e78-a93c-1c55161b45a8,survey_933,Mauritius,East Matthewborough,Female,55.0,Secondary,Unemployed,completed,2026-05-14T10:42:01,field_tool,4,Neutral,2,Low,4
d7b92321-a4a5-4027-9337-a9293e104d59,667d4fc7-0b3b-4246-a0c0-5333f837987b,survey_514,Mauritius,New Jennifer,Male,29.0,Tertiary,Self-employed,completed,2026-05-14T10:42:37,field_tool,1,Bad,4,High,1
7d539b69-5806-4536-9d05-9adba3a68816,02439714-beee-45f4-86f9-f246bafa0fc3,survey_487,Mauritius,Derrickside,Female,44.0,Primary,Self-employed,completed,2026-05-14T10:42:31,field_tool,2,Bad,2,High,1
a8441e06-5858-4db4-b110-da06d48544e2,1985dbb9-e93f-4f9f-b904-4054d050a38a,survey_573,Mauritius,Lake Ryanside,Male,57.0,Tertiary,Unemployed,completed,2026-05-14T10:41:36,field_tool,2,Very Good,1,Medium,4
d70f6f69-54dd-49dd-9091-735837dcf9f7,d035c3ca-12ad-4487-a8f5-a57795b057e9,survey_243,Mauritius,West Kristinefurt,Female,49.0,Secondary,Self-employed,completed,2026-05-14T10:43:55,field_tool,5,Very Good,2,Medium,5
22971cf5-a57b-4e20-aefd-94caeea09a74,739b6824-8731-484e-989e-76b98ce7dc29,survey_284,Mauritius,East Teresa,Female,40.0,Primary,Self-employed,completed,2026-05-14T10:45:30,field_tool,4,Neutral,1,Medium,2
