response_id,respondent_id,survey_id,country,region,gender,age,education_level,employment_status,completion_status,submission_timestamp,source_system,q1_democracy,q2_economy,q3_trust_govt,q4_corruption,q5_election_fairness
3dace5bd-3263-4804-a77c-4a34a3ebab89,166c0589-99e7-487f-b699-0c195e436d81,survey_354,Morocco,Lopezton,Male,39.0,Tertiary,Self-employed,completed,2026-05-14T10:43:48,field_tool,4,Neutral,4,Medium,2
9eb410c6-03a9-407e-a17e-4bb47d66fab7,6a4fc1e0-2a66-41bc-ba04-eeabe64c8a66,survey_568,Morocco,West Jacob,Female,38.0,Primary,Self-employed,completed,2026-05-14T10:40:48,field_tool,3,Neutral,4,Low,3
ae58dcce-faf9-4060-a416-f0aa8ca51fff,a69fb357-9cf1-4674-9a1e-36cc0a2fd3bb,survey_919,Morocco,Butlermouth,Male,74.0,Tertiary,Employed,completed,2026-05-14T10:40:50,field_tool,5,Bad,5,High,4
f0987882-0c06-4e8e-a218-7f791f236a4a,7ca495a8-0894-46fe-8a08-d6cf570da7fa,survey_302,Morocco,North Derekton,Male,49.0,Secondary,Unemployed,completed,2026-05-14T10:39:48,field_tool,2,Very Good,2,Medium,4
8faa024b-2e1f-485b-9f6b-be6fe7b87ea3,0bb5c47e-48c5-43fd-8cc0-8da3da713c69,survey_803,Morocco,Diazhaven,Female,52.0,Secondary,Employed,completed,2026-05-14T10:44:04,field_tool,4,Bad,5,Medium,4
9522fe18-a690-446e-84f5-ddb5688aa3ca,7a9e3e4e-254e-4d58-a15d-7b3b292e324f,survey_885,Morocco,Lake Larry,Female,24.0,Secondary,Unemployed,completed,2026-05-14T10:42:26,field_tool,2,Very Good,1,Medium,2
a5b7eba6-2ab2-4724-bde4-b3beb90989fa,e1d3e779-394c-4d4f-9df3-fdd897bca492,survey_204,Morocco,South Williemouth,Male,74.0,Tertiary,Employed,completed,2026-05-14T10:44:00,field_tool,1,Bad,5,Low,2
2de172b2-e396-4a80-931e-6a18825642e0,a95a29d8-d28d-4fb2-814f-513e7880c274,survey_574,Morocco,Harriston,Female,47.0,Tertiary,Self-employed,completed,2026-05-14T10:42:41,field_tool,1,Bad,4,High,4
f2502fa1-8aef-4943-a242-01e1843a8c69,e9107e52-655c-44ca-8a43-0d373b9c77fc,survey_798,Morocco,Branchfurt,Male,74.0,Primary,Employed,completed,2026-05-14T10:43:26,field_tool,5,Neutral,5,High,5
cf0dd4c4-ba0c-402b-988a-6eed6ffdab23,ad01a254-031e-4cd7-a888-ef3974a3950d,survey_203,Morocco,Port Timothy,Male,35.0,Tertiary,Self-employed,completed,2026-05-14T10:45:04,field_tool,5,Bad,3,Low,1
2788bd3f-4630-442c-9d9b-9d84d1787deb,90cf490d-7138-4bf7-b097-8128d165deb7,survey_502,Morocco,Gilesberg,Female,74.0,Secondary,Employed,completed,2026-05-14T10:44:26,field_tool,4,Very Good,3,Low,2
2a7e25bd-9fc4-4e0b-9d8a-b8a863c7e12e,68a41bbb-33f1-4d0a-8a05-fc8dd4904d12,survey_978,Morocco,Ibarrashire,Male,40.0,Primary,Self-employed,completed,2026-05-14T10:44:37,field_tool,5,Good,4,High,1
af4b2dc1-808d-4b8c-ac75-fed6845b2fc9,67761eb8-af31-4c08-8038-209293960476,survey_197,Morocco,Margaretland,Female,50.0,Primary,Self-employed,completed,2026-05-14T10:41:17,field_tool,1,Neutral,3,Medium,5
382ae32a-8e73-494e-887e-c13f5bb537a4,7bae78c2-5627-445e-bdc9-5c4131734dca,survey_519,Morocco,East James,Male,64.0,Tertiary,Employed,completed,2026-05-14T10:44:57,field_tool,1,Bad,5,Medium,3
ccfc745f-9d34-42b3-b40f-8b9daa07764b,9c9c2844-e579-4a75-b94b-c0d94594e2c4,survey_921,Morocco,Mcconnellside,Male,57.0,Tertiary,Unemployed,completed,2026-05-14T10:41:34,field_tool,2,Very Good,4,Medium,4
5b9e4a43-d813-46af-a8eb-9d7cae156fa5,26d8d73f-6f49-4cdb-8c79-52cb4e5b2424,survey_547,Morocco,Taylorstad,Male,39.0,Tertiary,Employed,completed,2026-05-14T10:45:28,field_tool,3,Very Good,2,Medium,3
d08298cc-4b3a-44bd-bf29-63d597f9d1fe,4f168d97-4ffb-46db-a57d-b5bf3b48557e,survey_181,Morocco,West Amberfort,Female,38.0,Secondary,Unemployed,completed,2026-05-14T10:43:52,field_tool,5,Neutral,5,Low,5
b1a84cfb-3776-402c-bff0-4a45442a657d,4b154543-a23e-4239-aeb3-da7a70af2ac0,survey_353,Morocco,Ashleyshire,Female,51.0,Primary,Self-employed,completed,2026-05-14T10:42:03,field_tool,3,Good,1,High,3
5e87ec64-6e59-403c-b8e5-83808bbcc7b9,3a38a29d-8947-4739-8051-268b1f152152,survey_853,Morocco,Robertsontown,Female,25.0,Tertiary,Employed,completed,2026-05-14T10:44:19,field_tool,4,Bad,5,Low,4
59865f1a-a554-4125-8f99-423cb685d4b7,ebe79f89-869e-4a40-9281-cce294827280,survey_441,Morocco,New Kathleenburgh,Female,29.0,Tertiary,Unemployed,completed,2026-05-14T10:39:52,field_tool,4,Bad,4,Medium,1
b83ed9c6-2868-4def-8286-38436bd9ddea,48fe1af6-63d7-499d-9931-82bd7058b440,survey_957,Morocco,Jennyland,Female,60.0,Tertiary,Self-employed,completed,2026-05-14T10:43:45,field_tool,3,Good,1,Low,1
27c97941-6f76-4897-a16d-6340243ddc0d,d3af3619-f36d-4a36-9af7-f22cd4d84d00,survey_847,Morocco,Susanmouth,Female,26.0,Primary,Self-employed,completed,2026-05-14T10:41:39,field_tool,2,Good,2,Low,2
58552995-0241-4ffc-a884-62d683e4a040,a05ce790-10fa-4403-b722-2f0a99c9808b,survey_184,Morocco,Port Tamara,Female,34.0,Secondary,Unemployed,completed,2026-05-14T10:42:41,field_tool,3,Very Good,5,High,4
c53bf1a6-9183-46f9-b712-81f048189a68,522a230e-ea65-4d60-a37a-9f3252503427,survey_166,Morocco,North Katherineborough,Male,32.0,Tertiary,Employed,completed,2026-05-14T10:40:08,field_tool,4,Good,4,Low,3
50d3d3aa-9ad7-461a-a819-923fa083042d,cb95e9d7-b05d-447f-9367-c82a8b49c017,survey_880,Morocco,Nielsenfort,Male,59.0,Secondary,Employed,completed,2026-05-14T10:43:11,field_tool,1,Bad,1,Medium,1
8b734f1a-3218-4b74-bd14-8e7f9a361fc0,786b5570-2caa-4761-a982-384b0cfb3279,survey_739,Morocco,Brownborough,Female,50.0,Primary,Unemployed,completed,2026-05-14T10:41:49,field_tool,4,Bad,5,Low,2
92bb5b5b-a640-4f53-abe8-407ffe753535,1d17a05d-ca9e-49ee-a223-731a221c5259,survey_616,Morocco,Nancyhaven,Female,38.0,Tertiary,Unemployed,completed,2026-05-14T10:41:29,field_tool,3,Neutral,2,High,1
5662055b-29b4-46bf-afff-72e2c80927c9,0a2af4e3-354d-4fdb-a778-375da11fbb68,survey_293,Morocco,Lake Michelle,Male,75.0,Secondary,Unemployed,completed,2026-05-14T10:40:46,field_tool,3,Very Good,5,Low,4
9c18eab9-86ff-4d29-be0f-5026c3d85d11,865752d8-5849-491a-9305-c1ae82cae121,survey_209,Morocco,Marshallview,Male,31.0,Secondary,Employed,completed,2026-05-14T10:41:36,field_tool,1,Neutral,4,Low,3
fc6f83bc-da27-4828-8b83-ccde7bd4dc1b,05c674db-6274-4766-a113-1d1bf5b03148,survey_574,Morocco,Williamhaven,Male,37.0,Tertiary,Self-employed,completed,2026-05-14T10:44:08,field_tool,5,Good,3,Medium,2
