response_id,respondent_id,survey_id,country,region,gender,age,education_level,employment_status,completion_status,submission_timestamp,source_system,q1_democracy,q2_economy,q3_trust_govt,q4_corruption,q5_election_fairness
056dce0a-833d-4ea4-ad95-ae85029ceb34,4531f115-cb5b-4e9d-9da0-8768971d8f8e,survey_188,Namibia,New Jillview,Female,40.0,Secondary,Employed,completed,2026-05-14T10:43:34,field_tool,1,Bad,2,High,4
5db8ceec-f445-43f2-bdfc-45e4594afa56,78077b64-25cd-42ab-b8fa-9c9e76f15ff8,survey_461,Namibia,Mooretown,Male,40.0,Primary,Unemployed,completed,2026-05-14T10:45:00,field_tool,2,Neutral,2,Medium,4
ac2f3eb2-0d75-4155-ac3b-9f519346a37e,f9fb622d-7f5d-43dd-a38c-2c9fdf4b5e18,survey_914,Namibia,Mcgeeland,Female,36.0,Primary,Unemployed,completed,2026-05-14T10:42:15,field_tool,1,Very Good,1,Medium,1
55f3e201-d580-4731-b3af-cc34bd6bfc68,f2c49931-063c-4d5b-bdb2-a5eb001c25cc,survey_142,Namibia,Lauraview,Female,32.0,Secondary,Employed,completed,2026-05-14T10:40:09,field_tool,2,Bad,3,Medium,2
d7f85d70-439f-4618-96bc-00584a5ee565,8ab69473-99fd-415c-bf4a-321f8718ca8c,survey_423,Namibia,South Joelville,Female,38.0,Tertiary,Employed,completed,2026-05-14T10:44:03,field_tool,2,Bad,2,Medium,3
bbb41992-69d3-422d-a90d-f4717fe38669,564b7ff5-8666-462c-b979-34bbfa27be8c,survey_997,Namibia,Adkinsberg,Male,51.0,Tertiary,Self-employed,completed,2026-05-14T10:42:01,field_tool,4,Good,3,High,2
f77c6f7d-c771-42f6-b0b4-5fc94f8d6e60,e96821b4-294c-4829-9d0e-1713e2cdc071,survey_645,Namibia,South Kellyburgh,Female,67.0,Primary,Self-employed,completed,2026-05-14T10:45:15,field_tool,4,Very Good,2,Medium,4
66048b21-2e6f-49dc-b6cf-3e850f3d2c13,f7c2de13-f8a7-418a-b153-728f08d8412a,survey_394,Namibia,North Jillton,Female,37.0,Secondary,Employed,completed,2026-05-14T10:44:11,field_tool,4,Bad,5,Low,2
d470817c-b921-4614-a0ef-f9c9581c7964,d4ec068c-afcb-4a7b-8609-1dea2b3a2a5c,survey_265,Namibia,Johnathanside,Male,30.0,Tertiary,Self-employed,completed,2026-05-14T10:45:15,field_tool,4,Very Good,5,Low,3
75703420-067b-46b6-9716-3f087b6e306e,bb5e7e2c-1574-4fb2-a234-5d6e5191e423,survey_441,Namibia,Lake Derrickstad,Female,69.0,Secondary,Employed,completed,2026-05-14T10:44:38,field_tool,1,Good,5,High,2
d286ea9e-9995-42a8-b0a9-bffcdfcaf36a,6c31a0ec-c95f-4d52-8fa8-80ece307b8aa,survey_303,Namibia,East John,Female,19.0,Tertiary,Employed,completed,2026-05-14T10:40:37,field_tool,4,Very Good,5,High,5
21f27948-ed13-4807-8719-601c42d7c2f7,79176ab9-bead-4037-ab4c-2706c025f13e,survey_160,Namibia,Dylanchester,Female,54.0,Tertiary,Self-employed,completed,2026-05-14T10:44:46,field_tool,4,Very Good,3,High,4
c863ad49-1608-4a3c-88d2-b6a758770e2e,7789a343-19ec-471b-8b86-f0e2e855b491,survey_572,Namibia,Johnsonfurt,Male,51.0,Primary,Unemployed,completed,2026-05-14T10:45:01,field_tool,4,Bad,4,High,4
e34c7fdd-e959-4fb2-b3a6-9aabc19e7e9b,cc77e3af-b0c0-4c6f-8d45-7583a4b58b20,survey_415,Namibia,Sharonborough,Male,49.0,Tertiary,Unemployed,completed,2026-05-14T10:43:42,field_tool,4,Neutral,2,Low,3
527f80fa-7e22-4834-b6f4-b5a9062869bd,9973f442-1f9f-4f97-af7a-36d80fbbba00,survey_800,Namibia,South Jeremy,Female,58.0,Tertiary,Self-employed,completed,2026-05-14T10:44:55,field_tool,5,Good,1,Medium,1
2fce9fdb-d2b1-4773-93ce-5ee02f16cc10,b0fa87fa-c9d8-4098-8e6d-310785d78131,survey_316,Namibia,Navarroland,Female,37.0,Secondary,Self-employed,completed,2026-05-14T10:41:55,field_tool,4,Very Good,4,High,5
1a607007-2aa0-4834-b5d4-18de9b90b5cb,ee7eec5f-e706-427c-a6bb-9e0aa3f4ba55,survey_978,Namibia,South John,Female,25.0,Secondary,Employed,completed,2026-05-14T10:41:17,field_tool,4,Very Good,1,Medium,5
6e172652-a16f-44a4-be86-bca5a1aaefde,b2f774d6-b68a-4b7e-a18b-55869183da2f,survey_133,Namibia,West Larrymouth,Female,72.0,Primary,Unemployed,completed,2026-05-14T10:41:15,field_tool,3,Neutral,2,High,2
bb1b1994-de0f-4aee-b2fd-43919f94f018,c84875d2-0a4f-4450-96cc-9089131b661a,survey_711,Namibia,South Thomas,Female,40.0,Secondary,Employed,completed,2026-05-14T10:41:18,field_tool,3,Neutral,4,Low,2
ef8df0ba-edc5-4afd-8bbe-41de97106d3d,c898810b-897c-4cd2-91ac-23caf6d6f997,survey_106,Namibia,Alexfort,Male,49.0,Secondary,Employed,completed,2026-05-14T10:43:15,field_tool,2,Bad,4,Low,5
271abc17-7aca-4520-a2e4-0446b79e4f81,f8def7d6-81df-48ae-8eea-e787cf7421d1,survey_560,Namibia,Port Jill,Female,64.0,Secondary,Self-employed,completed,2026-05-14T10:43:27,field_tool,3,Very Good,2,Medium,3
595d0ac9-f648-40e2-b475-61c85a4ffee7,477576d2-e723-4cf4-946e-ff063f3616b1,survey_418,Namibia,Williamsfort,Female,18.0,Primary,Employed,completed,2026-05-14T10:44:40,field_tool,2,Very Good,5,High,3
42acc949-4164-4601-95fa-e590fc2a4b22,0f34d816-4116-453b-b484-552175cda1e9,survey_236,Namibia,Mccormickchester,Female,55.0,Primary,Employed,completed,2026-05-14T10:44:07,field_tool,4,Bad,3,Medium,5
d294c1fd-cd04-4df9-ba69-413e14be4758,450ff92f-61ca-4ba5-8222-67b559b968e6,survey_869,Namibia,Maryberg,Male,62.0,Primary,Employed,completed,2026-05-14T10:42:23,field_tool,4,Good,3,Low,2
6b2400db-d49a-4bc9-851c-30dfd68735ba,939aa311-f7cd-4641-96fd-799bcb5c25aa,survey_144,Namibia,East Jon,Male,49.0,Tertiary,Unemployed,completed,2026-05-14T10:44:00,field_tool,4,Neutral,3,Low,2
94c9ca01-54ed-463d-9e64-9d59601e6cf8,4eede04c-51b6-478c-915b-3466618cc25c,survey_753,Namibia,Paynetown,Male,49.0,Tertiary,Unemployed,completed,2026-05-14T10:40:47,field_tool,5,Neutral,5,High,2
edc0a4bf-9aab-4b3f-b3f0-9343b07f2daf,aa53cb75-03c9-47ec-b381-ea792d5713cc,survey_353,Namibia,Hendersonfurt,Female,54.0,Tertiary,Employed,completed,2026-05-14T10:42:48,field_tool,4,Bad,3,Medium,4
4b8555e3-7e6a-4f77-91fd-0fc8e30ef901,ba13b028-b542-420b-91a0-b1b7338c4af1,survey_608,Namibia,Roachstad,Male,56.0,Tertiary,Unemployed,completed,2026-05-14T10:45:35,field_tool,1,Good,1,High,5
e6d88ee0-15c0-4395-b81f-483e4c3adc01,90c77b78-5689-4490-9dc4-6fd3e39cb178,survey_266,Namibia,Andersonfort,Male,38.0,Tertiary,Employed,completed,2026-05-14T10:41:58,field_tool,5,Good,3,Medium,1
0151092f-5e63-4ae8-ae87-9bd6ab38243a,3b537a6c-3754-4ce6-9312-115e20aed78f,survey_979,Namibia,Shellyville,Male,73.0,Tertiary,Employed,completed,2026-05-14T10:41:01,field_tool,4,Very Good,2,Medium,1
d8f2c14f-a842-4c2d-ad8a-314c6f594710,499c740e-3d94-4671-b0f3-6f668bb4c5bf,survey_798,Namibia,Lake Misty,Female,41.0,Secondary,Self-employed,completed,2026-05-14T10:39:54,field_tool,4,Very Good,4,High,5
d0193d11-cd5a-4ece-918c-0b8d950d720f,2fdb2ee4-5733-401d-b616-09743dbccc75,survey_235,Namibia,Dillonchester,Male,28.0,Primary,Self-employed,completed,2026-05-14T10:44:05,field_tool,4,Bad,5,High,3
49b51448-5d3b-44b7-a6a5-e80c8d16dd97,3a6527cf-5b36-45b4-ba41-31ff5fda916c,survey_455,Namibia,South Dawnville,Male,75.0,Tertiary,Self-employed,completed,2026-05-14T10:41:19,field_tool,5,Good,4,Low,5
2caebc1c-327e-49a5-92f4-182e1bd38d3b,8d038911-613a-4070-834c-97079f20c48d,survey_622,Namibia,East David,Female,30.0,Primary,Unemployed,completed,2026-05-14T10:43:03,field_tool,4,Bad,1,Low,4
8d0b45bb-5ee6-4e89-886d-b6a1a15a7c2a,1692e67b-d10a-49d8-af59-6bbb6590bcf7,survey_372,Namibia,Chunghaven,Male,,Secondary,Unemployed,completed,2026-05-14T10:42:06,field_tool,2,Very Good,5,Low,1
3c71ec6e-4001-44c3-a23e-0cb4d3e79fbe,1ed556f8-c973-4b50-9aa5-3c7d86035386,survey_201,Namibia,Hernandezberg,Male,41.0,Secondary,Employed,completed,2026-05-14T10:42:36,field_tool,4,Good,1,High,2
9702fec4-5ce7-4191-b0a3-380152e12b69,5331b97a-cce2-4e86-aca9-31731e107ed4,survey_137,Namibia,Torresville,Male,53.0,Primary,Unemployed,completed,2026-05-14T10:42:41,field_tool,1,Bad,3,Medium,4
3cd598fc-d4c4-4920-bb83-8634963fa63b,4ec25891-2df9-4030-b575-50b4c8933fdb,survey_558,Namibia,Waltersfurt,Female,28.0,Secondary,Employed,completed,2026-05-14T10:41:39,field_tool,2,Very Good,4,Low,1
6bd4d456-3f1a-4a80-9e3a-adb492e19c96,a03cd39a-1b97-42e6-8381-575e9af8ddb3,survey_699,Namibia,New Markview,Male,47.0,Secondary,Unemployed,completed,2026-05-14T10:41:11,field_tool,5,Very Good,2,High,2
1ac3f509-0a22-47b4-ac52-6dc3e1910827,0096d4c7-643b-43fa-8622-7ca008fd7861,survey_298,Namibia,New Lauren,Male,59.0,Secondary,Self-employed,completed,2026-05-14T10:43:05,field_tool,1,Bad,3,Low,4
00e8fa8d-4ed7-4919-b84d-8d12725e1a19,7c4e1fa6-b495-4ee2-8e1c-ea330d9e98e4,survey_754,Namibia,Barbaraborough,Male,52.0,Tertiary,Employed,completed,2026-05-14T10:42:36,field_tool,4,Bad,3,Medium,3
1ed44d78-7291-4e44-a239-c3f08a68d67d,66b9aca0-01ae-4ac8-b82f-f6c2c4bfacd4,survey_585,Namibia,South Shawnborough,Male,32.0,Secondary,Self-employed,completed,2026-05-14T10:44:04,field_tool,5,Bad,4,High,4
619afbb1-ba63-4342-aa57-b092dbe78456,59f7c03a-74ba-48b4-881c-d6fc2242f54b,survey_639,Namibia,North Johnside,Female,39.0,Primary,Unemployed,completed,2026-05-14T10:43:23,field_tool,4,Neutral,5,High,1
be632796-190f-4745-93c4-73a3ed30e1d2,97525bcb-7365-406c-bb07-925e56e8e2bf,survey_159,Namibia,Mccarthyside,Female,44.0,Primary,Self-employed,completed,2026-05-14T10:40:40,field_tool,4,Neutral,4,Medium,5
6f1d98bc-f72a-4079-917e-2e2433d66952,0f83eaa3-2fb6-4d23-be5d-37950311cfea,survey_918,Namibia,East Jonathon,Male,57.0,Tertiary,Unemployed,completed,2026-05-14T10:40:33,field_tool,4,Bad,4,Low,3
56c99160-39bf-4ed7-b658-e29816b1c404,29000dd2-adcf-49f7-b8ec-478e7c9e6f9d,survey_156,Namibia,West Chloemouth,Female,33.0,Primary,Self-employed,completed,2026-05-14T10:45:39,field_tool,3,Neutral,3,Medium,5
9a94d5bb-9364-4599-8602-839b1a4860ea,1083fa3b-f069-4544-b583-7edb4eeb6db7,survey_116,Namibia,West Cynthia,Female,65.0,Secondary,Self-employed,completed,2026-05-14T10:43:53,field_tool,1,Neutral,2,Low,4
0dc5fb7e-2b8b-44d7-83be-dd73756e3af4,01176404-b327-44f6-826a-b682400e71ef,survey_290,Namibia,Adamport,Female,46.0,Primary,Unemployed,completed,2026-05-14T10:41:47,field_tool,4,Very Good,1,Medium,3
c791c265-969a-4324-ac9f-396fc8683455,de3749ce-19d8-4a62-8c7b-9d0c72d383cc,survey_842,Namibia,Chadshire,Male,44.0,Secondary,Unemployed,completed,2026-05-14T10:42:54,field_tool,2,Very Good,5,Medium,3
04eca622-5f2a-446a-8530-4ec2d346c617,ed4f85d9-b7c3-4764-b792-5a6e875cffdf,survey_616,Namibia,South Patricia,Male,74.0,Primary,Self-employed,completed,2026-05-14T10:43:14,field_tool,4,Neutral,1,High,2
67e4315e-262c-4a75-bfcf-788e3f1fddf9,3b6ceb07-fb56-41bd-9cd5-5f02b2a9e6ee,survey_763,Namibia,Billyland,Female,49.0,Secondary,Unemployed,completed,2026-05-14T10:41:26,field_tool,2,Very Good,4,Medium,2
57d71489-e272-4b9b-b360-552a2385fd34,767cdf3a-5974-4ae7-8bd0-479809530dfa,survey_560,Namibia,East Annette,Female,51.0,Tertiary,Employed,completed,2026-05-14T10:41:28,field_tool,2,Very Good,3,High,3
bab0d756-deec-4908-934c-2cab32ff229f,90b336c5-f9e0-4483-b3c2-dafe2fe8e7e5,survey_493,Namibia,New Georgebury,Female,53.0,Primary,Unemployed,completed,2026-05-14T10:40:46,field_tool,1,Neutral,1,High,3
4ca637a1-2972-49eb-9dc9-5bf027086705,6b293359-1e63-495c-bc7a-356d68b018cd,survey_367,Namibia,New Natasha,Male,34.0,Secondary,Unemployed,completed,2026-05-14T10:43:15,field_tool,1,Good,1,Low,2
f43af731-386a-4f65-8ec2-54c7be7b1cd8,e7f03d1f-bc18-4aa6-b285-16acf9c277ea,survey_936,Namibia,Lake Taylormouth,Female,36.0,Secondary,Employed,completed,2026-05-14T10:42:20,field_tool,2,Bad,1,Medium,3
bf08512b-1116-4696-b6cd-ab4513602f26,49851bbb-17ed-41af-b8a1-f7068e45e039,survey_276,Namibia,Lisabury,Male,71.0,Secondary,Employed,completed,2026-05-14T10:41:35,field_tool,3,Very Good,4,High,3
adca16b4-3441-4b05-9cfd-7ed5fcb0ae74,e83e0fce-e65d-49ed-9055-73f658152a46,survey_246,Namibia,Lake Corey,Male,74.0,Secondary,Self-employed,completed,2026-05-14T10:43:10,field_tool,5,Neutral,5,High,3
ca590eae-51cd-4a4b-b42b-03d52c83c1cd,abddbc74-3797-4b60-a407-a55c0c83355a,survey_106,Namibia,West Nicole,Female,64.0,Tertiary,Unemployed,completed,2026-05-14T10:43:56,field_tool,2,Good,5,High,1
5f756741-cbd4-4ea9-922a-9c1983bac8c5,f3202dac-657b-466e-ab72-c78f4e7f014a,survey_946,Namibia,Wallerberg,Female,73.0,Tertiary,Self-employed,completed,2026-05-14T10:43:55,field_tool,1,Bad,1,Low,3
b36992c5-c0a1-4f5e-8ab1-3045a4ee58f3,5ab5a041-59a1-4cbd-8d04-b44415ea0ddc,survey_802,Namibia,East Tannerborough,Male,31.0,Secondary,Unemployed,completed,2026-05-14T10:45:42,field_tool,2,Bad,5,Low,5
1eb1eb81-0e4b-4f5b-b13d-bd3f3f8897ec,bc895304-ceae-4bcb-b5e1-737359f917b4,survey_573,Namibia,Barronmouth,Female,39.0,Primary,Self-employed,completed,2026-05-14T10:44:20,field_tool,3,Good,5,High,5
7dfdc344-98da-42b7-ae60-ad523920a312,0423f349-e895-43cb-bb89-8d6afbbe0805,survey_101,Namibia,Hunterport,Male,70.0,Tertiary,Self-employed,completed,2026-05-14T10:40:34,field_tool,5,Bad,1,Medium,2
4225fbf6-426c-4909-8bcf-7ccc154bb61a,6b01d6f2-fc78-494e-8313-97f1753c35cf,survey_258,Namibia,Williamsonbury,Female,31.0,Secondary,Unemployed,completed,2026-05-14T10:44:58,field_tool,2,Good,4,Low,2
16a1871b-5635-4f0b-8ece-b9fd5b07e1ee,6f746f9a-3732-4ad4-a4e1-2460c417ed91,survey_237,Namibia,New Kevin,Female,67.0,Secondary,Self-employed,completed,2026-05-14T10:44:47,field_tool,5,Very Good,1,High,1
03d0030b-bb92-48a4-9bc0-efe518e4415c,cf6244de-544c-4f2f-a9d8-f4d9961a97b8,survey_142,Namibia,Lopezberg,Female,50.0,Tertiary,Self-employed,completed,2026-05-14T10:40:09,field_tool,2,Bad,3,High,3
5b304cc4-62a1-4584-9519-913e41db722f,29d7dccf-5101-4c64-a4f8-90c034b84e6e,survey_503,Namibia,North Kevinville,Male,30.0,Secondary,Employed,completed,2026-05-14T10:40:43,field_tool,4,Very Good,3,Low,2
dc86c98b-38c2-44cb-843d-afde7fbfc24e,ee906493-4265-4bd4-9195-43ded4bde603,survey_627,Namibia,Riceland,Male,70.0,Tertiary,Employed,completed,2026-05-14T10:41:47,field_tool,3,Very Good,4,High,3
9da5fda0-a42f-497a-a67b-862f149306b9,ef08058a-d90a-463c-88ac-d319e23f2e89,survey_181,Namibia,East Charles,Male,66.0,Secondary,Self-employed,completed,2026-05-14T10:44:11,field_tool,2,Good,1,High,4
19efd574-f8f8-40bf-933d-363dcf7cf441,f3aa78ac-af78-4b76-b2eb-73f26e35abc9,survey_818,Namibia,Baileyborough,Female,23.0,Tertiary,Employed,completed,2026-05-14T10:42:28,field_tool,3,Very Good,3,High,5
5f561b92-5834-4705-bed8-d86a874706c9,c463c325-b123-4d42-ac73-f7f6b1fe892f,survey_187,Namibia,Lake Joshua,Male,60.0,Tertiary,Employed,completed,2026-05-14T10:41:23,field_tool,2,Neutral,3,Low,1
83cda742-dba1-4b2b-b3da-cbe00a6fba65,1c99d168-cdca-41cb-bf6f-74367cd68446,survey_911,Namibia,West Coryfurt,Male,36.0,Tertiary,Employed,completed,2026-05-14T10:41:18,field_tool,1,Very Good,3,Medium,5
15ca2e78-808f-4840-aa25-d65eec218828,eb155456-8e4d-4f7a-ab09-0876ce44ae41,survey_174,Namibia,Maryville,Female,59.0,Tertiary,Self-employed,completed,2026-05-14T10:39:46,field_tool,1,Very Good,5,Medium,1
0caa7fd5-2cb8-4e42-90a9-e0ead0ec61a8,efe7134b-01bb-4af0-a658-ec013ffef2a8,survey_997,Namibia,South Joshuaton,Female,75.0,Tertiary,Unemployed,completed,2026-05-14T10:41:59,field_tool,4,Bad,5,Medium,1
902aeb34-d43f-4949-84ce-8e0547e717ee,9d1220f1-fc3e-49d2-ba51-aee90681d078,survey_186,Namibia,Molinafurt,Male,74.0,Secondary,Self-employed,completed,2026-05-14T10:40:49,field_tool,3,Neutral,1,High,5
6ce51e6b-b14c-42ba-87f0-3fbd3c9f6b2d,e8b6c5c3-873e-4dd5-9c4d-35291d8953a4,survey_543,Namibia,South Christieview,Male,63.0,Secondary,Unemployed,completed,2026-05-14T10:41:48,field_tool,1,Neutral,1,Low,5
1a8adb6b-613a-485e-9aef-0a56e3a0857b,968afcbe-80f7-462a-aa37-8e3ed7bed6b8,survey_738,Namibia,North Kevinhaven,Female,62.0,Tertiary,Unemployed,completed,2026-05-14T10:40:58,field_tool,1,Bad,3,High,3
6877c317-c1c6-44e2-92c3-bf034f2bf83c,93936dba-e732-457a-9bc7-cef811e6fe56,survey_551,Namibia,East Aaronberg,Male,34.0,Secondary,Self-employed,completed,2026-05-14T10:41:52,field_tool,3,Good,2,High,2
