response_id,respondent_id,survey_id,country,region,gender,age,education_level,employment_status,completion_status,submission_timestamp,source_system,q1_democracy,q2_economy,q3_trust_govt,q4_corruption,q5_election_fairness
0552a651-4f3a-40f0-9c31-301b791b2b59,e7f26462-4dd3-4f0e-a669-a43e5c565ab8,survey_804,Nigeria,Lake Sarahside,Female,42.0,Tertiary,Unemployed,completed,2026-05-14T10:40:14,field_tool,4,Neutral,3,High,5
12522d70-b409-4697-89db-db7a0e5677b1,57a7e905-8de9-4d6c-8be4-d377f2ee2d3a,survey_738,Nigeria,Troybury,Female,64.0,Primary,Unemployed,completed,2026-05-14T10:41:58,field_tool,5,Bad,5,High,1
b73ba505-d844-46ac-b2bd-bb4c650da9f4,6edcddd6-b4d3-418d-bfcc-69b21fb6842a,survey_204,Nigeria,West Jeffrey,Male,,Tertiary,Unemployed,completed,2026-05-14T10:43:22,field_tool,5,Very Good,1,Low,5
b3520dd1-834b-444c-8eee-ca49ddf9c7c2,2c368013-a5c8-49a6-8758-eaf24413567e,survey_270,Nigeria,South Jesse,Male,48.0,Primary,Self-employed,completed,2026-05-14T10:41:35,field_tool,1,Very Good,2,High,2
a98a1940-4df1-473c-a258-b70a675e7cfe,b84699a9-0dc2-435c-a989-a9d8f5bc16ba,survey_996,Nigeria,Michealmouth,Female,19.0,Primary,Self-employed,completed,2026-05-14T10:42:06,field_tool,1,Bad,5,Medium,4
c301ace7-e85f-450f-80fe-85b7e05d2b91,9d73668b-203f-457d-ac2e-07df18d674cb,survey_111,Nigeria,Smithbury,Male,44.0,Tertiary,Self-employed,completed,2026-05-14T10:43:47,field_tool,4,Neutral,4,High,3
5f47dbb2-b8d8-498e-9183-a66c45a130b5,c18afe86-90cd-4383-a252-8cc27aeea465,survey_982,Nigeria,Port Matthewberg,Male,25.0,Primary,Employed,completed,2026-05-14T10:42:27,field_tool,4,Bad,3,High,4
f780b2ed-f8d9-4500-afd1-d186c35d9500,15403fc2-f19b-498d-b814-6cafc85f8a08,survey_108,Nigeria,Fieldsberg,Female,51.0,Tertiary,Self-employed,completed,2026-05-14T10:43:56,field_tool,1,Very Good,2,Medium,2
cbefec0d-a4ee-466c-b2f3-61093d54052f,fbabd141-7c2a-42c1-a7ad-86fc768a400f,survey_351,Nigeria,North Sharon,Female,54.0,Primary,Unemployed,completed,2026-05-14T10:45:06,field_tool,4,Very Good,1,High,4
ce9af2cf-f5cf-4e01-9b7b-5eaf9f697048,ae8ff518-c502-4819-ba20-0d1adac66257,survey_785,Nigeria,Estradaside,Male,60.0,Tertiary,Self-employed,completed,2026-05-14T10:45:19,field_tool,4,Neutral,2,Medium,3
db2414ec-184f-4436-be20-1eaa99a6c114,b9e861c2-7df7-4bee-91ea-e140e6a2e2cf,survey_242,Nigeria,New Kimberly,Male,26.0,Tertiary,Unemployed,completed,2026-05-14T10:44:04,field_tool,5,Bad,5,High,3
650d9a81-83c3-4052-963e-7149fd1f5608,635ac09f-c462-4c20-a78f-bec6f3b38baf,survey_578,Nigeria,Albertborough,Female,37.0,Tertiary,Employed,completed,2026-05-14T10:40:24,field_tool,5,Very Good,2,High,5
762cc28d-16ac-4605-ac49-48116fcb020e,357829c2-eec7-4ac4-abce-8c34be1b7751,survey_408,Nigeria,Monicahaven,Female,38.0,Secondary,Self-employed,completed,2026-05-14T10:41:42,field_tool,1,Very Good,5,High,1
26177b97-328f-4377-a586-567cab15ff48,51837cb0-2815-4325-abd7-0a716f564eb4,survey_582,Nigeria,New Nicholas,Female,42.0,Tertiary,Unemployed,completed,2026-05-14T10:40:41,field_tool,1,Very Good,4,High,5
