response_id,respondent_id,survey_id,country,region,gender,age,education_level,employment_status,completion_status,submission_timestamp,source_system,q1_democracy,q2_economy,q3_trust_govt,q4_corruption,q5_election_fairness
c577bdc6-5318-4d85-900f-e396bfb40256,99741d88-5a99-4392-ae4b-32724575d8e6,survey_821,Sierra Leone,West Danielland,Female,61.0,Secondary,Self-employed,completed,2026-05-14T10:42:59,field_tool,1,Very Good,2,High,2
c5282a5c-3493-4ab8-84bd-cc196a98a30f,d7a03351-1a08-4f08-beb7-e8f6160c0301,survey_733,Sierra Leone,Jennifermouth,Female,45.0,Tertiary,Self-employed,completed,2026-05-14T10:45:40,field_tool,4,Bad,5,Medium,1
9d33f22d-1ca0-43ca-8a24-049818a2a6f4,925968c4-be48-4d1f-ab1c-d40912ce74c2,survey_173,Sierra Leone,Matthewville,Female,51.0,Tertiary,Self-employed,completed,2026-05-14T10:42:00,field_tool,1,Neutral,4,Low,2
4ecb1bf8-5738-4a81-aa4e-c5492ebe0553,ee9c5a18-3f32-4734-ae0a-897361a6320a,survey_422,Sierra Leone,Lake Melissaborough,Female,46.0,Tertiary,Self-employed,completed,2026-05-14T10:43:57,field_tool,4,Very Good,2,Low,5
0ad2fc9a-f220-4453-be18-936413785db5,1d0aa390-cd5c-46a6-a918-66a9ece13c55,survey_889,Sierra Leone,East Melissa,Female,28.0,Secondary,Self-employed,completed,2026-05-14T10:43:08,field_tool,1,Very Good,4,Low,5
a55dfef8-06a6-44f5-abb4-1fbdf2d9d591,221a0339-e851-40e8-9ea3-0fd76ce66bf8,survey_620,Sierra Leone,Gordonbury,Female,33.0,Primary,Employed,completed,2026-05-14T10:39:52,field_tool,5,Neutral,1,Medium,4
d83e69cf-2433-4935-8fe7-e6bcb88eb9b6,4bada289-c21a-49dd-be30-ef5171eadc92,survey_970,Sierra Leone,Brandonview,Female,63.0,Tertiary,Self-employed,completed,2026-05-14T10:41:22,field_tool,2,Very Good,4,High,1
464a23a3-9276-415a-b462-8016901ab679,40f902e2-aa63-4c31-ac45-b64666b3dd61,survey_757,Sierra Leone,Jessicachester,Female,20.0,Tertiary,Self-employed,completed,2026-05-14T10:44:36,field_tool,2,Bad,2,High,5
eac7a6bc-1fde-4d69-86a9-9f7834d70cdb,a15e5c3b-462a-41cc-a972-7fe90318b3ab,survey_331,Sierra Leone,Rossview,Male,18.0,Primary,Self-employed,completed,2026-05-14T10:45:06,field_tool,4,Bad,4,High,4
6355b79c-e162-49cf-9114-237ea6cfdec9,93175f84-203f-4c48-8be7-aa435aee93b6,survey_122,Sierra Leone,Joneshaven,Male,39.0,Tertiary,Self-employed,completed,2026-05-14T10:44:38,field_tool,4,Neutral,2,High,5
06951ba7-54fb-4314-8aac-54520656274b,99e20fd0-1ff7-4d45-bfe8-284a3a275096,survey_445,Sierra Leone,Scottberg,Male,49.0,Primary,Employed,completed,2026-05-14T10:41:48,field_tool,4,Very Good,3,High,2
53a80457-5369-4d76-9d7d-107af72d9bb8,eac9da86-2a3d-4ff4-951d-682fd0cda4a3,survey_337,Sierra Leone,Aliciaton,Female,52.0,Secondary,Employed,completed,2026-05-14T10:43:49,field_tool,4,Very Good,4,Medium,2
