response_id,respondent_id,survey_id,country,region,gender,age,education_level,employment_status,completion_status,submission_timestamp,source_system,q1_democracy,q2_economy,q3_trust_govt,q4_corruption,q5_election_fairness
36bf070f-52ed-4491-b0c1-767cea763e9e,c78b906e-c235-4291-8258-9385fe924949,survey_305,South Africa,Darylland,Male,37.0,Primary,Employed,completed,2026-05-14T10:44:37,field_tool,4,Bad,1,Low,4
8efd2395-38fc-45a3-893a-5d0bce1de462,34325531-f6e1-4a69-9040-4aaef58ef49e,survey_530,South Africa,Port Jasminemouth,Female,74.0,Secondary,Unemployed,completed,2026-05-14T10:39:52,field_tool,4,Good,5,Medium,3
7a0e0872-57b2-4434-a7f3-7745c612fd4e,a117e1a6-17ba-4883-9ce6-dd4e4fba6d67,survey_737,South Africa,Williamberg,Male,39.0,Primary,Unemployed,completed,2026-05-14T10:40:55,field_tool,4,Very Good,2,High,4
3a77ecf7-736b-456d-92b2-24da357284a1,81210ec2-5028-48b1-a5a4-101a86eaba17,survey_799,South Africa,Stevenmouth,female,39.0,Tertiary,Self-employed,completed,2026-05-14T10:39:49,field_tool,3,Bad,1,High,5
f3a4a9aa-9def-45ab-bed5-0306fd7e106f,a300cd69-8e9d-4de8-9004-92bf2af427f0,survey_374,South Africa,South Jasmineville,Male,61.0,Primary,Unemployed,completed,2026-05-14T10:44:56,field_tool,2,Good,2,High,4
ff7b72df-877a-41b9-a91d-5f6a5bb424f2,6bc414ef-5e3f-472b-a3dc-555cc4407776,survey_568,South Africa,West Sarahberg,Male,47.0,Secondary,Employed,completed,2026-05-14T10:44:06,field_tool,3,Very Good,3,Medium,4
42332866-2947-42fc-8b96-0c09fa8a4b7e,a4efda39-ee9d-4a71-9c63-1733d7311191,survey_182,South Africa,Thomasmouth,Female,73.0,Tertiary,Unemployed,completed,2026-05-14T10:45:13,field_tool,2,Bad,3,High,3
16516edc-8a15-47b8-8dd9-d30cd15d8055,c042dbe5-b2a7-431b-93f0-22598497f15d,survey_823,South Africa,Lake Robert,Female,23.0,Tertiary,Employed,completed,2026-05-14T10:42:59,field_tool,1,Neutral,4,Low,3
2e7272ad-0e81-471c-9362-b8c03370f244,c63828e2-1591-4f25-ac2e-d5ea68983515,survey_385,South Africa,North Christinamouth,Male,33.0,Secondary,Self-employed,completed,2026-05-14T10:41:04,field_tool,3,Neutral,3,High,5
03701515-7a33-4ac1-92b4-f9bf664b2948,db48752d-5e7d-4459-aba3-370e46688ea6,survey_365,South Africa,Peggyberg,Male,53.0,Secondary,Self-employed,completed,2026-05-14T10:40:33,field_tool,4,Bad,2,Medium,1
64edf674-14a3-416e-9285-0bf9ff4b3e95,dc4681e3-d929-4f50-a334-7179e976d2bd,survey_879,South Africa,North Michele,Female,61.0,Primary,Self-employed,completed,2026-05-14T10:42:54,field_tool,1,Very Good,4,Low,2
79bbf588-a402-45a5-b3a0-74938bde808b,1b4f0c85-311f-4043-ae91-56ef67bb954b,survey_367,South Africa,Donnatown,Female,67.0,Tertiary,Employed,completed,2026-05-14T10:42:02,field_tool,5,Good,1,Medium,4
52cd0d1b-2f9d-414f-9ddb-150614bce045,80978e36-6fb4-4dbf-ae97-d70c52db02fb,survey_752,South Africa,Rebekahfort,Female,64.0,Primary,Employed,completed,2026-05-14T10:43:38,field_tool,2,Neutral,4,Low,1
376bf0b8-28b6-41d1-a7b6-60ab4cd83f6e,295bb56a-6fe3-4b0d-9505-07d453439f60,survey_142,South Africa,Oliverport,Male,37.0,Primary,Self-employed,completed,2026-05-14T10:41:14,field_tool,4,Neutral,5,High,4
bea82a31-6a9f-4127-b903-a75b88d026d9,fbdfe794-a53b-481d-a976-3cb2b97d1311,survey_813,South Africa,South Daniel,Male,61.0,Primary,Self-employed,completed,2026-05-14T10:43:01,field_tool,3,Neutral,5,Low,1
85dfbdcf-5553-488d-879b-8073c9810d4d,7b678bad-f581-49a5-97d8-faf2cd3ed87c,survey_698,South Africa,Langmouth,Male,57.0,Secondary,Unemployed,completed,2026-05-14T10:42:37,field_tool,1,Bad,5,High,3
ee5efc90-cf4c-4f0d-967e-665d035b8b22,d034167e-3f6b-47e0-84ae-bc61a08e47b7,survey_232,South Africa,North Brianville,Male,71.0,Tertiary,Unemployed,completed,2026-05-14T10:41:09,field_tool,1,Neutral,4,Low,1
