response_id,respondent_id,survey_id,country,region,gender,age,education_level,employment_status,completion_status,submission_timestamp,source_system,q1_democracy,q2_economy,q3_trust_govt,q4_corruption,q5_election_fairness
4625c393-75b0-49b1-859c-335f2cbd9e67,44a8cd42-8e69-498d-ac53-09ce2cdae505,survey_175,Sudan,Gravesfurt,Male,75.0,Primary,Self-employed,completed,2026-05-14T10:45:08,field_tool,3,Neutral,3,Medium,2
7fdda9c8-79e5-43a7-a699-75fb01d967cc,09c3d394-12da-4c92-9a8c-fe7c7dc683d4,survey_964,Sudan,South Christinastad,Male,23.0,Primary,Unemployed,completed,2026-05-14T10:40:24,field_tool,3,Very Good,5,Low,1
a4b7639d-9c1c-4a0f-bdc5-ec62a1cbc2a1,c40012c9-2d9a-436c-937d-0f43e4e6e86d,survey_486,Sudan,New Brianbury,Female,67.0,Tertiary,Employed,completed,2026-05-14T10:44:42,field_tool,3,Bad,5,High,2
75874471-aafc-43ba-a6c3-5e4cc96c5da0,95322664-6f92-4f36-9761-1f80c9e28644,survey_995,Sudan,Lake Tracy,Female,35.0,Primary,Unemployed,completed,2026-05-14T10:40:45,field_tool,3,Good,1,Medium,5
acdb772b-9a08-468c-b22d-a3ce244b6def,3273d7ee-941e-4283-af8b-baf072240e24,survey_247,Sudan,Jayfort,Female,37.0,Tertiary,Unemployed,completed,2026-05-14T10:42:53,field_tool,4,Bad,1,High,3
8659f926-7bd3-4026-8336-55526bc9d5c5,082b91a0-fad1-4e28-b981-1601247bac8b,survey_433,Sudan,Lake Sandra,Male,75.0,Tertiary,Self-employed,completed,2026-05-14T10:45:27,field_tool,4,Bad,5,High,2
8368f5b2-b2bf-4b7e-b9df-2cebd85eb862,b2287916-6a9e-46bd-bf2d-14a5274da2f3,survey_189,Sudan,East Reginaview,Male,31.0,Primary,Unemployed,completed,2026-05-14T10:44:02,field_tool,5,Neutral,5,High,5
570af7a0-b144-4bb2-aef5-c4e0c11e04fd,680d6fb8-61b3-40fd-9b11-d66f6e47857e,survey_734,Sudan,Lake Michael,Male,66.0,Primary,Unemployed,completed,2026-05-14T10:43:59,field_tool,3,Good,3,Medium,3
237166d9-b909-455e-a30e-b40d5467a840,c67d23f6-4fbe-41fc-817f-47b23211a013,survey_731,Sudan,Thomasburgh,Female,53.0,Tertiary,Unemployed,completed,2026-05-14T10:45:29,field_tool,1,Neutral,3,High,4
cc0b4e28-21e4-4829-88f2-ebccb71cf8cd,8744d6cb-656a-4bd0-961f-46e1bfe0941c,survey_895,Sudan,West Samantha,Male,67.0,Primary,Unemployed,completed,2026-05-14T10:40:35,field_tool,5,Very Good,5,High,1
899f8083-1184-44e6-8d0b-c400b8e52a69,3fd03c9b-544f-458d-b0dc-52c0957fbd2d,survey_231,Sudan,East Angela,Male,51.0,Secondary,Self-employed,completed,2026-05-14T10:42:07,field_tool,4,Very Good,1,Low,2
fcfec266-df7c-4939-90a3-e2ae8b7b0b56,38a7b341-f21a-46a3-95e7-045308674db1,survey_865,Sudan,Douglasbury,Female,27.0,Tertiary,Unemployed,completed,2026-05-14T10:42:51,field_tool,2,Neutral,3,Low,1
faac367b-1799-4d84-9e17-1db66cfa16ea,3acece02-35c4-4ce0-8786-04ddd21ea526,survey_163,Sudan,South Mark,Female,51.0,Primary,Employed,completed,2026-05-14T10:43:13,field_tool,3,Neutral,1,Medium,3
73075a81-ac6b-45cf-a6cf-69ddbeb8b6ca,df3900c9-8a63-447c-96fd-8ca046752585,survey_713,Sudan,South Tammyborough,Male,69.0,Primary,Employed,completed,2026-05-14T10:39:47,field_tool,3,Very Good,5,Medium,2
1f00d12c-010a-47ea-b811-96ac29778164,73aea993-2a4c-4024-9832-56fcecbd94af,survey_432,Sudan,South Williamfurt,Male,49.0,Tertiary,Unemployed,completed,2026-05-14T10:44:17,field_tool,3,Neutral,4,Low,1
13bb59a1-03d7-4a62-9e79-791167c31e59,c70c96c0-0b0e-46cf-94ce-824798ae93ba,survey_666,Sudan,New Kristinaburgh,Female,59.0,Tertiary,Employed,completed,2026-05-14T10:44:53,field_tool,4,Neutral,1,High,3
3f35334e-a3ce-425b-a310-f68563e9161b,c863b30e-41db-47e7-ae07-1a36c26c49b4,survey_418,Sudan,New Barbara,Female,57.0,Primary,Unemployed,completed,2026-05-14T10:40:09,field_tool,2,Good,3,Medium,2
c5cba394-7586-4233-8819-ad1dacab23c8,611d5114-cdd2-4a3a-9cf4-98b5e1c9d8ab,survey_707,Sudan,Lake Laurie,Female,40.0,Primary,Employed,completed,2026-05-14T10:44:37,field_tool,3,Very Good,2,High,5
a3f76f55-9517-4623-939c-bf24019f7cd6,73d7ec71-7d3b-4abc-ab68-35ebd45274f4,survey_384,Sudan,New Michelle,Male,45.0,Primary,Employed,completed,2026-05-14T10:45:17,field_tool,3,Neutral,4,Low,3
