response_id,respondent_id,survey_id,country,region,gender,age,education_level,employment_status,completion_status,submission_timestamp,source_system,q1_democracy,q2_economy,q3_trust_govt,q4_corruption,q5_election_fairness
20ab8bb1-e302-46b7-ac73-0ce7d7e835c6,7ec5747b-2916-406f-8b99-121d46c50a9b,survey_123,Tanzania,Vazquezside,Male,57.0,Secondary,Employed,completed,2026-05-14T10:40:46,field_tool,5,Very Good,1,High,1
e5f63b64-4fe7-4644-8784-3e89e5221137,124d456f-0e85-4962-86ef-1b22e011df11,survey_311,Tanzania,Christineberg,Female,25.0,Secondary,Employed,completed,2026-05-14T10:39:47,field_tool,4,Bad,4,High,2
0ecd324d-b955-4ce3-b9f5-2a5ae787805d,a0b41eaf-5754-43f3-ae7a-5c7625ba8d11,survey_255,Tanzania,South Allisonmouth,Female,24.0,Tertiary,Self-employed,completed,2026-05-14T10:43:13,field_tool,3,Very Good,3,High,2
a8d03a3c-001b-4799-ab4d-68f96c2048c6,cbdb0c12-cb58-411b-9ab6-3bd65b5ec11c,survey_962,Tanzania,Chrisfurt,Female,30.0,Primary,Unemployed,completed,2026-05-14T10:45:32,field_tool,5,Good,3,Low,2
04c02bab-7816-49dd-82db-dcf2a939b651,a964a3e6-40a5-41e0-88a1-e100320fd40d,survey_189,Tanzania,West Mark,Male,69.0,Secondary,Unemployed,completed,2026-05-14T10:41:24,field_tool,2,Good,1,High,2
0ea9b331-a72f-4ce2-9d7a-470ec2a60dba,486b4396-e2cb-4eec-adfa-297b951ff4f3,survey_465,Tanzania,South Karenmouth,Female,64.0,Tertiary,Unemployed,completed,2026-05-14T10:41:17,field_tool,5,Bad,3,High,5
d4197c7d-469a-4158-8e86-6af36b87e015,355184a1-7eb9-47bf-8753-71ace86fb9f2,survey_949,Tanzania,North Sarahview,Male,49.0,Secondary,Unemployed,completed,2026-05-14T10:43:01,field_tool,5,Bad,1,Low,4
1f41f471-89e1-4164-9ecc-ca58b26101c9,249ba4d7-1123-408f-a98b-b2a98d688b75,survey_668,Tanzania,Danaborough,Female,37.0,Primary,Employed,completed,2026-05-14T10:45:24,field_tool,5,Neutral,5,Low,2
64f645e2-716f-44fc-a8a6-a56f1e43debb,969d436f-04b0-45fd-a63a-4554beaa92f8,survey_502,Tanzania,North Jacqueline,Male,28.0,Primary,Employed,completed,2026-05-14T10:45:21,field_tool,2,Very Good,3,Medium,3
8fc39da5-5052-4b66-ab1b-e037a7bb7edd,b73a8ea9-8a30-432d-b773-b95d77503ccd,survey_585,Tanzania,East Donnaberg,female,37.0,Primary,Self-employed,completed,2026-05-14T10:43:59,field_tool,3,Very Good,3,Low,3
ba800000-87ab-4b96-8f17-b532aaacd173,20093ca3-90a4-4bc6-a626-06ec8264b4f1,survey_246,Tanzania,New Ethan,Male,28.0,Tertiary,Unemployed,completed,2026-05-14T10:45:26,field_tool,1,Neutral,3,High,2
ce040eb2-aab1-45c3-aa99-9c43627f6d43,3fad3a60-0a93-4db4-b0d5-14bf094dc4f4,survey_306,Tanzania,New Christopherburgh,Male,49.0,Primary,Employed,completed,2026-05-14T10:43:22,field_tool,5,Neutral,4,Low,4
312a065c-0d99-4c7e-a762-62c28039e78e,5d5ce062-e506-4508-a66a-ba58fc099199,survey_812,Tanzania,Davidport,Female,66.0,Tertiary,Self-employed,completed,2026-05-14T10:43:00,field_tool,2,Very Good,1,Low,3
bdfd2d63-1914-4f9b-b9a9-a8f29105f59f,f673bdaf-e30a-4016-94ad-888c7ee205c9,survey_834,Tanzania,Garciaview,Male,72.0,Primary,Employed,completed,2026-05-14T10:43:50,field_tool,3,Neutral,3,Low,1
45b9b57c-c71b-4689-8fb8-c579f52e0a59,56f4e313-9e30-48d6-8bf3-9fc825ed3e6d,survey_167,Tanzania,New Joel,Female,36.0,Primary,Self-employed,completed,2026-05-14T10:45:14,field_tool,3,Neutral,1,High,3
95aa2bff-6f35-44ed-a6cd-22e8badb34b1,2c5ea912-4180-4304-b089-8499d0a8b259,survey_718,Tanzania,Villanuevaport,Male,65.0,Tertiary,Self-employed,completed,2026-05-14T10:40:13,field_tool,5,Very Good,5,Low,5
3a0a46f7-bb7a-483d-be92-b854cf161532,c6eb8844-8575-4821-80c9-f6d309d6402e,survey_387,Tanzania,Cohenland,Female,43.0,Tertiary,Employed,completed,2026-05-14T10:43:33,field_tool,3,Very Good,5,High,4
d6e53436-e18c-485e-80e6-01bd8dafc6b9,00e46408-ebe2-4368-af78-8c404cea83e3,survey_105,Tanzania,Diazmouth,Male,27.0,Tertiary,Self-employed,completed,2026-05-14T10:42:57,field_tool,4,Good,5,High,4
dd6a6386-6a58-4d3a-8be9-a38c6d8dbbaa,e7e71496-3fb2-4eb4-82b8-ec19b8303a1c,survey_182,Tanzania,Gonzalezhaven,Male,40.0,Secondary,Employed,completed,2026-05-14T10:45:27,field_tool,1,Bad,2,Low,1
e5f4117f-26a1-4d82-be3d-0b161174d3e5,317171aa-df29-40a4-b97a-590202c9427a,survey_459,Tanzania,North Robertland,Female,73.0,Secondary,Self-employed,completed,2026-05-14T10:41:37,field_tool,4,Good,1,Medium,2
92fb9478-09b5-46e2-a20c-9e162012863e,a0146cdf-f264-4e7e-b117-2f0cb2588160,survey_840,Tanzania,New Cathychester,female,53.0,Primary,Self-employed,completed,2026-05-14T10:43:05,field_tool,1,Good,4,Medium,5
f60a434e-28aa-4d26-983f-00aaa6b262f2,97693e17-e96c-4543-aa14-fc4329f0684b,survey_528,Tanzania,South Jesseport,Female,73.0,Primary,Unemployed,completed,2026-05-14T10:43:51,field_tool,2,Good,4,Medium,4
a0d93930-faaf-4489-aca2-4031d7fc640a,a9f1c264-1e5a-484e-817b-df8fb3663f69,survey_229,Tanzania,South Jesus,Female,53.0,Secondary,Employed,completed,2026-05-14T10:42:44,field_tool,2,Good,5,Low,4
0d66552c-8c39-4150-a35a-d0023fdddab4,df45b6a0-aab1-489e-beb1-f91e281986b1,survey_358,Tanzania,Caseyview,Female,71.0,Tertiary,Unemployed,completed,2026-05-14T10:41:19,field_tool,1,Bad,1,Low,1
494e590f-7212-4d92-b46b-04bf6f0333fc,c6a19501-4632-4f7e-af6f-6b2fcc7ed896,survey_269,Tanzania,New Brian,Male,69.0,Primary,Unemployed,completed,2026-05-14T10:43:30,field_tool,3,Bad,2,Low,2
e0b857c4-843c-42cb-98be-b7511c23d36f,21271ece-3984-4071-ae21-de1810e59c5d,survey_561,Tanzania,Morganbury,Male,32.0,Tertiary,Employed,completed,2026-05-14T10:41:42,field_tool,4,Neutral,3,High,2
a8fe9d99-a26d-4246-93dc-be9c8a4f813a,ad950eef-35cc-4a14-bc0d-f8ac56eb1ee2,survey_115,Tanzania,Davenportton,Male,,Tertiary,Self-employed,completed,2026-05-14T10:42:56,field_tool,5,Very Good,3,Medium,4
dadfb089-f704-4ed2-bd78-e8227ef696d5,00bbe594-ded6-407d-9e89-c58bc2ca1c11,survey_414,Tanzania,Susanview,Male,31.0,Secondary,Self-employed,completed,2026-05-14T10:40:09,field_tool,1,Neutral,3,Medium,2
7d32e933-b23b-44ea-b369-d12f9cd52788,4e1dd0e3-4ec0-4907-8531-08ca61048b32,survey_534,Tanzania,West Christopher,Male,33.0,Secondary,Self-employed,completed,2026-05-14T10:44:30,field_tool,1,Very Good,1,Medium,5
b9d9a0da-2100-4bdd-9b01-b6cc586a4603,3e70892a-8dda-4399-afed-8e616a99a343,survey_351,Tanzania,Andreastad,Female,54.0,Primary,Self-employed,completed,2026-05-14T10:40:36,field_tool,2,Bad,4,High,2
ca5468f5-9a8c-438b-9fa4-8320e8af16d9,9cd548cf-9ab6-4863-a43e-10a8285c13ee,survey_721,Tanzania,South Michaelton,Male,53.0,Tertiary,Employed,completed,2026-05-14T10:40:30,field_tool,2,Neutral,3,Medium,5
044f8e7a-a93d-446e-9469-0dbb1b08805a,9b18a017-a319-49cd-9320-6f8a55a1cfba,survey_199,Tanzania,Angelaburgh,Female,54.0,Primary,Self-employed,completed,2026-05-14T10:45:06,field_tool,4,Bad,1,High,2
b066b14c-8b01-4670-b95f-c97cd9ba0684,6f7e9c9a-6f37-4c9e-8618-2c978d6f1d0e,survey_830,Tanzania,New Matthewfurt,Male,42.0,Primary,Employed,completed,2026-05-14T10:41:13,field_tool,2,Very Good,4,Low,4
b1e95cea-0ba1-4a92-b460-a1c9f6acdf8a,8420f41f-eea2-41c9-91af-33265a0cef0c,survey_718,Tanzania,Lake Keith,Female,34.0,Secondary,Employed,completed,2026-05-14T10:44:37,field_tool,3,Good,2,Low,2
4a6bfea8-17e4-4743-b51f-83a84d55136b,5d614877-ad18-4414-9e17-57fec4d45cbd,survey_135,Tanzania,Barneschester,Male,31.0,Tertiary,Employed,completed,2026-05-14T10:41:35,field_tool,3,Good,4,Medium,2
bc147b18-9a8f-4bba-a21f-1b3b19024db6,3b482467-4812-4b09-ac59-ef077b15219d,survey_116,Tanzania,Lake Manuelhaven,Female,33.0,Primary,Unemployed,completed,2026-05-14T10:40:02,field_tool,1,Good,3,Low,5
e8798818-6f91-400f-acae-f149c25508f6,72672b77-3115-4761-a7dc-71a6a4e94aa6,survey_748,Tanzania,Grahamtown,Male,,Secondary,Unemployed,completed,2026-05-14T10:43:52,field_tool,2,Neutral,4,Medium,1
45b6d9f9-4705-4f77-bb79-157e7e28dbc2,4e038cfd-ad92-4956-bbd7-35d182f0c483,survey_858,Tanzania,West Angela,Female,38.0,Primary,Unemployed,completed,2026-05-14T10:44:12,field_tool,5,Very Good,2,High,1
aa4be522-f768-495e-8e59-5964e3fba4eb,fd71adb8-ff27-4545-b5ba-e312bf4ea064,survey_772,Tanzania,Juliehaven,Female,68.0,Primary,Self-employed,completed,2026-05-14T10:41:35,field_tool,5,Bad,2,High,3
dc6e5d09-d1a0-4b8a-bcbb-de9f739ee9d7,1b1813b9-7142-4d82-b92c-294100331667,survey_467,Tanzania,West Kristin,Female,20.0,Tertiary,Self-employed,completed,2026-05-14T10:44:31,field_tool,4,Bad,3,Low,3
9ad3d534-0f1e-4dd9-91ea-77dd180bb1f7,b144354e-494b-4667-be14-5d3bc198a01c,survey_688,Tanzania,Maryport,Male,53.0,Tertiary,Self-employed,completed,2026-05-14T10:41:47,field_tool,4,Neutral,2,Low,4
73e6ea25-136a-4139-b412-7952cf16b0b7,ec38a706-c65e-4838-92b4-becafc1b1468,survey_758,Tanzania,South Kayla,Male,48.0,Tertiary,Self-employed,completed,2026-05-14T10:42:07,field_tool,1,Very Good,2,Medium,1
17dcea62-7920-44c4-9512-8c561afd1a5d,f622af73-edea-4ab9-af8f-97cefd496954,survey_840,Tanzania,East Elizabethside,Female,51.0,Secondary,Employed,completed,2026-05-14T10:40:52,field_tool,3,Very Good,3,Low,4
6dda95b6-8b18-4cd1-aa04-28d2adef4974,a058e6c0-dd7e-4163-9484-f880831bbc4e,survey_352,Tanzania,New Gailport,Female,64.0,Primary,Unemployed,completed,2026-05-14T10:41:46,field_tool,3,Good,5,Low,1
205ec43e-e7ab-44e7-9785-1bb50ecea27d,3e3448d6-89d3-4405-93f3-cf00dc74a207,survey_259,Tanzania,Lake Gail,Female,23.0,Primary,Self-employed,completed,2026-05-14T10:40:31,field_tool,4,Bad,4,Low,3
34ff936c-0405-4a87-b01d-dd78c9f6ea54,30de1bb2-b410-4833-aefa-3e5cc512aec3,survey_610,Tanzania,North Sandra,Male,52.0,Tertiary,Employed,completed,2026-05-14T10:45:18,field_tool,4,Good,5,Medium,4
1f9ab4fa-f235-4aa0-9f5a-56d98febfb8f,ed808fdb-f1e9-4232-936e-362117c484f0,survey_185,Tanzania,Port Andrewmouth,Male,53.0,Tertiary,Self-employed,completed,2026-05-14T10:42:50,field_tool,2,Bad,5,Medium,5
fe576c34-2761-47b2-8f38-d1955cb0c5e5,7b55180e-eaf8-4288-b1bd-67152fc6aa86,survey_223,Tanzania,Hooperhaven,Female,36.0,Secondary,Unemployed,completed,2026-05-14T10:44:21,field_tool,2,Bad,2,Medium,4
e5ec4b06-2ab8-4bcf-9844-60fa75f73490,81698cd4-7ab7-49fe-b804-a887484806b8,survey_819,Tanzania,Lake Meghanmouth,Male,71.0,Secondary,Employed,completed,2026-05-14T10:44:14,field_tool,5,Neutral,5,High,2
4a5f91fb-b098-45b8-a466-adfe492a91fb,8e1d71bc-6623-465c-a173-0b33973985f1,survey_986,Tanzania,Catherineberg,Male,69.0,Tertiary,Employed,completed,2026-05-14T10:40:32,field_tool,2,Good,1,Low,2
3169098c-ea5d-40b1-85fe-fec90ab5b237,a001d982-fee2-49f9-b2dd-62ab7c0f803f,survey_642,Tanzania,South Jasmine,Male,55.0,Tertiary,Self-employed,completed,2026-05-14T10:40:03,field_tool,3,Good,3,Medium,5
90cc67e4-3ab5-49ab-a105-bb6ab26228d7,35fb7d40-1940-49b2-a832-c0d683076310,survey_301,Tanzania,Chelseaburgh,Female,32.0,Tertiary,Employed,completed,2026-05-14T10:44:34,field_tool,1,Bad,5,Medium,3
ae6edd5e-e94c-4393-b686-c0486b25bec2,be1d2ad6-bba8-48e6-963a-4577cdbd7953,survey_690,Tanzania,Lake Katie,Female,57.0,Tertiary,Employed,completed,2026-05-14T10:40:47,field_tool,2,Neutral,2,Medium,1
fff96c12-47c2-4877-853b-81670eef26f1,db2b0f9f-75ad-4301-822d-e1a9d94d6a78,survey_511,Tanzania,Rickymouth,Male,52.0,Primary,Self-employed,completed,2026-05-14T10:42:59,field_tool,2,Very Good,4,High,2
0341c113-b568-4048-88d0-c0778f48e14a,7132d8fb-efb4-4fcd-9a03-3058b53ecd26,survey_121,Tanzania,New Yvonneborough,Male,73.0,Tertiary,Employed,completed,2026-05-14T10:41:11,field_tool,4,Good,5,Low,4
c3b2ab72-fe0d-4355-ba31-5ab606f5940c,8ec82039-8c20-4731-b58e-9ae67ed9616a,survey_602,Tanzania,Lake Thomas,Female,44.0,Secondary,Unemployed,completed,2026-05-14T10:44:33,field_tool,3,Good,4,High,3
755d6321-376b-4340-bf35-862f0edd85a6,ce30c11c-bc69-4a93-a9f4-88c478a7ddfd,survey_118,Tanzania,Christophershire,Male,50.0,Tertiary,Employed,completed,2026-05-14T10:45:18,field_tool,5,Bad,3,High,4
f8fcfc8c-f2ce-4050-86ef-f32f7df1c4ea,d3759b94-3ac9-46b7-b060-868da9c2e627,survey_878,Tanzania,Lake Maryfort,Female,59.0,Secondary,Unemployed,completed,2026-05-14T10:43:58,field_tool,1,Very Good,2,Low,1
ed2f0963-54ca-4b0a-9e61-ae17cb06d649,5377f90a-71ef-470a-a040-688c01e73b60,survey_688,Tanzania,Rodriguezshire,Male,27.0,Secondary,Self-employed,completed,2026-05-14T10:45:31,field_tool,3,Good,5,High,4
f5f9718d-5958-44c4-8da3-5264ac576607,828bb3e9-acca-45e7-88b0-69250953024f,survey_590,Tanzania,Amystad,Female,18.0,Tertiary,Unemployed,completed,2026-05-14T10:45:24,field_tool,5,Neutral,1,Low,2
07ee85eb-a99d-4b0c-afa6-f1bb2257c9e1,285c7cca-11e5-4444-9d11-46ee2233eb5a,survey_578,Tanzania,Joshuastad,Male,31.0,Primary,Employed,completed,2026-05-14T10:42:01,field_tool,1,Very Good,3,Medium,2
673cd3e1-140d-4e5d-9a07-397f374500ff,28f65071-6fc4-49a4-8f2f-56a7069ac23a,survey_828,Tanzania,Lake Vanessafort,Female,30.0,Secondary,Unemployed,completed,2026-05-14T10:42:07,field_tool,5,Neutral,2,High,3
64021eaf-97ab-4d2b-98ce-c225d4f579e0,f5e5426d-8651-46e9-88aa-0ba5c26d48cf,survey_232,Tanzania,New Andrewfurt,Female,37.0,Primary,Employed,completed,2026-05-14T10:39:59,field_tool,1,Good,4,Medium,3
1280f41d-b633-4c72-9e3f-953a4cf88a93,c5b970b4-658f-4518-a40a-a1157d8d1f77,survey_762,Tanzania,Lake Keithstad,Male,46.0,Tertiary,Employed,completed,2026-05-14T10:43:19,field_tool,3,Bad,1,Low,5
7133b373-b0db-4c11-81a7-c67e8840d408,6311a36b-1cb4-4be4-8ff9-66705b3594da,survey_574,Tanzania,New Rebecca,Female,60.0,Primary,Self-employed,completed,2026-05-14T10:45:27,field_tool,1,Good,1,High,5
908dda76-ad97-4938-8710-0a18e8a2cbba,78cba8d3-bc55-4ba0-98c8-f7e4b81e494d,survey_596,Tanzania,North Cheryl,Male,67.0,Primary,Self-employed,completed,2026-05-14T10:43:15,field_tool,3,Bad,4,Low,5
5c13949a-392d-4287-a8e1-49c3393f192d,e36eeb89-c8cf-4943-a44b-b25ec2e0b136,survey_433,Tanzania,Stevetown,Male,59.0,Tertiary,Unemployed,completed,2026-05-14T10:44:27,field_tool,4,Neutral,5,Low,2
c010d18c-39ec-4b46-9275-b4ab9f6f5238,faf98769-af11-46c2-857c-41461a5e230b,survey_216,Tanzania,Benjaminberg,Female,55.0,Primary,Self-employed,completed,2026-05-14T10:45:26,field_tool,3,Good,4,Low,2
94d55e82-54b1-457a-a7ff-19b155dc2fc5,b69346e1-7248-4846-b973-6b8b37c9181d,survey_551,Tanzania,New Michael,Male,54.0,Primary,Unemployed,completed,2026-05-14T10:41:10,field_tool,2,Very Good,3,Low,4
5775e197-d0a7-4a0b-b493-14fe3ddab9b9,cdf5e7e2-60a7-4f61-9dea-98abc80d0b97,survey_509,Tanzania,Lake Michael,Female,64.0,Primary,Unemployed,completed,2026-05-14T10:41:26,field_tool,1,Neutral,4,Low,1
bf1651e8-ca9a-4cff-bf70-2bffb30f82d8,d6bae8ac-6f31-406d-9839-270f292df850,survey_288,Tanzania,Amyshire,Male,31.0,Primary,Unemployed,completed,2026-05-14T10:44:40,field_tool,4,Bad,5,High,3
d074738a-d336-4e5d-af34-8193c9c90c29,ad4e2754-c6cd-431f-89ab-9df6369a68c5,survey_534,Tanzania,South Sheriton,Male,73.0,Secondary,Employed,completed,2026-05-14T10:44:48,field_tool,4,Neutral,4,Low,5
f11c0aef-b7d2-4725-a972-53cc1a960f7a,9fca81df-b567-4534-932d-71dd0105bf6b,survey_960,Tanzania,East Mariachester,Male,56.0,Primary,Self-employed,completed,2026-05-14T10:44:22,field_tool,3,Neutral,1,High,3
1758fb2e-b289-483c-8cc7-1f2038e4172a,0d255380-02d5-43de-9f63-d543ad7ba76a,survey_698,Tanzania,South Cindy,Male,69.0,Primary,Self-employed,completed,2026-05-14T10:40:31,field_tool,1,Very Good,2,High,3
1aa15b44-39c9-4244-bc21-013b56bd7623,d169ea9e-4638-4106-9720-f97a5d327f6c,survey_960,Tanzania,Port Roy,Female,50.0,Secondary,Unemployed,completed,2026-05-14T10:41:05,field_tool,2,Bad,3,Low,4
2188c1f5-393d-4697-8a27-f9f8407e2cdd,a072fa99-6549-4745-bdbc-9a506f7a6ad3,survey_264,Tanzania,West Christopherland,Male,63.0,Primary,Unemployed,completed,2026-05-14T10:44:44,field_tool,1,Bad,3,Medium,3
