response_id,respondent_id,survey_id,country,region,gender,age,education_level,employment_status,completion_status,submission_timestamp,source_system,q1_democracy,q2_economy,q3_trust_govt,q4_corruption,q5_election_fairness
acb817dc-ca0a-41c4-abe1-b4258f1abe37,f21b367b-b432-4043-99f4-e435d32f16b2,survey_386,Togo,Stephanieborough,Female,55.0,Tertiary,Employed,completed,2026-05-14T10:41:31,field_tool,2,Good,4,High,4
47034ebc-2680-4842-965b-c19ae266c6c5,6f60456e-e126-4792-912b-ad2c38b96115,survey_994,Togo,Richardsonbury,Male,48.0,Primary,Employed,completed,2026-05-14T10:44:31,field_tool,3,Very Good,2,High,1
c6007c20-a984-4c39-a0ce-1dc0adac3970,048e0e21-a90f-4105-ac97-3ce3d6555c17,survey_939,Togo,Ericton,Female,48.0,Tertiary,Self-employed,completed,2026-05-14T10:39:49,field_tool,4,Bad,1,Low,3
c579c0a8-f021-4bd2-b775-19f073444cd4,8aaddfc5-0b2a-4d9b-ab13-45a2e8edb18c,survey_893,Togo,Fordport,Female,39.0,Tertiary,Self-employed,completed,2026-05-14T10:41:46,field_tool,2,Very Good,1,Low,5
1c674c98-fbd6-4fe2-994a-0f834909cb43,fa4af7eb-9f35-4139-a9ed-ea86e4ced1ae,survey_129,Togo,Jessicahaven,Female,68.0,Primary,Self-employed,completed,2026-05-14T10:44:16,field_tool,4,Very Good,3,High,3
d39a18f9-f82c-462e-8d7e-78bc31139a85,e66fc62e-9174-4daf-903c-f7ed2f7cbfb8,survey_437,Togo,Davidshire,Female,32.0,Secondary,Unemployed,completed,2026-05-14T10:40:39,field_tool,4,Neutral,4,Low,1
204a3144-1616-4d41-b8d5-43d6b3401034,675524d1-03e5-45ef-93c9-6886af60bc1c,survey_641,Togo,North Bobmouth,Male,18.0,Tertiary,Unemployed,completed,2026-05-14T10:44:38,field_tool,3,Good,1,High,2
9821f120-602d-42ae-858c-5c13d840bdfe,d2f8a0dd-0c08-4b32-bf11-c213d2fa35c1,survey_948,Togo,Hicksbury,Female,48.0,Tertiary,Unemployed,completed,2026-05-14T10:45:41,field_tool,5,Very Good,2,Medium,3
203dac30-ee2f-4fea-912b-56b41810f373,2cc3e433-67e2-48e8-9bca-d0f306e2a663,survey_112,Togo,Juliafort,Female,71.0,Primary,Unemployed,completed,2026-05-14T10:42:05,field_tool,4,Good,5,Low,5
e8c19acd-29e3-4250-9f50-c75295e1143f,36ad94c9-b986-4d00-8948-3c2a4dbdea6c,survey_361,Togo,Port Jessicastad,Female,72.0,Tertiary,Unemployed,completed,2026-05-14T10:45:37,field_tool,5,Very Good,3,High,2
e6af3d4c-fa6e-498d-8315-f05fa2caf359,c8e90052-87f4-414f-9bf2-5f8bd5226ed1,survey_133,Togo,Donnamouth,Male,58.0,Tertiary,Employed,completed,2026-05-14T10:44:33,field_tool,1,Bad,4,High,1
2174899a-e3c0-4063-84b5-8f73e48f2873,37c9e70c-ba95-4fee-aff8-fa5ef71dd1d3,survey_949,Togo,East Andreatown,Male,63.0,Primary,Unemployed,completed,2026-05-14T10:41:57,field_tool,1,Very Good,2,High,1
f4cfb7ca-6436-417a-81ac-d47f854cf066,2ea468ad-ddcf-4947-a2bb-2515fcf006c4,survey_195,Togo,Samanthamouth,Female,23.0,Tertiary,Unemployed,completed,2026-05-14T10:44:20,field_tool,1,Good,4,Low,4
63b5981c-0697-4660-8405-4efc6583a492,99c3c134-b65b-43ba-893d-4d9a7d10f04f,survey_631,Togo,Meyerberg,Female,40.0,Secondary,Employed,completed,2026-05-14T10:45:31,field_tool,5,Neutral,4,Medium,4
0056d9fe-d5fc-47f2-b608-b5dde251a543,535bd912-36dd-4572-bc01-8905279efd4a,survey_987,Togo,West Gabrielaburgh,Male,29.0,Secondary,Self-employed,completed,2026-05-14T10:45:06,field_tool,2,Very Good,5,Medium,2
4ae3362a-5f23-4346-881b-bac467bc3a30,587ebcff-ebf0-43e1-9a56-186c683214f2,survey_807,Togo,North Janetberg,Male,75.0,Primary,Self-employed,completed,2026-05-14T10:39:57,field_tool,3,Bad,2,Medium,2
7685d363-4bd2-48b4-81f7-9d1bfb3b04bf,edaa024e-3769-44ec-9c46-e4074f7bb71f,survey_567,Togo,West Jennifermouth,Female,28.0,Secondary,Employed,completed,2026-05-14T10:45:13,field_tool,3,Neutral,1,Low,2
