response_id,respondent_id,survey_id,country,region,gender,age,education_level,employment_status,completion_status,submission_timestamp,source_system,q1_democracy,q2_economy,q3_trust_govt,q4_corruption,q5_election_fairness
9e8aab67-66b2-4546-bd05-f7440459db09,6c73bec8-d9cb-40e5-90af-6ccc4baec945,survey_497,Tunisia,Steveville,Male,44.0,Tertiary,Unemployed,completed,2026-05-14T10:43:52,field_tool,1,Bad,3,Low,2
ce77cefa-f307-4e0e-895a-3dc6705f5c9d,b62b0d0a-e452-49e0-b6d2-37272983deff,survey_358,Tunisia,East Kimberlymouth,Female,74.0,Tertiary,Self-employed,completed,2026-05-14T10:41:10,field_tool,5,Bad,2,Medium,4
e7a7c8cb-bd76-4109-bb80-d700dffeb889,951a9228-c7d2-4c19-9334-e3fd409fece0,survey_626,Tunisia,Richardsonberg,Female,18.0,Secondary,Self-employed,completed,2026-05-14T10:41:04,field_tool,3,Bad,3,High,1
fed27deb-217b-42b5-894d-1f9e4b188e17,6f9e7b55-56e4-40bb-bf72-74eee78745bb,survey_454,Tunisia,Gallegosport,Female,25.0,Tertiary,Self-employed,completed,2026-05-14T10:40:56,field_tool,4,Very Good,5,Low,2
a4104aa4-27f9-4ae0-9d95-b0c8f07826ee,dc6b8ec9-27d5-4fd0-856a-cd521490c7b3,survey_714,Tunisia,Woodsport,Male,71.0,Secondary,Self-employed,completed,2026-05-14T10:44:15,field_tool,3,Good,4,Medium,1
8e1adc75-fb56-41aa-b687-ccec06a3d96e,df52f707-1a4a-4f2d-b047-81b4a94abd66,survey_407,Tunisia,Lake Anthonyfort,Female,50.0,Tertiary,Self-employed,completed,2026-05-14T10:43:31,field_tool,1,Very Good,4,High,2
63a9e7a7-25cc-441d-93e4-a28deee338d1,f18bf4b0-b999-4b77-84de-15d43d533c91,survey_355,Tunisia,Amyview,Male,26.0,Primary,Self-employed,completed,2026-05-14T10:41:40,field_tool,1,Bad,1,Medium,3
e0bbfbf5-95c5-43e1-9926-be43ca8547be,ae58b2b2-5de1-49ac-9092-b9bc0ba7ab9c,survey_844,Tunisia,New Peterhaven,Male,66.0,Tertiary,Employed,completed,2026-05-14T10:40:52,field_tool,5,Neutral,5,Medium,1
914a7000-e80b-4a74-ab2a-a4f2c57795f3,653de9ea-335a-4641-8816-1ddf5fa899cf,survey_319,Tunisia,Savannahfort,Female,49.0,Primary,Employed,completed,2026-05-14T10:42:54,field_tool,3,Very Good,2,High,1
e483dbcb-debc-4b43-848e-5ae3666563aa,5e4d18c6-7a28-43cd-8149-f8011ca34ac3,survey_811,Tunisia,Andersonburgh,Male,60.0,Primary,Self-employed,completed,2026-05-14T10:40:52,field_tool,1,Very Good,3,Medium,4
