response_id,respondent_id,survey_id,country,region,gender,age,education_level,employment_status,completion_status,submission_timestamp,source_system,q1_democracy,q2_economy,q3_trust_govt,q4_corruption,q5_election_fairness
c0c74f93-0b05-495c-aa15-0a51fe6387b9,43293809-b6d8-434f-b364-83afe172c32b,survey_331,Uganda,Bradfordburgh,Male,18,Secondary,Unemployed,completed,2026-05-14T10:43:42,field_tool,1,Very Good,1,Low,3
424e6acc-f72d-4f46-90e4-76959e5acec6,ec677736-8d20-4715-9212-8d7bbc9ee700,survey_694,Uganda,Fordton,Male,61,Tertiary,Employed,completed,2026-05-14T10:44:39,field_tool,5,Good,3,Medium,2
6afaf620-27b8-43f5-9407-c820056408d7,b4872f33-16bc-4aca-bcc5-116dc24ba2a1,survey_566,Uganda,Port Laurie,Female,32,Primary,Employed,completed,2026-05-14T10:45:33,field_tool,2,Neutral,5,High,5
ba651e3c-1a88-43cd-ac74-fc1544ef9d58,62c90a97-08c0-469c-a049-15c393e55538,survey_263,Uganda,Pricemouth,Female,37,Tertiary,Self-employed,completed,2026-05-14T10:41:31,field_tool,3,Good,5,Low,4
45fe7a34-dc0c-4e0d-a3a0-f0ff5aa96536,395e9710-66ba-4a3b-89b7-76703ccf1c58,survey_673,Uganda,Port Andrew,Male,62,Tertiary,Self-employed,completed,2026-05-14T10:44:38,field_tool,2,Neutral,5,High,3
079d622b-45fb-4325-aea9-a11899f8a6fb,9e2b9be9-ff19-4a2d-b1a8-2f5da729b0cc,survey_740,Uganda,Wardburgh,Female,43,Primary,Employed,completed,2026-05-14T10:42:20,field_tool,3,Very Good,4,Low,4
a831a773-e8f3-4946-8fe9-f1ad16add0cb,bf166568-6b6d-4e27-805d-4b71dabad6af,survey_609,Uganda,Ramirezfurt,Male,40,Secondary,Employed,completed,2026-05-14T10:44:17,field_tool,1,Neutral,4,Low,3
c91c13c6-3205-4ba4-aaa7-e1f710d794b2,08cf8c59-5d63-469d-8337-b6ebd438c797,survey_729,Uganda,South Gregorychester,Female,45,Primary,Employed,completed,2026-05-14T10:40:20,field_tool,5,Very Good,5,Low,4
c1c1ec63-ed86-4810-aa13-9294ed367ff9,cb564352-46c1-40a2-b403-75e7ad6a10ef,survey_820,Uganda,West Derekville,Male,46,Secondary,Employed,completed,2026-05-14T10:41:53,field_tool,1,Neutral,5,High,5
84d17273-2b89-4b77-9d18-485863796c13,0cfcb9d3-ffe4-4788-84ec-8bdcd9f7737f,survey_560,Uganda,East Matthew,Male,49,Secondary,Self-employed,completed,2026-05-14T10:45:19,field_tool,3,Very Good,3,High,3
2dea93e5-b1c6-48e2-86c1-f43266ce1f33,c13eca14-5b5a-4ba8-bc06-8dc112198705,survey_242,Uganda,New Toniburgh,Male,45,Tertiary,Unemployed,completed,2026-05-14T10:40:54,field_tool,4,Very Good,3,Medium,4
9f67a5d4-8ded-435d-a50a-041fad0958b4,da27ff8b-fd92-4176-9586-4e3614fa9492,survey_656,Uganda,West Oliviafort,Male,41,Tertiary,Unemployed,completed,2026-05-14T10:41:55,field_tool,3,Very Good,3,Medium,2
063d8f1c-a853-4655-872d-6812ddcd44ae,f86e1709-44b2-44ba-bddb-4702c94f174f,survey_608,Uganda,Markton,Female,50,Primary,Employed,completed,2026-05-14T10:45:03,field_tool,1,Very Good,2,Low,3
8f93a46f-5cb4-4e54-8eb5-474d9e648be7,ca25cfe7-1920-48d8-a0a2-cd5b8bb9c5bc,survey_436,Uganda,New Andreaberg,Male,41,Secondary,Self-employed,completed,2026-05-14T10:42:26,field_tool,2,Bad,4,Medium,4
e9166d98-b02b-40e4-9dda-9c94792fc61a,46b6b6f8-ef55-4a57-bc93-7768c5f0715a,survey_730,Uganda,West Stephenfort,Male,44,Secondary,Self-employed,completed,2026-05-14T10:45:27,field_tool,1,Good,2,High,1
0f0c9586-d6c0-4c7c-91d6-53a69fbede13,0000f362-9ef0-4399-90cf-749ae197f06b,survey_511,Uganda,Mariofurt,Male,45,Tertiary,Self-employed,completed,2026-05-14T10:40:02,field_tool,2,Good,4,High,5
de8042a1-bc48-4af6-ac11-e83feec9a233,5098671f-513e-4b30-9c08-f2d4cf4a8e86,survey_344,Uganda,South Rachel,Male,29,Primary,Employed,completed,2026-05-14T10:40:03,field_tool,3,Good,5,Low,2
cac52233-c46a-4936-8d14-50bcaac7a3ab,d76896aa-f5c2-4aa1-9635-37865b0517ac,survey_773,Uganda,Bakerbury,Female,23,Secondary,Employed,completed,2026-05-14T10:41:43,field_tool,2,Neutral,4,Medium,3
b09adecc-7e70-4ace-9717-b58790440f50,b015f76d-5d2e-4d8d-b184-63b6e6e75269,survey_960,Uganda,Stewartstad,Male,59,Secondary,Unemployed,completed,2026-05-14T10:44:40,field_tool,2,Neutral,4,Low,3
74ced171-2c38-4409-9e4b-6a5e054459e8,8340f447-a525-4ab7-ae3b-b1704a7eaef3,survey_820,Uganda,Toddmouth,Female,71,Secondary,Employed,completed,2026-05-14T10:42:54,field_tool,5,Good,5,High,1
4bf8e279-aa07-45f0-8493-d735ca6dda45,18dc81b7-4219-4572-8a86-e134bf19fc03,survey_253,Uganda,Lake Erin,Male,48,Secondary,Employed,completed,2026-05-14T10:42:59,field_tool,2,Very Good,4,Medium,3
d0c9ff76-8f04-4865-bcee-4d9b2b250750,4b893b2e-d380-4397-8415-a3b1d196b38f,survey_778,Uganda,Jeremymouth,Female,30,Secondary,Self-employed,completed,2026-05-14T10:41:04,field_tool,3,Good,5,Low,3
1e5caad9-1868-4544-971e-fb7e12d0c85e,0ee197b7-3faa-430a-a5fb-247c9ebcf9fd,survey_959,Uganda,Richardville,Female,41,Tertiary,Self-employed,completed,2026-05-14T10:42:46,field_tool,3,Bad,2,Low,5
953357c4-93d4-42ec-9f25-7056288b1957,7c944d78-24d8-4902-bce0-fcdb2d00dabd,survey_162,Uganda,Clarkburgh,Female,54,Primary,Employed,completed,2026-05-14T10:39:47,field_tool,1,Bad,5,Medium,1
e182af95-d65b-45ad-8d93-19ea337c15e8,66699c4c-d859-4f2a-b46f-6f85250fd3ef,survey_617,Uganda,Anthonychester,Female,46,Secondary,Employed,completed,2026-05-14T10:42:47,field_tool,2,Good,2,Low,4
2e69da8f-1b36-4416-92c2-0f5e3b9b40bc,df67bf35-580e-4fd3-bbcc-8d76fabc358f,survey_367,Uganda,East Clairehaven,Female,67,Tertiary,Employed,completed,2026-05-14T10:42:34,field_tool,3,Very Good,3,Medium,1
3a1b0ef2-c7e9-4055-892a-f0326a8075ca,cece8e39-b186-467f-81d3-0addb3554a17,survey_815,Uganda,Jacksontown,Female,38,Secondary,Self-employed,completed,2026-05-14T10:40:16,field_tool,2,Neutral,5,High,3
548d885a-38a8-4cba-b567-86734db0b27a,2faf6450-e052-43b9-8194-3b1b03f09da7,survey_469,Uganda,Port Lisa,Male,57,Tertiary,Employed,completed,2026-05-14T10:42:12,field_tool,2,Very Good,1,High,5
7278e4c4-829d-4d0a-811a-5ffdeb459472,25b76229-349d-4142-8936-69f516839206,survey_975,Uganda,West Jason,Female,58,Primary,Unemployed,completed,2026-05-14T10:42:55,field_tool,3,Neutral,2,High,1
3e147a6e-8709-4459-b86d-e059564e8500,5cd45171-7150-49ca-a1d6-c7885a475844,survey_372,Uganda,Danielport,Female,64,Primary,Unemployed,completed,2026-05-14T10:40:57,field_tool,2,Neutral,2,High,1
00890710-79b2-4890-a037-4a7067444460,3a34cfbe-c841-47dc-8432-b689b733b7e0,survey_711,Uganda,New Patricia,Female,34,Tertiary,Unemployed,completed,2026-05-14T10:41:42,field_tool,4,Very Good,2,Low,1
a43d53b8-b9ba-4049-9dc6-f7a91acc8be5,827ef71e-036f-42d6-9910-1fd27bd5b2ca,survey_157,Uganda,Nicholasshire,Male,66,Secondary,Employed,completed,2026-05-14T10:45:45,field_tool,3,Neutral,2,Medium,4
d51f72d4-3237-4a0d-b62f-a851ec7ee528,ba5545b0-3c19-4700-92e2-882fe3020950,survey_673,Uganda,Adkinsmouth,Male,43,Tertiary,Employed,completed,2026-05-14T10:42:26,field_tool,5,Bad,2,Medium,4
f6e9d3c1-8249-4316-a9f0-5d07ed7bc0d7,82942716-bf5c-4e4b-ab42-8f57e4609890,survey_797,Uganda,Tiffanyfort,Female,20,Tertiary,Self-employed,completed,2026-05-14T10:43:26,field_tool,2,Neutral,2,Medium,1
46b6e8f0-93de-4988-b874-5123a9fd7813,d7777426-14cb-41dc-8e06-0eb69478f4e7,survey_887,Uganda,Amymouth,Male,29,Tertiary,Unemployed,completed,2026-05-14T10:45:22,field_tool,1,Very Good,3,Medium,4
4514a1a8-d6b1-4047-b70b-8ba96ad5b25c,1b9cf125-5ab4-46f2-8b62-b9986bb3aa95,survey_805,Uganda,Lake Christopherfort,Female,29,Primary,Self-employed,completed,2026-05-14T10:40:25,field_tool,5,Good,3,Low,5
c932b026-a906-46c8-a7ee-43f1dce21240,1433e9ba-c617-489f-8c72-7bb01bb13c2a,survey_607,Uganda,Port Carol,Male,31,Primary,Employed,completed,2026-05-14T10:44:01,field_tool,4,Good,1,Medium,4
07e2acad-448c-4861-b230-6dc1ef821a8e,47e3cb15-9a24-40c1-a186-2dac118151e8,survey_861,Uganda,Margaretstad,Female,71,Secondary,Unemployed,completed,2026-05-14T10:45:22,field_tool,5,Bad,2,High,2
37049b3e-3063-4e36-9940-59c081051694,e63d3c49-18df-4252-8812-3ffc47171f58,survey_580,Uganda,Lake Keith,Male,43,Primary,Employed,completed,2026-05-14T10:41:51,field_tool,1,Neutral,1,Low,5
becde994-2a24-4252-b749-e6575913cc10,deeb61fc-2a58-4275-a964-525223fad6b0,survey_444,Uganda,Lake Tammyhaven,Male,48,Secondary,Self-employed,completed,2026-05-14T10:43:55,field_tool,4,Neutral,3,Medium,3
411ab12e-7d46-48a4-8937-8403d7a55f6f,4aa0f64c-5816-4c54-ab6a-f16e739abc4b,survey_617,Uganda,Ortegaberg,Male,39,Tertiary,Employed,completed,2026-05-14T10:44:44,field_tool,1,Good,2,Medium,1
5714e7be-4c7c-4448-850d-c2c6dc6088c5,37f10202-cdef-4081-9877-52996004dc19,survey_447,Uganda,Shannonland,Female,32,Tertiary,Unemployed,completed,2026-05-14T10:42:36,field_tool,3,Bad,3,High,2
bb55de82-cd09-4b8d-a09f-7f72c36259ed,45150cca-87bf-4cd0-8775-c994c961bf60,survey_113,Uganda,North Jon,Male,43,Secondary,Self-employed,completed,2026-05-14T10:40:22,field_tool,1,Bad,2,Low,3
604c4ae2-7a99-4f5a-895d-1fadf70afb9c,0917b42b-c5aa-400b-8c39-dad5f750782e,survey_189,Uganda,Barberborough,Female,32,Primary,Self-employed,completed,2026-05-14T10:42:32,field_tool,5,Good,5,High,3
9cbb3fdf-494b-4638-806b-8605e5903d77,091e6d63-0973-40da-83b6-50a92d394584,survey_229,Uganda,Leeborough,Female,37,Secondary,Self-employed,completed,2026-05-14T10:41:50,field_tool,3,Neutral,3,Low,2
f25f7b43-e1a8-41cb-be53-3c3358858f1b,8a75c232-f931-403e-a8de-4a158edf83d1,survey_494,Uganda,Gateston,Female,48,Tertiary,Employed,completed,2026-05-14T10:40:07,field_tool,2,Bad,4,Low,5
0ede583f-8e00-4ad1-b714-967bf2584284,971d54db-d323-4251-bd4f-fcbaf65e4261,survey_706,Uganda,North Karenborough,Male,18,Primary,Self-employed,completed,2026-05-14T10:40:45,field_tool,5,Neutral,4,High,3
bb9f2cb3-64cf-4f2d-b2ef-258da99a57c0,5fed5586-8ee0-4da2-9ab0-0fcc9e054e19,survey_190,Uganda,West Nathantown,Female,27,Primary,Self-employed,completed,2026-05-14T10:42:43,field_tool,4,Neutral,1,Low,1
b7c207f8-751d-4e4a-9d83-1b520d5f7e04,1916f9d7-695b-4290-aade-5e75b037ab6f,survey_745,Uganda,Mccoyport,Male,61,Tertiary,Employed,completed,2026-05-14T10:40:32,field_tool,4,Bad,1,Medium,3
78440109-6976-4c20-b56b-b0f0ef3ee250,1f208cf2-c60b-4727-9ab4-57aa8b699910,survey_842,Uganda,Kellyport,Male,28,Secondary,Employed,completed,2026-05-14T10:43:03,field_tool,2,Bad,1,Low,5
6f6288ed-019d-4360-92e1-9653df7c02ed,3f9584e1-7cb4-4126-83e7-194986f6d45f,survey_839,Uganda,South Melinda,Female,68,Secondary,Self-employed,completed,2026-05-14T10:42:44,field_tool,3,Good,5,Medium,1
29e90c70-57b6-4ccd-8f5e-3f688b2dd38d,9fb9a15a-fccf-4aaa-a4da-16b807516869,survey_329,Uganda,Romanland,Male,24,Secondary,Employed,completed,2026-05-14T10:40:15,field_tool,4,Bad,1,Medium,1
bc233995-2486-4546-842f-e2c65cbfa79f,a97621da-836b-4b7d-a338-727c4f96d678,survey_833,Uganda,East George,Female,26,Tertiary,Self-employed,completed,2026-05-14T10:43:45,field_tool,4,Bad,5,Medium,5
9dcd6ae8-299c-4497-bbf2-b7026b8f1d58,e101d456-75be-4dce-881c-06dfcc551adf,survey_279,Uganda,Dorseyberg,Female,45,Tertiary,Self-employed,completed,2026-05-14T10:40:12,field_tool,1,Bad,4,Medium,5
e99ef369-619f-44c8-8b60-88c905c3f451,4f01b816-3912-4ec9-babe-9a66bed01fdb,survey_843,Uganda,New Pamela,Male,63,Primary,Self-employed,completed,2026-05-14T10:45:03,field_tool,4,Very Good,3,Low,1
ee24f685-7412-4a32-a9ea-b934f2d1c312,eb05733f-b0d4-4b98-98cd-2d871018898a,survey_310,Uganda,South Samuel,Male,22,Secondary,Employed,completed,2026-05-14T10:43:43,field_tool,2,Bad,4,High,4
792779e8-ad83-472e-a757-41ac61523f10,2a4e380e-2cb2-436b-b41c-aec7f770e82e,survey_268,Uganda,Jennifertown,Male,41,Primary,Unemployed,completed,2026-05-14T10:40:43,field_tool,4,Neutral,4,High,1
9bbd352a-42a2-4ba8-9cab-37dd8feaf60f,3faacbdd-9773-4372-b015-f830a86d6c4a,survey_665,Uganda,New Jonathanmouth,Male,29,Secondary,Self-employed,completed,2026-05-14T10:45:45,field_tool,3,Bad,4,High,5
cd738132-68e0-4567-9d49-bc60bdff94fe,5f3b399a-4d6b-4f14-93ae-976e025db2fe,survey_963,Uganda,Port Eduardo,Male,60,Tertiary,Unemployed,completed,2026-05-14T10:42:32,field_tool,4,Good,1,High,5
a4f0c488-bf5b-4258-81f9-e60f6db0ce74,d14b77fe-6ba0-4533-8fc0-621d3ba3592c,survey_641,Uganda,Lake Jenniferview,Male,42,Primary,Unemployed,completed,2026-05-14T10:43:59,field_tool,3,Very Good,1,Medium,5
05da7710-c5f8-434c-8e96-3370b6e340b2,4993a471-8b97-46dc-9360-9f5a690e6cc3,survey_378,Uganda,New Jason,Female,35,Secondary,Employed,completed,2026-05-14T10:44:21,field_tool,4,Very Good,1,High,4
fa7ad39d-f914-4897-ad84-eb77dd0be752,056c9c6d-31ea-41e7-8cfa-6e3a8d566040,survey_227,Uganda,West Kennethbury,Male,63,Secondary,Unemployed,completed,2026-05-14T10:42:11,field_tool,1,Good,5,Low,5
ab784847-a3ec-4dfa-b764-c0e33c3fdb1b,226ae8bf-5094-43bc-810a-4cc376b62162,survey_288,Uganda,Jeffreymouth,Male,56,Tertiary,Unemployed,completed,2026-05-14T10:45:29,field_tool,5,Neutral,1,High,1
4444de89-9e4e-4e84-857e-950f80a2c41c,957c2f99-b096-42fd-bf4a-80cd2af2105c,survey_639,Uganda,South Ann,Male,50,Secondary,Employed,completed,2026-05-14T10:41:39,field_tool,5,Bad,5,Low,2
d7767301-3147-49ef-b8ca-5c936291022c,d3a669a2-1093-4ea9-906c-d08826dc924d,survey_660,Uganda,Chadbury,Female,55,Secondary,Self-employed,completed,2026-05-14T10:45:15,field_tool,1,Bad,1,Medium,3
9ad97d56-3150-4592-9182-e8a345abcd7a,ba3d313a-9a78-4ef6-a5d4-ad303c87cbc2,survey_915,Uganda,New Amy,Male,61,Secondary,Unemployed,completed,2026-05-14T10:41:59,field_tool,5,Very Good,4,Medium,4
8b715372-a3d8-4066-b674-6c50e6e6b647,af10b58d-3308-42b4-8434-a384da465dad,survey_203,Uganda,Blackview,Female,39,Secondary,Unemployed,completed,2026-05-14T10:42:28,field_tool,4,Bad,3,High,4
ac3b8438-0349-4922-b060-e84637f2478e,ee808594-4c63-4dc4-bb75-ab473f7af116,survey_276,Uganda,Port Kenneth,Female,64,Primary,Self-employed,completed,2026-05-14T10:42:17,field_tool,4,Bad,2,Medium,2
6cb3d77c-28d5-460e-9724-a969da691933,cf964b60-4a27-4c17-b396-ac4f817b15dd,survey_116,Uganda,Valerieshire,Male,20,Secondary,Unemployed,completed,2026-05-14T10:45:10,field_tool,1,Good,1,High,2
9568fa89-8ee9-480a-b344-c568269a8e79,4f90cbd1-9e11-4f8b-9886-dacd69400eae,survey_462,Uganda,East Zacharybury,Female,27,Secondary,Unemployed,completed,2026-05-14T10:40:16,field_tool,1,Very Good,5,Low,1
ae694f73-013c-449e-a49a-82b98af568ce,e93344cb-f725-4ee6-b630-9c79d0bc8562,survey_521,Uganda,North Brandon,Female,59,Primary,Self-employed,completed,2026-05-14T10:43:23,field_tool,2,Bad,3,High,4
54fff4bc-2e10-4f43-a8cd-37b09f45861d,878215a6-c74d-48af-8e8b-c0b19d5c6a20,survey_183,Uganda,Laurentown,Male,34,Tertiary,Unemployed,completed,2026-05-14T10:43:01,field_tool,5,Good,2,High,3
43c2fb73-3f90-409e-a430-bda7b97419e0,d53062bd-e273-4a29-9f07-cad479ec32ac,survey_518,Uganda,Jacquelinemouth,Male,71,Primary,Self-employed,completed,2026-05-14T10:43:38,field_tool,4,Neutral,5,Low,4
e4fa8a8b-d8e2-43e6-b7cf-3bf8f7009c8a,53dafe3b-d114-41a5-8a7d-cd1f6d9ca689,survey_472,Uganda,Port Joseph,Female,32,Secondary,Self-employed,completed,2026-05-14T10:41:30,field_tool,4,Bad,1,Medium,1
8fe693ab-d9d1-4373-b94a-9eebd2ba23c7,789c0d53-63a5-41ac-8c6e-d6d8f580e05e,survey_198,Uganda,Andreaton,Male,51,Secondary,Self-employed,completed,2026-05-14T10:41:05,field_tool,3,Very Good,1,High,1
36d055aa-2afc-4b3e-b1da-798306d83d04,58581f87-2721-47ef-afc6-861beed82482,survey_389,Uganda,Newmanmouth,Male,72,Primary,Self-employed,completed,2026-05-14T10:43:06,field_tool,5,Good,2,High,5
50b18bb5-2af7-499c-8227-9e55f903ec5c,64d4d72c-78a1-40b5-8d08-f4c017bb6b5e,survey_645,Uganda,Shortberg,Male,23,Secondary,Self-employed,completed,2026-05-14T10:41:56,field_tool,3,Neutral,2,Low,2
bc72b7c1-80e1-4afc-873e-4cc45805eed6,88d33bf3-dc55-4c74-806d-c0d692afa025,survey_921,Uganda,South Samantha,Male,31,Secondary,Unemployed,completed,2026-05-14T10:43:57,field_tool,5,Neutral,4,Medium,1
9f89f08f-6952-4cb7-9028-afa5b84d59ec,953c14a4-35f8-4ff4-9f97-fbc67be2db95,survey_786,Uganda,New James,Female,72,Secondary,Self-employed,completed,2026-05-14T10:39:52,field_tool,4,Neutral,5,Medium,3
2e6fdac4-6125-4713-a21e-413991bf864f,4dfa4510-ac20-48a0-8f43-c58336bb0f49,survey_648,Uganda,Peterfort,Male,49,Primary,Self-employed,completed,2026-05-14T10:45:01,field_tool,4,Neutral,2,Low,5
ee7c658d-1385-47c5-85b0-d2ed7497b8e4,a1769b16-1972-4d8b-a14e-d6341d302d4b,survey_711,Uganda,Marissaberg,Male,67,Tertiary,Employed,completed,2026-05-14T10:42:08,field_tool,5,Neutral,2,High,3
