response_id,respondent_id,survey_id,country,region,gender,age,education_level,employment_status,completion_status,submission_timestamp,source_system,q1_democracy,q2_economy,q3_trust_govt,q4_corruption,q5_election_fairness
d715f8db-177b-409d-b359-42b6437309ca,708dc2f3-840b-4727-b309-f5b186c7a6b1,survey_523,Zambia,West Joseside,Female,35.0,Secondary,Employed,completed,2026-05-14T10:45:09,field_tool,1,Bad,2,Medium,2
d9b612b5-42cc-40c3-b335-e55b2d68edc1,9e332319-5ff5-4611-a27f-3d875fdb792f,survey_364,Zambia,Wadeborough,Female,64.0,Primary,Unemployed,completed,2026-05-14T10:41:52,field_tool,5,Good,3,Medium,1
ee46e774-fcd4-4b9a-befd-3c9c6e79fa5a,7de01a1f-8851-429e-b3c6-c9aeb6524686,survey_539,Zambia,Ryanville,Female,21.0,Primary,Employed,completed,2026-05-14T10:45:18,field_tool,2,Very Good,3,Medium,2
57025c0a-30fa-42a1-901b-c523754a386d,07dceb03-31cd-4f00-9385-479eef93ebd6,survey_260,Zambia,North Miguel,Female,27.0,Primary,Employed,completed,2026-05-14T10:42:24,field_tool,2,Very Good,5,Low,1
29098a0f-1bc1-496a-8179-c57340269064,571bca09-21c7-40de-86ff-4f17c59e5dc8,survey_172,Zambia,Jonesview,Male,58.0,Primary,Employed,completed,2026-05-14T10:41:02,field_tool,1,Very Good,4,Low,5
0a612298-0724-46a3-bcde-7d70ceac721d,8d9bf848-389f-4b7e-98e2-efaec3658f56,survey_879,Zambia,North Michelle,Male,66.0,Secondary,Unemployed,completed,2026-05-14T10:42:27,field_tool,1,Very Good,5,Medium,1
b708357b-9c8b-4030-a4de-53483f5ea629,2d3192f7-bf8e-4596-98a7-1d12fd8b0acb,survey_312,Zambia,Thomasland,Female,57.0,Primary,Self-employed,completed,2026-05-14T10:42:32,field_tool,4,Good,2,Low,1
dc581588-443d-4f51-82c8-eebb4ef416e9,b3786340-0c92-495d-86c4-a0d1972944a6,survey_764,Zambia,Lopezmouth,Male,52.0,Secondary,Employed,completed,2026-05-14T10:45:17,field_tool,5,Good,3,Medium,5
59ce4702-d155-43fc-b969-75ddc60e61a8,c2df7c0a-4cfa-4966-bd33-6f49aa86961a,survey_343,Zambia,Michaelport,Female,30.0,Tertiary,Self-employed,completed,2026-05-14T10:40:22,field_tool,3,Very Good,2,Medium,3
5ef900fa-4db5-42fa-abd5-ffa792127099,7b45206a-9a3e-4fdc-9eb3-2a810659fdd9,survey_123,Zambia,Mathewsfort,Female,57.0,Secondary,Unemployed,completed,2026-05-14T10:40:28,field_tool,4,Very Good,4,Medium,2
4bec3bb0-ad22-4424-ab95-779d0057c5c8,b8239090-baea-4b1b-82d8-b9dd3b3879ea,survey_606,Zambia,Riosfurt,Female,22.0,Secondary,Unemployed,completed,2026-05-14T10:43:21,field_tool,2,Bad,1,Medium,4
1f221a3e-50c3-44ec-a17d-87610d39903c,c1a38f5c-9129-4844-b18c-b6ab7721ff22,survey_746,Zambia,East Sandrachester,Female,58.0,Tertiary,Unemployed,completed,2026-05-14T10:43:47,field_tool,2,Neutral,2,High,2
baaffd14-aa0d-46a8-a66b-0cde3736d3df,99336c50-9b0b-435f-99c4-cc7a580173eb,survey_502,Zambia,Lake Michelle,Male,67.0,Primary,Unemployed,completed,2026-05-14T10:45:04,field_tool,1,Neutral,3,Medium,1
6d19eed7-ae73-43d6-a197-ba5c3eb338ab,146c2e5d-a085-481a-8dab-517078dd8f9d,survey_216,Zambia,Mcintoshton,Male,33.0,Tertiary,Self-employed,completed,2026-05-14T10:44:14,field_tool,4,Very Good,1,Low,5
ab5a69df-cba6-4619-8288-e8a1436b3fe5,fd1220a6-6330-4581-b33f-1bd57625ec66,survey_272,Zambia,Kirbymouth,Female,32.0,Tertiary,Unemployed,completed,2026-05-14T10:45:30,field_tool,3,Bad,5,Low,5
43abdce6-4633-4af1-9c1f-84a7d1f24f85,813d5e18-4ff0-4eff-a404-5f9eab3872b4,survey_708,Zambia,Gutierrezhaven,Female,51.0,Tertiary,Self-employed,completed,2026-05-14T10:40:19,field_tool,5,Bad,5,High,3
96706908-fbc7-4eff-88aa-aaa88a59b72e,fa7d3cbb-5479-43c6-983a-5aef83e589aa,survey_721,Zambia,South Margaret,Male,69.0,Secondary,Unemployed,completed,2026-05-14T10:40:59,field_tool,1,Bad,4,Low,2
83a05696-5084-4546-9012-b94b136373c1,e97db18f-99ed-4650-b7e6-b3b44a896604,survey_832,Zambia,West Bridget,Male,18.0,Secondary,Unemployed,completed,2026-05-14T10:40:29,field_tool,2,Bad,2,Low,2
dc850bd4-ea08-4e29-a2d7-fa7e8446491a,dd2209bd-b6c1-40f9-973d-990e0cd0ee13,survey_543,Zambia,New Jamiefort,Female,24.0,Primary,Unemployed,completed,2026-05-14T10:43:57,field_tool,5,Good,5,Medium,5
203d73d1-c192-4690-84df-0cb7e6615954,d60961ef-52b9-4bb0-91e9-df11739231b7,survey_982,Zambia,Lanebury,Male,71.0,Tertiary,Employed,completed,2026-05-14T10:45:27,field_tool,4,Good,5,Low,2
6d65a7d2-f9fd-4a70-9cdc-1ae6e87762a2,63f9d462-ac24-432f-83d5-999390e3952a,survey_121,Zambia,Port Joel,Female,35.0,Tertiary,Self-employed,completed,2026-05-14T10:45:25,field_tool,2,Very Good,2,High,1
