response_id,respondent_id,survey_id,country,region,gender,age,education_level,employment_status,completion_status,submission_timestamp,source_system,q1_democracy,q2_economy,q3_trust_govt,q4_corruption,q5_election_fairness
a3b204d2-b5db-4778-9c16-c7f88a9f7cb8,35f5c158-39d3-4fcd-bf8c-3d0b57351dc7,survey_707,Zimbabwe,Cooperside,Male,19.0,Primary,Employed,completed,2026-05-14T10:44:18,field_tool,1,Very Good,5,Low,1
ec642747-1192-4278-9214-b241a832d1c6,f1760097-a88f-4e15-9154-805dd2529200,survey_993,Zimbabwe,Kellerberg,Female,37.0,Tertiary,Unemployed,completed,2026-05-14T10:40:43,field_tool,3,Bad,5,Medium,3
810e6c8e-2b58-4969-87be-894d6c59d787,ebed052a-e2d9-4921-87da-d02f98024842,survey_278,Zimbabwe,North Jonathanfort,Male,49.0,Primary,Employed,completed,2026-05-14T10:42:16,field_tool,3,Bad,3,High,5
f74c1fda-a26b-4abd-a41c-b9bddef852b9,9d0dbb4b-9d43-4bbc-af1c-3d707872dea0,survey_398,Zimbabwe,Lutzfort,Female,69.0,Primary,Self-employed,completed,2026-05-14T10:43:08,field_tool,3,Neutral,5,Medium,3
8d8a66c1-b890-4f33-aa27-412887722682,b6520f0a-a855-4a06-80d2-c723b6d067c9,survey_100,Zimbabwe,West Ashley,Male,66.0,Tertiary,Self-employed,completed,2026-05-14T10:45:40,field_tool,1,Very Good,1,Medium,4
a51050ff-ee9e-45d1-8316-7ca4afbd8971,21b43cdf-a883-45f5-894b-0890c2b9bc79,survey_440,Zimbabwe,New Colleen,Female,30.0,Secondary,Employed,completed,2026-05-14T10:40:16,field_tool,5,Neutral,5,Medium,3
69589eda-b869-4ae6-b3da-f9911fbf5cef,7d244549-56fe-46aa-8b6e-0db8de03fa48,survey_622,Zimbabwe,Joshuaton,Female,,Secondary,Employed,completed,2026-05-14T10:42:12,field_tool,5,Very Good,3,Low,4
b393a626-ce7a-4b9a-ae08-af493a01ebb1,f56f22b8-5c1a-47f0-968c-0c469306b622,survey_742,Zimbabwe,Cobbhaven,Male,30.0,Tertiary,Employed,completed,2026-05-14T10:43:31,field_tool,5,Bad,3,Medium,5
e56cc992-4fa1-4701-ac1f-fac986741a1b,5ea4e256-7c37-4bfd-9522-ce132d359c05,survey_558,Zimbabwe,Samanthatown,Female,68.0,Secondary,Employed,completed,2026-05-14T10:42:01,field_tool,2,Good,1,Medium,1
f7d36281-7ca3-4fa0-acea-d61eeb5a8e22,155d7dc3-c71e-4575-8b39-463240b4a232,survey_576,Zimbabwe,Port Josephmouth,Female,34.0,Primary,Employed,completed,2026-05-14T10:41:15,field_tool,3,Neutral,4,High,2
58c381a8-0c6f-4b15-a401-5018fd7b7f0f,eaa57e1f-4db9-4ac2-ba8f-80c3dd986c1a,survey_440,Zimbabwe,South Shirley,Female,54.0,Primary,Unemployed,completed,2026-05-14T10:42:17,field_tool,4,Bad,2,Low,5
3d940c90-56dc-4c4e-b585-b43553009e34,2ad6804e-90ff-4958-9e3d-b5638ebf392e,survey_977,Zimbabwe,Debraport,Female,52.0,Primary,Self-employed,completed,2026-05-14T10:42:37,field_tool,4,Very Good,1,High,4
cebf6335-be91-48cd-8fe7-9a61309f065a,e228daae-423f-44d5-b429-dd833a30d2c0,survey_572,Zimbabwe,Thompsonshire,Male,49.0,Primary,Unemployed,completed,2026-05-14T10:40:57,field_tool,3,Neutral,5,Medium,3
d2da3682-786d-4767-839f-4e049f149285,96b45964-f4aa-47be-b190-27587b9260a0,survey_358,Zimbabwe,Meganberg,Male,43.0,Secondary,Employed,completed,2026-05-14T10:40:03,field_tool,1,Good,2,Low,3
ce1630da-0b32-42d0-a249-d56490bab3ff,91cf91ea-c40a-4339-9e3b-7db224c480b8,survey_491,Zimbabwe,Cherylstad,Male,55.0,Secondary,Self-employed,completed,2026-05-14T10:43:44,field_tool,5,Bad,5,High,1
a46844b4-531a-4b0e-a472-5871bc6f05dd,2875f966-3f7a-4cb5-a964-5f95c1421157,survey_419,Zimbabwe,Michaeltown,Male,28.0,Secondary,Employed,completed,2026-05-14T10:45:20,field_tool,4,Very Good,3,Medium,1
ee2a705b-3ce3-4208-a30d-cd34de3edb93,56e91dc5-7750-41a9-8a58-e31093f22ee9,survey_288,Zimbabwe,East Kevin,Female,35.0,Tertiary,Self-employed,completed,2026-05-14T10:41:10,field_tool,5,Bad,1,Medium,3
29a5c477-6634-4175-87df-55531f674d1a,ba8f0da9-cee5-41c8-8b71-8a054b8904b1,survey_739,Zimbabwe,Jessicaberg,Female,54.0,Primary,Employed,completed,2026-05-14T10:39:47,field_tool,5,Good,2,Low,3
41adf2ae-737d-4944-9bdc-21d24ea3e8e5,6ba2d2e7-bb93-4bcf-9a3c-d24fa3103baf,survey_838,Zimbabwe,West Steven,Female,45.0,Secondary,Self-employed,completed,2026-05-14T10:44:01,field_tool,2,Neutral,3,Medium,3
